[x],[y],[z],[F_x],[F_y],[F_z],[M_x],[M_y],[M_z]
0.0,0.0,0.0,0.898892,7.949741,5.257749,0.123687,0.529452,0.806044
0.00392,0.0,0.0,0.972946,8.604669,5.690902,0.133876,0.57307,0.872449
0.01192,0.0,0.0,0.006117,10.24161,6.035387,0.156802,0.690111,1.084268
0.01992,0.0,0.0,0.265932,11.822345,6.492339,0.17848,0.804062,1.339347
0.02792,0.0,0.0,0.394435,13.405601,6.893331,0.203403,0.914006,1.623821
0.03592,0.0,0.0,0.465075,15.211073,7.351226,0.232027,1.036638,1.966187
0.04392,0.0,0.0,0.541732,17.244072,7.861249,0.260084,1.172349,2.371396
0.05192,0.0,0.0,0.631908,19.421704,8.345169,0.288806,1.315216,2.830007
0.05992,0.0,0.0,0.848853,21.795474,8.836114,0.315121,1.466959,3.353791
0.06792,0.0,0.0,1.006879,24.307432,9.31734,0.340533,1.625425,3.940361
0.07592,0.0,0.0,1.120352,27.005214,9.79972,0.364061,1.79006,4.601805
0.08392,0.0,0.0,1.227212,29.966836,10.321936,0.38811,1.967658,5.355998
0.09192,0.0,0.0,1.38181,33.04691,10.849901,0.411368,2.151748,6.180922
0.09992,0.0,0.0,1.471181,36.28111,11.353642,0.435627,2.340715,7.087045
0.10792,0.0,0.0,1.596391,39.678129,11.85723,0.459701,2.536081,8.079255
0.11592,0.0,0.0,1.691332,43.284276,12.36514,0.483726,2.741067,9.171345
0.12392,0.0,0.0,1.844467,47.061265,12.868436,0.505887,2.950795,10.360008
0.13192,0.0,0.0,1.98257,51.302558,13.467766,0.513357,3.191557,11.717163
0.13992,0.0,0.0,2.13049,55.229257,13.92472,0.547207,3.408089,13.069495
0.14792,0.0,0.0,2.282139,59.589559,14.42329,0.565175,3.64157,14.592839
0.15592,0.0,0.0,2.444456,64.107397,14.962103,0.586442,3.893389,16.224515
0.16392,0.0,0.0,2.58565,68.692575,15.468244,0.606371,4.145186,17.947544
0.17192,0.0,0.0,2.782888,73.285039,15.901683,0.633623,4.385745,19.744918
0.17992,0.0,0.0,2.955233,78.191001,16.386323,0.651021,4.646631,21.705203
0.18792,0.0,0.0,3.109907,83.423942,16.931506,0.673481,4.932559,23.838284
0.19592,0.0,0.0,3.231054,88.488598,17.339803,0.691804,5.1862,26.007123
0.20392,0.0,0.0,3.32753,93.969522,17.809647,0.712989,5.466967,28.382199
0.21192,0.0,0.0,3.392623,99.653316,18.340634,0.73221,5.774835,30.909738
0.21992,0.0,0.0,3.426211,105.306332,18.707321,0.753194,6.037542,33.518562
0.22792,0.0,0.0,3.490755,111.31283,19.197234,0.76912,6.346881,36.332743
0.23592,0.0,0.0,3.54503,117.29651,19.594212,0.793218,6.633901,39.236516
0.24392,0.0,0.0,3.559592,123.31418,19.87666,0.819406,6.886469,42.246847
0.25192,0.0,0.0,3.60682,129.792177,20.422634,0.822191,7.235726,45.51661
0.25992,0.0,0.0,3.679804,136.907535,20.906399,0.854204,7.573985,49.11772
0.26792,0.0,0.0,3.678042,143.459556,21.185991,0.870303,7.842183,52.627053
