[Grid]
[node_id]   [x]         [y]       [z]       
0           0.000000    0.0       0.0       
1           0.062500    0.0       0.0       
2           0.125000    0.0       0.0       
3           0.187500    0.0       0.0       
4           0.250000    0.0       0.0       
5           0.312500    0.0       0.0       
6           0.375000    0.0       0.0       
7           0.437500    0.0       0.0       
8           0.500000    0.0       0.0       
9           0.562500    0.0       0.0       
10          0.625000    0.0       0.0       
11          0.687500    0.0       0.0       
12          0.750000    0.0       0.0       
13          0.812500    0.0       0.0       
14          0.875000    0.0       0.0       
15          0.937500    0.0       0.0       
16          1.000000    0.0       0.0       
17          1.062500    0.0       0.0       
18          1.125000    0.0       0.0       
19          1.187500    0.0       0.0       
20          1.250000    0.0       0.0       
21          1.312500    0.0       0.0       
22          1.375000    0.0       0.0       
23          1.437500    0.0       0.0       
24          1.500000    0.0       0.0       
25          1.562500    0.0       0.0       
26          1.625000    0.0       0.0       
27          1.687500    0.0       0.0       
28          1.750000    0.0       0.0       
29          1.812500    0.0       0.0       
30          1.875000    0.0       0.0       
31          1.937500    0.0       0.0       
32          2.000000    0.0       0.0       
