# Load Type: TRIANGULAR
# Load Formula: q(x) = w * (x/L)
[Distributed load]
         [x]          [y]          [z]        [F_x]        [F_y]        [F_z]        [M_x]        [M_y]        [M_z]
    0.000000     0.000000     0.000000     0.000000  -0.000000     0.000000     0.000000     0.000000     0.000000
    0.062500     0.000000     0.000000     0.000000  -15.625000     0.000000     0.000000     0.000000     0.000000
    0.125000     0.000000     0.000000     0.000000  -31.250000     0.000000     0.000000     0.000000     0.000000
    0.187500     0.000000     0.000000     0.000000  -46.875000     0.000000     0.000000     0.000000     0.000000
    0.250000     0.000000     0.000000     0.000000  -62.500000     0.000000     0.000000     0.000000     0.000000
    0.312500     0.000000     0.000000     0.000000  -78.125000     0.000000     0.000000     0.000000     0.000000
    0.375000     0.000000     0.000000     0.000000  -93.750000     0.000000     0.000000     0.000000     0.000000
    0.437500     0.000000     0.000000     0.000000  -109.375000     0.000000     0.000000     0.000000     0.000000
    0.500000     0.000000     0.000000     0.000000  -125.000000     0.000000     0.000000     0.000000     0.000000
    0.562500     0.000000     0.000000     0.000000  -140.625000     0.000000     0.000000     0.000000     0.000000
    0.625000     0.000000     0.000000     0.000000  -156.250000     0.000000     0.000000     0.000000     0.000000
    0.687500     0.000000     0.000000     0.000000  -171.875000     0.000000     0.000000     0.000000     0.000000
    0.750000     0.000000     0.000000     0.000000  -187.500000     0.000000     0.000000     0.000000     0.000000
    0.812500     0.000000     0.000000     0.000000  -203.125000     0.000000     0.000000     0.000000     0.000000
    0.875000     0.000000     0.000000     0.000000  -218.750000     0.000000     0.000000     0.000000     0.000000
    0.937500     0.000000     0.000000     0.000000  -234.375000     0.000000     0.000000     0.000000     0.000000
    1.000000     0.000000     0.000000     0.000000  -250.000000     0.000000     0.000000     0.000000     0.000000
    1.062500     0.000000     0.000000     0.000000  -265.625000     0.000000     0.000000     0.000000     0.000000
    1.125000     0.000000     0.000000     0.000000  -281.250000     0.000000     0.000000     0.000000     0.000000
    1.187500     0.000000     0.000000     0.000000  -296.875000     0.000000     0.000000     0.000000     0.000000
    1.250000     0.000000     0.000000     0.000000  -312.500000     0.000000     0.000000     0.000000     0.000000
    1.312500     0.000000     0.000000     0.000000  -328.125000     0.000000     0.000000     0.000000     0.000000
    1.375000     0.000000     0.000000     0.000000  -343.750000     0.000000     0.000000     0.000000     0.000000
    1.437500     0.000000     0.000000     0.000000  -359.375000     0.000000     0.000000     0.000000     0.000000
    1.500000     0.000000     0.000000     0.000000  -375.000000     0.000000     0.000000     0.000000     0.000000
    1.562500     0.000000     0.000000     0.000000  -390.625000     0.000000     0.000000     0.000000     0.000000
    1.625000     0.000000     0.000000     0.000000  -406.250000     0.000000     0.000000     0.000000     0.000000
    1.687500     0.000000     0.000000     0.000000  -421.875000     0.000000     0.000000     0.000000     0.000000
    1.750000     0.000000     0.000000     0.000000  -437.500000     0.000000     0.000000     0.000000     0.000000
    1.812500     0.000000     0.000000     0.000000  -453.125000     0.000000     0.000000     0.000000     0.000000
    1.875000     0.000000     0.000000     0.000000  -468.750000     0.000000     0.000000     0.000000     0.000000
    1.937500     0.000000     0.000000     0.000000  -484.375000     0.000000     0.000000     0.000000     0.000000
    2.000000     0.000000     0.000000     0.000000  -500.000000     0.000000     0.000000     0.000000     0.000000
