[Section]
[element_id]  [A]           [I_x]         [I_y]             [I_z]             [J_t]         
0             0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
1             0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
2             0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
3             0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
4             0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
5             0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
6             0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
7             0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
8             0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
9             0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
10            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
11            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
12            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
13            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
14            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
15            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
16            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
17            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
18            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
19            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
20            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
21            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
22            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
23            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
24            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
25            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
26            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
27            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
28            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
29            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
30            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
31            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
32            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
33            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
34            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
35            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
36            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
37            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
38            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
39            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
40            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
41            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
42            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
43            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
44            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
45            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
46            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
47            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
48            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
49            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
50            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
51            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
52            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
53            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
54            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
55            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
56            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
57            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
58            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
59            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
60            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
61            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
62            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
63            0.00131       0.0           3.23400e-07       2.08769e-06       2.60673e-08   
