# Load Type: PARABOLIC
# Load Formula: q(x) = w * (x/L)^2
[Distributed load]
         [x]          [y]          [z]        [F_x]        [F_y]        [F_z]        [M_x]        [M_y]        [M_z]
    0.000000     0.000000     0.000000     0.000000  -0.000000     0.000000     0.000000     0.000000     0.000000
    0.031250     0.000000     0.000000     0.000000  -0.122070     0.000000     0.000000     0.000000     0.000000
    0.062500     0.000000     0.000000     0.000000  -0.488281     0.000000     0.000000     0.000000     0.000000
    0.093750     0.000000     0.000000     0.000000  -1.098633     0.000000     0.000000     0.000000     0.000000
    0.125000     0.000000     0.000000     0.000000  -1.953125     0.000000     0.000000     0.000000     0.000000
    0.156250     0.000000     0.000000     0.000000  -3.051758     0.000000     0.000000     0.000000     0.000000
    0.187500     0.000000     0.000000     0.000000  -4.394531     0.000000     0.000000     0.000000     0.000000
    0.218750     0.000000     0.000000     0.000000  -5.981445     0.000000     0.000000     0.000000     0.000000
    0.250000     0.000000     0.000000     0.000000  -7.812500     0.000000     0.000000     0.000000     0.000000
    0.281250     0.000000     0.000000     0.000000  -9.887695     0.000000     0.000000     0.000000     0.000000
    0.312500     0.000000     0.000000     0.000000  -12.207031     0.000000     0.000000     0.000000     0.000000
    0.343750     0.000000     0.000000     0.000000  -14.770508     0.000000     0.000000     0.000000     0.000000
    0.375000     0.000000     0.000000     0.000000  -17.578125     0.000000     0.000000     0.000000     0.000000
    0.406250     0.000000     0.000000     0.000000  -20.629883     0.000000     0.000000     0.000000     0.000000
    0.437500     0.000000     0.000000     0.000000  -23.925781     0.000000     0.000000     0.000000     0.000000
    0.468750     0.000000     0.000000     0.000000  -27.465820     0.000000     0.000000     0.000000     0.000000
    0.500000     0.000000     0.000000     0.000000  -31.250000     0.000000     0.000000     0.000000     0.000000
    0.531250     0.000000     0.000000     0.000000  -35.278320     0.000000     0.000000     0.000000     0.000000
    0.562500     0.000000     0.000000     0.000000  -39.550781     0.000000     0.000000     0.000000     0.000000
    0.593750     0.000000     0.000000     0.000000  -44.067383     0.000000     0.000000     0.000000     0.000000
    0.625000     0.000000     0.000000     0.000000  -48.828125     0.000000     0.000000     0.000000     0.000000
    0.656250     0.000000     0.000000     0.000000  -53.833008     0.000000     0.000000     0.000000     0.000000
    0.687500     0.000000     0.000000     0.000000  -59.082031     0.000000     0.000000     0.000000     0.000000
    0.718750     0.000000     0.000000     0.000000  -64.575195     0.000000     0.000000     0.000000     0.000000
    0.750000     0.000000     0.000000     0.000000  -70.312500     0.000000     0.000000     0.000000     0.000000
    0.781250     0.000000     0.000000     0.000000  -76.293945     0.000000     0.000000     0.000000     0.000000
    0.812500     0.000000     0.000000     0.000000  -82.519531     0.000000     0.000000     0.000000     0.000000
    0.843750     0.000000     0.000000     0.000000  -88.989258     0.000000     0.000000     0.000000     0.000000
    0.875000     0.000000     0.000000     0.000000  -95.703125     0.000000     0.000000     0.000000     0.000000
    0.906250     0.000000     0.000000     0.000000  -102.661133     0.000000     0.000000     0.000000     0.000000
    0.937500     0.000000     0.000000     0.000000  -109.863281     0.000000     0.000000     0.000000     0.000000
    0.968750     0.000000     0.000000     0.000000  -117.309570     0.000000     0.000000     0.000000     0.000000
    1.000000     0.000000     0.000000     0.000000  -125.000000     0.000000     0.000000     0.000000     0.000000
    1.031250     0.000000     0.000000     0.000000  -132.934570     0.000000     0.000000     0.000000     0.000000
    1.062500     0.000000     0.000000     0.000000  -141.113281     0.000000     0.000000     0.000000     0.000000
    1.093750     0.000000     0.000000     0.000000  -149.536133     0.000000     0.000000     0.000000     0.000000
    1.125000     0.000000     0.000000     0.000000  -158.203125     0.000000     0.000000     0.000000     0.000000
    1.156250     0.000000     0.000000     0.000000  -167.114258     0.000000     0.000000     0.000000     0.000000
    1.187500     0.000000     0.000000     0.000000  -176.269531     0.000000     0.000000     0.000000     0.000000
    1.218750     0.000000     0.000000     0.000000  -185.668945     0.000000     0.000000     0.000000     0.000000
    1.250000     0.000000     0.000000     0.000000  -195.312500     0.000000     0.000000     0.000000     0.000000
    1.281250     0.000000     0.000000     0.000000  -205.200195     0.000000     0.000000     0.000000     0.000000
    1.312500     0.000000     0.000000     0.000000  -215.332031     0.000000     0.000000     0.000000     0.000000
    1.343750     0.000000     0.000000     0.000000  -225.708008     0.000000     0.000000     0.000000     0.000000
    1.375000     0.000000     0.000000     0.000000  -236.328125     0.000000     0.000000     0.000000     0.000000
    1.406250     0.000000     0.000000     0.000000  -247.192383     0.000000     0.000000     0.000000     0.000000
    1.437500     0.000000     0.000000     0.000000  -258.300781     0.000000     0.000000     0.000000     0.000000
    1.468750     0.000000     0.000000     0.000000  -269.653320     0.000000     0.000000     0.000000     0.000000
    1.500000     0.000000     0.000000     0.000000  -281.250000     0.000000     0.000000     0.000000     0.000000
    1.531250     0.000000     0.000000     0.000000  -293.090820     0.000000     0.000000     0.000000     0.000000
    1.562500     0.000000     0.000000     0.000000  -305.175781     0.000000     0.000000     0.000000     0.000000
    1.593750     0.000000     0.000000     0.000000  -317.504883     0.000000     0.000000     0.000000     0.000000
    1.625000     0.000000     0.000000     0.000000  -330.078125     0.000000     0.000000     0.000000     0.000000
    1.656250     0.000000     0.000000     0.000000  -342.895508     0.000000     0.000000     0.000000     0.000000
    1.687500     0.000000     0.000000     0.000000  -355.957031     0.000000     0.000000     0.000000     0.000000
    1.718750     0.000000     0.000000     0.000000  -369.262695     0.000000     0.000000     0.000000     0.000000
    1.750000     0.000000     0.000000     0.000000  -382.812500     0.000000     0.000000     0.000000     0.000000
    1.781250     0.000000     0.000000     0.000000  -396.606445     0.000000     0.000000     0.000000     0.000000
    1.812500     0.000000     0.000000     0.000000  -410.644531     0.000000     0.000000     0.000000     0.000000
    1.843750     0.000000     0.000000     0.000000  -424.926758     0.000000     0.000000     0.000000     0.000000
    1.875000     0.000000     0.000000     0.000000  -439.453125     0.000000     0.000000     0.000000     0.000000
    1.906250     0.000000     0.000000     0.000000  -454.223633     0.000000     0.000000     0.000000     0.000000
    1.937500     0.000000     0.000000     0.000000  -469.238281     0.000000     0.000000     0.000000     0.000000
    1.968750     0.000000     0.000000     0.000000  -484.497070     0.000000     0.000000     0.000000     0.000000
    2.000000     0.000000     0.000000     0.000000  -500.000000     0.000000     0.000000     0.000000     0.000000
