[Grid]
[node_id]   [x]         [y]       [z]
0           0.000000    0.0       0.0
1           0.080000    0.0       0.0
2           0.160000    0.0       0.0
3           0.240000    0.0       0.0
4           0.320000    0.0       0.0
5           0.400000    0.0       0.0
6           0.480000    0.0       0.0
7           0.560000    0.0       0.0
8           0.640000    0.0       0.0
9           0.720000    0.0       0.0
10           0.800000    0.0       0.0
11           0.880000    0.0       0.0
12           0.960000    0.0       0.0
13           1.040000    0.0       0.0
14           1.120000    0.0       0.0
15           1.200000    0.0       0.0
16           1.280000    0.0       0.0
17           1.360000    0.0       0.0
18           1.440000    0.0       0.0
19           1.520000    0.0       0.0
20           1.600000    0.0       0.0
21           1.680000    0.0       0.0
22           1.760000    0.0       0.0
23           1.840000    0.0       0.0
24           1.920000    0.0       0.0
25           2.000000    0.0       0.0
