element_id,total_strain_energy
0,1.768102268564e-02
1,1.740476237129e-02
2,1.713067733500e-02
3,1.685876757678e-02
4,1.658903309662e-02
5,1.632147389452e-02
6,1.605608997049e-02
7,1.579288132452e-02
8,1.553184795661e-02
9,1.527298986677e-02
10,1.501630705499e-02
11,1.476179952127e-02
12,1.450946726562e-02
13,1.425931028803e-02
14,1.401132858850e-02
15,1.376552216703e-02
16,1.352189102363e-02
17,1.328043515829e-02
18,1.304115457101e-02
19,1.280404926179e-02
20,1.256911923064e-02
21,1.233636447754e-02
22,1.210578500250e-02
23,1.187738080552e-02
24,1.165115188661e-02
25,1.142709824576e-02
26,1.120521988297e-02
27,1.098551679827e-02
28,1.076798899164e-02
29,1.055263646309e-02
30,1.033945921261e-02
31,1.012845724017e-02
32,9.919630545813e-03
33,9.712979129515e-03
34,9.508502991300e-03
35,9.306202131135e-03
36,9.106076549036e-03
37,8.908126245006e-03
38,8.712351219042e-03
39,8.518751471133e-03
40,8.327327001302e-03
41,8.138077809542e-03
42,7.951003895833e-03
43,7.766105260183e-03
44,7.583381902611e-03
45,7.402833823104e-03
46,7.224461021637e-03
47,7.048263498235e-03
48,6.874241252876e-03
49,6.702394285586e-03
50,6.532722596387e-03
51,6.365226185251e-03
52,6.199905052167e-03
53,6.036759197166e-03
54,5.875788620227e-03
55,5.716993321327e-03
56,5.560373300483e-03
57,5.405928557678e-03
58,5.253659092949e-03
59,5.103564906304e-03
60,4.955645997733e-03
61,4.809902367239e-03
62,4.666334014836e-03
63,4.524940940496e-03
64,4.385723144145e-03
65,4.248680625865e-03
66,4.113813385660e-03
67,3.981121423506e-03
68,3.850604739426e-03
69,3.722263333457e-03
70,3.596097205497e-03
71,3.472106355530e-03
72,3.350290783606e-03
73,3.230650489754e-03
74,3.113185473973e-03
75,2.997895736191e-03
76,2.884781276441e-03
77,2.773842094729e-03
78,2.665078191051e-03
79,2.558489565394e-03
80,2.454076217766e-03
81,2.351838148155e-03
82,2.251775356638e-03
83,2.153887843225e-03
84,2.058175607880e-03
85,1.964638650645e-03
86,1.873276971490e-03
87,1.784090570355e-03
88,1.697079447290e-03
89,1.612243602303e-03
90,1.529583035360e-03
91,1.449097746510e-03
92,1.370787735679e-03
93,1.294653002979e-03
94,1.220693548296e-03
95,1.148909371677e-03
96,1.079300473170e-03
97,1.011866852718e-03
98,9.466085103412e-04
99,8.835254459869e-04
100,8.226176596953e-04
101,7.638851515110e-04
102,7.073279214283e-04
103,6.529459694050e-04
104,6.007392954834e-04
105,5.507078996156e-04
106,5.028517818767e-04
107,4.571709422108e-04
108,4.136653806448e-04
109,3.723350971889e-04
110,3.331800918108e-04
111,2.962003645227e-04
112,2.613959153235e-04
113,2.287667441749e-04
114,1.983128511017e-04
115,1.700342361094e-04
116,1.439308992077e-04
117,1.200028403765e-04
118,9.825005961687e-05
119,7.867255693876e-05
120,6.127033234425e-05
121,4.604338582692e-05
122,3.299171740007e-05
123,2.211532704865e-05
124,1.341421476415e-05
125,6.888380555655e-06
126,2.537824415155e-06
127,3.625463445915e-07
