element_id,max_axial_force,max_shear_force,max_torque,max_moment,max_principal_s1,min_principal_s3,max_von_mises,mean_von_mises
0,0.000000e+00,0.000000e+00,0.000000e+00,9.991195e+02,0.000000e+00,-9.991195e+02,9.991195e+02,9.960938e+02
1,0.000000e+00,0.000000e+00,0.000000e+00,9.913070e+02,0.000000e+00,-9.913070e+02,9.913070e+02,9.882813e+02
2,0.000000e+00,0.000000e+00,0.000000e+00,9.834945e+02,0.000000e+00,-9.834945e+02,9.834945e+02,9.804688e+02
3,0.000000e+00,0.000000e+00,0.000000e+00,9.756820e+02,0.000000e+00,-9.756820e+02,9.756820e+02,9.726563e+02
4,0.000000e+00,0.000000e+00,0.000000e+00,9.678695e+02,0.000000e+00,-9.678695e+02,9.678695e+02,9.648438e+02
5,0.000000e+00,0.000000e+00,0.000000e+00,9.600570e+02,0.000000e+00,-9.600570e+02,9.600570e+02,9.570313e+02
6,0.000000e+00,0.000000e+00,0.000000e+00,9.522445e+02,0.000000e+00,-9.522445e+02,9.522445e+02,9.492188e+02
7,0.000000e+00,0.000000e+00,0.000000e+00,9.444320e+02,0.000000e+00,-9.444320e+02,9.444320e+02,9.414063e+02
8,0.000000e+00,0.000000e+00,0.000000e+00,9.366195e+02,0.000000e+00,-9.366195e+02,9.366195e+02,9.335938e+02
9,0.000000e+00,0.000000e+00,0.000000e+00,9.288070e+02,0.000000e+00,-9.288070e+02,9.288070e+02,9.257813e+02
10,0.000000e+00,0.000000e+00,0.000000e+00,9.209945e+02,0.000000e+00,-9.209945e+02,9.209945e+02,9.179688e+02
11,0.000000e+00,0.000000e+00,0.000000e+00,9.131820e+02,0.000000e+00,-9.131820e+02,9.131820e+02,9.101563e+02
12,0.000000e+00,0.000000e+00,0.000000e+00,9.053695e+02,0.000000e+00,-9.053695e+02,9.053695e+02,9.023438e+02
13,0.000000e+00,0.000000e+00,0.000000e+00,8.975570e+02,0.000000e+00,-8.975570e+02,8.975570e+02,8.945313e+02
14,0.000000e+00,0.000000e+00,0.000000e+00,8.897445e+02,0.000000e+00,-8.897445e+02,8.897445e+02,8.867188e+02
