Condensed DOF,Value
0,0.000000000000e+00
1,-1.744863047160e-05
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-2.762081078909e-04
6,0.000000000000e+00
7,-6.830953205904e-05
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-5.345963378534e-04
12,0.000000000000e+00
13,-1.503552200213e-04
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-7.751646898873e-04
18,0.000000000000e+00
19,-2.613582096172e-04
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-9.979131639929e-04
24,0.000000000000e+00
25,-3.990910161058e-04
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-1.202841760170e-03
30,0.000000000000e+00
31,-5.613261547460e-04
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-1.389950478418e-03
36,0.000000000000e+00
37,-7.458361407967e-04
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-1.559239318739e-03
42,0.000000000000e+00
43,-9.503934895170e-04
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-1.710708281130e-03
48,0.000000000000e+00
49,-1.172770716166e-03
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-1.844357365593e-03
54,0.000000000000e+00
55,-1.410740336002e-03
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-1.960186572128e-03
60,0.000000000000e+00
61,-1.662074864284e-03
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-2.058195900735e-03
66,0.000000000000e+00
67,-1.924546816272e-03
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-2.138385351413e-03
72,0.000000000000e+00
73,-2.195928707223e-03
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-2.200754924162e-03
78,0.000000000000e+00
79,-2.473993052398e-03
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-2.245304618983e-03
84,-0.000000000000e+00
85,-2.756512367056e-03
86,-0.000000000000e+00
87,-0.000000000000e+00
88,-0.000000000000e+00
89,-2.272034435876e-03
90,0.000000000000e+00
91,-3.041259166454e-03
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-2.280944374840e-03
