element_id,max_axial_force,max_shear_force,max_torque,max_moment,max_principal_s1,min_principal_s3,max_von_mises,mean_von_mises
0,0.000000e+00,0.000000e+00,0.000000e+00,9.929561e+02,0.000000e+00,-9.929561e+02,9.929561e+02,9.687500e+02
1,0.000000e+00,0.000000e+00,0.000000e+00,9.304561e+02,0.000000e+00,-9.304561e+02,9.304561e+02,9.062500e+02
2,0.000000e+00,0.000000e+00,0.000000e+00,8.679561e+02,0.000000e+00,-8.679561e+02,8.679561e+02,8.437500e+02
3,0.000000e+00,0.000000e+00,0.000000e+00,8.054561e+02,0.000000e+00,-8.054561e+02,8.054561e+02,7.812500e+02
4,0.000000e+00,0.000000e+00,0.000000e+00,7.429561e+02,0.000000e+00,-7.429561e+02,7.429561e+02,7.187500e+02
5,0.000000e+00,0.000000e+00,0.000000e+00,6.804561e+02,0.000000e+00,-6.804561e+02,6.804561e+02,6.562500e+02
6,0.000000e+00,0.000000e+00,0.000000e+00,6.179561e+02,0.000000e+00,-6.179561e+02,6.179561e+02,5.937500e+02
7,0.000000e+00,0.000000e+00,0.000000e+00,5.554561e+02,0.000000e+00,-5.554561e+02,5.554561e+02,5.312500e+02
8,0.000000e+00,0.000000e+00,0.000000e+00,4.929561e+02,0.000000e+00,-4.929561e+02,4.929561e+02,4.687500e+02
9,0.000000e+00,0.000000e+00,0.000000e+00,4.304561e+02,0.000000e+00,-4.304561e+02,4.304561e+02,4.062500e+02
10,0.000000e+00,0.000000e+00,0.000000e+00,3.679561e+02,0.000000e+00,-3.679561e+02,3.679561e+02,3.437500e+02
11,0.000000e+00,0.000000e+00,0.000000e+00,3.054561e+02,0.000000e+00,-3.054561e+02,3.054561e+02,2.812500e+02
12,0.000000e+00,0.000000e+00,0.000000e+00,2.429561e+02,0.000000e+00,-2.429561e+02,2.429561e+02,2.187500e+02
13,0.000000e+00,0.000000e+00,0.000000e+00,1.804561e+02,0.000000e+00,-1.804561e+02,1.804561e+02,1.562500e+02
14,0.000000e+00,0.000000e+00,0.000000e+00,1.179561e+02,0.000000e+00,-1.179561e+02,1.179561e+02,9.375000e+01
15,0.000000e+00,0.000000e+00,0.000000e+00,5.545615e+01,0.000000e+00,-5.545615e+01,5.545615e+01,3.125000e+01
