Condensed DOF,Value
0,0.000000000000e+00
1,-4.408563550096e-06
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-1.403315386894e-04
6,0.000000000000e+00
7,-1.744863047196e-05
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-2.762081078966e-04
12,0.000000000000e+00
13,-3.884176517295e-05
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-4.076297076215e-04
18,0.000000000000e+00
19,-6.830953206044e-05
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-5.345963378643e-04
24,0.000000000000e+00
25,-1.055734955418e-04
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-6.571079986249e-04
30,0.000000000000e+00
31,-1.503552200243e-04
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-7.751646899032e-04
36,0.000000000000e+00
37,-2.023762699155e-04
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-8.887664116994e-04
42,0.000000000000e+00
43,-2.613582096226e-04
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-9.979131640134e-04
48,0.000000000000e+00
49,-3.270226035529e-04
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-1.102604946845e-03
54,0.000000000000e+00
55,-3.990910161140e-04
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-1.202841760195e-03
60,0.000000000000e+00
61,-4.772850117131e-04
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-1.298623604062e-03
66,0.000000000000e+00
67,-5.613261547575e-04
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-1.389950478447e-03
72,0.000000000000e+00
73,-6.509360096548e-04
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-1.476822383350e-03
78,0.000000000000e+00
79,-7.458361408121e-04
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-1.559239318771e-03
84,0.000000000000e+00
85,-8.457481126369e-04
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-1.637201284710e-03
90,0.000000000000e+00
91,-9.503934895366e-04
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-1.710708281166e-03
96,0.000000000000e+00
97,-1.059493835918e-03
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-1.779760308140e-03
102,0.000000000000e+00
103,-1.172770716190e-03
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-1.844357365632e-03
108,0.000000000000e+00
109,-1.289945694758e-03
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-1.904499453642e-03
114,0.000000000000e+00
115,-1.410740336031e-03
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-1.960186572170e-03
120,0.000000000000e+00
121,-1.534876204415e-03
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-2.011418721215e-03
126,0.000000000000e+00
127,-1.662074864319e-03
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,-2.058195900778e-03
132,0.000000000000e+00
133,-1.792057880148e-03
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-2.100518110859e-03
138,0.000000000000e+00
139,-1.924546816312e-03
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,-2.138385351457e-03
144,0.000000000000e+00
145,-2.059263237216e-03
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-2.171797622574e-03
150,0.000000000000e+00
151,-2.195928707269e-03
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-2.200754924208e-03
156,0.000000000000e+00
157,-2.334264790878e-03
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-2.225257256359e-03
162,0.000000000000e+00
163,-2.473993052450e-03
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-2.245304619029e-03
168,0.000000000000e+00
169,-2.614835056392e-03
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,-2.260897012216e-03
174,0.000000000000e+00
175,-2.756512367113e-03
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-2.272034435921e-03
180,-0.000000000000e+00
181,-2.898746549018e-03
182,-0.000000000000e+00
183,-0.000000000000e+00
184,-0.000000000000e+00
185,-2.278716890144e-03
186,0.000000000000e+00
187,-3.041259166517e-03
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,-2.280944374886e-03
