element_id,total_strain_energy
0,6.907522994171e-02
1,6.475947825573e-02
2,6.058294436607e-02
3,5.654562827274e-02
4,5.264752997573e-02
5,4.888864947504e-02
6,4.526898677067e-02
7,4.178854186262e-02
8,3.844731475090e-02
9,3.524530543550e-02
10,3.218251391643e-02
11,2.925894019368e-02
12,2.647458426724e-02
13,2.382944613712e-02
14,2.132352580333e-02
15,1.895682326586e-02
16,1.672933852470e-02
17,1.464107157987e-02
18,1.269202243136e-02
19,1.088219107916e-02
20,9.211577523292e-03
21,7.680181763740e-03
22,6.288003800501e-03
23,5.035043633589e-03
24,3.921301263001e-03
25,2.946776688746e-03
26,2.111469910807e-03
27,1.415380929215e-03
28,8.585097439432e-04
29,4.408563549992e-04
30,1.624207623697e-04
31,2.320296605257e-05
