Global DOF,Value
0,0.000000000000e+00
1,-5.000000000000e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-1.000000000000e+03
6,0.000000000000e+00
7,0.000000000000e+00
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-1.818989403546e-12
12,0.000000000000e+00
13,1.818989403546e-11
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,2.728484105319e-12
18,0.000000000000e+00
19,3.637978807092e-12
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,1.045918907039e-11
24,0.000000000000e+00
25,-3.637978807092e-12
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,0.000000000000e+00
