Condensed DOF,Value
0,0.000000000000e+00
1,-2.613582096168e-04
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-9.979131639915e-04
6,0.000000000000e+00
7,-9.503934895157e-04
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-1.710708281128e-03
12,0.000000000000e+00
13,-1.924546816269e-03
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-2.138385351410e-03
18,0.000000000000e+00
19,-3.041259166450e-03
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-2.280944374838e-03
