Global DOF,Value
0,0.000000000000e+00
1,0.000000000000e+00
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-1.107941629098e-06
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-7.072264053383e-05
12,0.000000000000e+00
13,-4.408563550337e-06
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.403315386970e-04
18,0.000000000000e+00
19,-9.867061314636e-06
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-2.088266944896e-04
24,0.000000000000e+00
25,-1.744863047291e-05
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-2.762081079116e-04
30,0.000000000000e+00
31,-2.711846657609e-05
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-3.424757789630e-04
36,0.000000000000e+00
37,-3.884176517507e-05
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-4.076297076438e-04
42,0.000000000000e+00
43,-5.258372182079e-05
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-4.716698939539e-04
48,0.000000000000e+00
49,-6.830953206417e-05
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-5.345963378934e-04
54,0.000000000000e+00
55,-8.598439145611e-05
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-5.964090394624e-04
60,0.000000000000e+00
61,-1.055734955475e-04
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-6.571079986607e-04
66,0.000000000000e+00
67,-1.270420398894e-04
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-7.166932154884e-04
72,0.000000000000e+00
73,-1.503552200325e-04
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-7.751646899455e-04
78,0.000000000000e+00
79,-1.754782315279e-04
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-8.325224220320e-04
84,0.000000000000e+00
85,-2.023762699265e-04
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-8.887664117479e-04
90,0.000000000000e+00
91,-2.310145307792e-04
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-9.438966590932e-04
96,0.000000000000e+00
97,-2.613582096368e-04
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-9.979131640679e-04
102,0.000000000000e+00
103,-2.933725020504e-04
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-1.050815926672e-03
108,0.000000000000e+00
109,-3.270226035708e-04
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-1.102604946905e-03
114,0.000000000000e+00
115,-3.622737097489e-04
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-1.153280224768e-03
120,0.000000000000e+00
121,-3.990910161358e-04
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-1.202841760261e-03
126,0.000000000000e+00
127,-4.374397182822e-04
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,-1.251289553382e-03
132,0.000000000000e+00
133,-4.772850117391e-04
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-1.298623604133e-03
138,0.000000000000e+00
139,-5.185920920575e-04
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,-1.344843912514e-03
144,0.000000000000e+00
145,-5.613261547882e-04
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-1.389950478524e-03
150,0.000000000000e+00
151,-6.054523954822e-04
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-1.433943302163e-03
156,0.000000000000e+00
157,-6.509360096904e-04
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-1.476822383431e-03
162,0.000000000000e+00
163,-6.977421929636e-04
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-1.518587722329e-03
168,0.000000000000e+00
169,-7.458361408529e-04
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,-1.559239318857e-03
174,0.000000000000e+00
175,-7.951830489092e-04
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-1.598777173013e-03
180,0.000000000000e+00
181,-8.457481126832e-04
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,-1.637201284800e-03
186,0.000000000000e+00
187,-8.974965277261e-04
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,-1.674511654215e-03
192,0.000000000000e+00
193,-9.503934895887e-04
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,-1.710708281260e-03
198,0.000000000000e+00
199,-1.004404193822e-03
200,0.000000000000e+00
201,0.000000000000e+00
202,0.000000000000e+00
203,-1.745791165934e-03
204,0.000000000000e+00
205,-1.059493835977e-03
206,0.000000000000e+00
207,0.000000000000e+00
208,0.000000000000e+00
209,-1.779760308238e-03
210,0.000000000000e+00
211,-1.115627611604e-03
212,0.000000000000e+00
213,0.000000000000e+00
214,0.000000000000e+00
215,-1.812615708171e-03
216,0.000000000000e+00
217,-1.172770716254e-03
218,0.000000000000e+00
219,0.000000000000e+00
220,0.000000000000e+00
221,-1.844357365734e-03
222,0.000000000000e+00
223,-1.230888345479e-03
224,0.000000000000e+00
225,0.000000000000e+00
226,0.000000000000e+00
227,-1.874985280926e-03
228,0.000000000000e+00
229,-1.289945694829e-03
230,0.000000000000e+00
231,0.000000000000e+00
232,0.000000000000e+00
233,-1.904499453747e-03
234,0.000000000000e+00
235,-1.349907959855e-03
236,0.000000000000e+00
237,0.000000000000e+00
238,0.000000000000e+00
239,-1.932899884198e-03
240,0.000000000000e+00
241,-1.410740336108e-03
242,0.000000000000e+00
243,0.000000000000e+00
244,0.000000000000e+00
245,-1.960186572278e-03
246,0.000000000000e+00
