element_id,total_strain_energy
0,3.508578504771e-02
1,3.398944490155e-02
2,3.291050697993e-02
3,3.184897128286e-02
4,3.080483781033e-02
5,2.977810656234e-02
6,2.876877753890e-02
7,2.777685073999e-02
8,2.680232616564e-02
9,2.584520381582e-02
10,2.490548369055e-02
11,2.398316578983e-02
12,2.307825011364e-02
13,2.219073666200e-02
14,2.132062543490e-02
15,2.046791643234e-02
16,1.963260965433e-02
17,1.881470510085e-02
18,1.801420277191e-02
19,1.723110266752e-02
20,1.646540478767e-02
21,1.571710913236e-02
22,1.498621570157e-02
23,1.427272449533e-02
24,1.357663551364e-02
25,1.289794875647e-02
26,1.223666422387e-02
27,1.159278191583e-02
28,1.096630183234e-02
29,1.035722397338e-02
30,9.765548338954e-03
31,9.191274929055e-03
32,8.634403743696e-03
33,8.094934782895e-03
34,7.572868046641e-03
35,7.068203534931e-03
36,6.580941247744e-03
37,6.111081185113e-03
38,5.658623347039e-03
39,5.223567733475e-03
40,4.805914344470e-03
41,4.405663180020e-03
42,4.022814240090e-03
43,3.657367524705e-03
44,3.309323033868e-03
45,2.978680767579e-03
46,2.665440725798e-03
47,2.369602908579e-03
48,2.091167315888e-03
49,1.830133947739e-03
50,1.586502804144e-03
51,1.360273885095e-03
52,1.151447190575e-03
53,9.600227206197e-04
54,7.860004752003e-04
55,6.293804543109e-04
56,4.901626579559e-04
57,3.683470861407e-04
58,2.639337388799e-04
59,1.769226161640e-04
60,1.073137179995e-04
61,5.510704437523e-05
62,2.030259529772e-05
63,2.900370756656e-06
