Row (Local DOF),Column (Local DOF),K_e Value
0,0,1.760640000000e+10
0,6,-1.760640000000e+10
1,1,1.379134026547e+12
1,5,1.077448458240e+10
1,7,-1.379134026547e+12
1,11,1.077448458240e+10
2,2,2.136389713920e+11
2,4,-1.669054464000e+09
2,8,-2.136389713920e+11
2,10,-1.669054464000e+09
3,3,1.351328832000e+05
3,9,-1.351328832000e+05
4,2,-1.669054464000e+09
4,4,1.738598400000e+07
4,8,1.669054464000e+09
4,10,8.692992000000e+06
5,1,1.077448458240e+10
5,5,1.122342144000e+08
5,7,-1.077448458240e+10
5,11,5.611710720000e+07
6,0,-1.760640000000e+10
6,6,1.760640000000e+10
7,1,-1.379134026547e+12
7,5,-1.077448458240e+10
7,7,1.379134026547e+12
7,11,-1.077448458240e+10
8,2,-2.136389713920e+11
8,4,1.669054464000e+09
8,8,2.136389713920e+11
8,10,1.669054464000e+09
9,3,-1.351328832000e+05
9,9,1.351328832000e+05
10,2,-1.669054464000e+09
10,4,8.692992000000e+06
10,8,1.669054464000e+09
10,10,1.738598400000e+07
11,1,1.077448458240e+10
11,5,5.611710720000e+07
11,7,-1.077448458240e+10
11,11,1.122342144000e+08
