Condensed DOF,Value
0,0.000000000000e+00
1,-1.384927036091e-07
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-1.768066012989e-05
6,0.000000000000e+00
7,-5.510704436813e-07
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-3.508288466728e-05
12,0.000000000000e+00
13,-1.233382664084e-06
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-5.220667361217e-05
18,0.000000000000e+00
19,-2.181078808684e-06
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-6.905202696457e-05
24,0.000000000000e+00
25,-3.389808321349e-06
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-8.561894472448e-05
30,0.000000000000e+00
31,-4.855220645947e-06
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-1.019074268919e-04
36,0.000000000000e+00
37,-6.572965226344e-06
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-1.179174734668e-04
42,0.000000000000e+00
43,-8.538691506407e-06
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-1.336490844492e-04
48,0.000000000000e+00
49,-1.074804893000e-05
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-1.491022598392e-04
54,0.000000000000e+00
55,-1.319668694100e-05
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-1.642769996366e-04
60,0.000000000000e+00
61,-1.588025498327e-05
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-1.791733038416e-04
66,0.000000000000e+00
67,-1.879440250067e-05
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-1.937911724540e-04
72,0.000000000000e+00
73,-2.193477893708e-05
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-2.081306054740e-04
78,0.000000000000e+00
79,-2.529703373636e-05
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-2.221916029014e-04
84,0.000000000000e+00
85,-2.887681634237e-05
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-2.359741647364e-04
90,0.000000000000e+00
91,-3.266977619899e-05
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-2.494782909789e-04
96,0.000000000000e+00
97,-3.667156275009e-05
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-2.627039816289e-04
102,0.000000000000e+00
103,-4.087782543952e-05
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-2.756512366863e-04
108,0.000000000000e+00
109,-4.528421371116e-05
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-2.883200561513e-04
114,0.000000000000e+00
115,-4.988637700887e-05
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-3.007104400238e-04
120,0.000000000000e+00
121,-5.467996477652e-05
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-3.128223883038e-04
126,0.000000000000e+00
127,-5.966062645799e-05
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,-3.246559009913e-04
132,0.000000000000e+00
133,-6.482401149712e-05
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-3.362109780863e-04
138,0.000000000000e+00
139,-7.016576933781e-05
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,-3.474876195888e-04
144,0.000000000000e+00
145,-7.568154942390e-05
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-3.584858254988e-04
150,0.000000000000e+00
151,-8.136700119926e-05
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-3.692055958163e-04
156,0.000000000000e+00
157,-8.721777410778e-05
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-3.796469305412e-04
162,0.000000000000e+00
163,-9.322951759330e-05
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-3.898098296737e-04
168,0.000000000000e+00
169,-9.939788109970e-05
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,-3.996942932137e-04
174,0.000000000000e+00
175,-1.057185140709e-04
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-4.093003211612e-04
180,0.000000000000e+00
181,-1.121870659506e-04
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,-4.186279135163e-04
186,0.000000000000e+00
187,-1.187991861829e-04
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,-4.276770702788e-04
192,0.000000000000e+00
193,-1.255505242114e-04
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,-4.364477914489e-04
198,0.000000000000e+00
199,-1.324367294803e-04
200,0.000000000000e+00
201,0.000000000000e+00
202,0.000000000000e+00
203,-4.449400770265e-04
204,0.000000000000e+00
205,-1.394534514331e-04
206,0.000000000000e+00
207,0.000000000000e+00
208,0.000000000000e+00
209,-4.531539270117e-04
210,0.000000000000e+00
211,-1.465963395140e-04
212,0.000000000000e+00
213,0.000000000000e+00
214,0.000000000000e+00
215,-4.610893414043e-04
216,0.000000000000e+00
217,-1.538610431667e-04
218,0.000000000000e+00
219,0.000000000000e+00
220,0.000000000000e+00
221,-4.687463202046e-04
222,0.000000000000e+00
223,-1.612432118350e-04
224,0.000000000000e+00
225,0.000000000000e+00
226,0.000000000000e+00
227,-4.761248634123e-04
228,0.000000000000e+00
229,-1.687384949629e-04
230,0.000000000000e+00
231,0.000000000000e+00
232,0.000000000000e+00
233,-4.832249710276e-04
234,0.000000000000e+00
235,-1.763425419942e-04
236,0.000000000000e+00
237,0.000000000000e+00
238,0.000000000000e+00
239,-4.900466430504e-04
240,0.000000000000e+00
241,-1.840510023729e-04
242,0.000000000000e+00
243,0.000000000000e+00
244,0.000000000000e+00
245,-4.965898794808e-04
246,0.000000000000e+00
247,-1.918595255426e-04
248,0.000000000000e+00
249,0.000000000000e+00
250,0.000000000000e+00
251,-5.028546803187e-04
252,0.000000000000e+00
253,-1.997637609474e-04
254,0.000000000000e+00
255,0.000000000000e+00
256,0.000000000000e+00
257,-5.088410455641e-04
258,0.000000000000e+00
259,-2.077593580311e-04
260,0.000000000000e+00
261,0.000000000000e+00
262,0.000000000000e+00
263,-5.145489752171e-04
264,0.000000000000e+00
265,-2.158419662376e-04
266,0.000000000000e+00
267,0.000000000000e+00
268,0.000000000000e+00
269,-5.199784692777e-04
270,0.000000000000e+00
271,-2.240072350107e-04
272,0.000000000000e+00
273,0.000000000000e+00
274,0.000000000000e+00
275,-5.251295277458e-04
276,0.000000000000e+00
277,-2.322508137943e-04
278,0.000000000000e+00
279,0.000000000000e+00
280,0.000000000000e+00
281,-5.300021506215e-04
282,0.000000000000e+00
283,-2.405683520322e-04
284,0.000000000000e+00
285,0.000000000000e+00
286,0.000000000000e+00
287,-5.345963379046e-04
288,0.000000000000e+00
289,-2.489554991684e-04
290,0.000000000000e+00
291,0.000000000000e+00
292,0.000000000000e+00
293,-5.389120895954e-04
294,0.000000000000e+00
295,-2.574079046467e-04
296,0.000000000000e+00
297,0.000000000000e+00
298,0.000000000000e+00
299,-5.429494056936e-04
300,0.000000000000e+00
301,-2.659212179110e-04
302,0.000000000000e+00
303,0.000000000000e+00
304,0.000000000000e+00
305,-5.467082861994e-04
306,0.000000000000e+00
307,-2.744910884051e-04
308,0.000000000000e+00
309,0.000000000000e+00
310,0.000000000000e+00
311,-5.501887311128e-04
312,0.000000000000e+00
313,-2.831131655729e-04
314,0.000000000000e+00
315,0.000000000000e+00
316,0.000000000000e+00
317,-5.533907404337e-04
318,0.000000000000e+00
319,-2.917830988582e-04
320,0.000000000000e+00
321,0.000000000000e+00
322,0.000000000000e+00
323,-5.563143141622e-04
324,0.000000000000e+00
325,-3.004965377051e-04
326,0.000000000000e+00
327,0.000000000000e+00
328,0.000000000000e+00
329,-5.589594522982e-04
330,0.000000000000e+00
331,-3.092491315572e-04
332,0.000000000000e+00
333,0.000000000000e+00
334,0.000000000000e+00
335,-5.613261548418e-04
336,0.000000000000e+00
337,-3.180365298585e-04
338,0.000000000000e+00
339,0.000000000000e+00
340,0.000000000000e+00
341,-5.634144217929e-04
342,0.000000000000e+00
343,-3.268543820528e-04
344,0.000000000000e+00
345,0.000000000000e+00
346,0.000000000000e+00
347,-5.652242531516e-04
348,0.000000000000e+00
349,-3.356983375841e-04
350,0.000000000000e+00
351,0.000000000000e+00
352,0.000000000000e+00
353,-5.667556489178e-04
354,0.000000000000e+00
355,-3.445640458961e-04
356,0.000000000000e+00
357,0.000000000000e+00
358,0.000000000000e+00
359,-5.680086090915e-04
360,0.000000000000e+00
361,-3.534471564328e-04
362,0.000000000000e+00
363,0.000000000000e+00
364,0.000000000000e+00
365,-5.689831336729e-04
366,0.000000000000e+00
367,-3.623433186380e-04
368,0.000000000000e+00
