Global DOF,Value
0,0.000000000000e+00
1,-5.000000000033e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-5.000000000068e+02
6,0.000000000000e+00
7,-1.455191522837e-11
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-9.094947017729e-13
12,0.000000000000e+00
13,1.455191522837e-11
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-3.183231456205e-12
18,0.000000000000e+00
19,1.164153218269e-10
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-1.364242052659e-12
24,0.000000000000e+00
25,-3.783497959375e-10
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-4.547473508865e-12
30,0.000000000000e+00
31,8.440110832453e-10
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-1.000444171950e-11
36,0.000000000000e+00
37,-4.656612873077e-10
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,1.818989403546e-12
42,0.000000000000e+00
43,3.492459654808e-10
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,3.637978807092e-12
48,0.000000000000e+00
49,-5.820766091347e-10
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,4.547473508865e-12
54,0.000000000000e+00
55,2.328306436539e-10
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-1.818989403546e-11
60,0.000000000000e+00
61,8.731149137020e-10
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-2.819433575496e-11
66,0.000000000000e+00
67,-1.513399183750e-09
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-1.000444171950e-11
72,0.000000000000e+00
73,1.804437488317e-09
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-9.094947017729e-12
78,0.000000000000e+00
79,6.402842700481e-10
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,5.456968210638e-11
84,0.000000000000e+00
85,-2.386514097452e-09
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-3.819877747446e-11
90,0.000000000000e+00
91,2.910383045673e-10
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-6.002665031701e-11
96,0.000000000000e+00
97,1.513399183750e-09
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,5.275069270283e-11
102,0.000000000000e+00
103,-2.793967723846e-09
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-3.637978807092e-11
108,0.000000000000e+00
109,1.513399183750e-09
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-4.365574568510e-11
114,0.000000000000e+00
115,-2.328306436539e-10
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,5.456968210638e-11
120,0.000000000000e+00
121,-1.455191522837e-09
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-2.819433575496e-11
126,0.000000000000e+00
127,3.492459654808e-10
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,9.094947017729e-12
132,0.000000000000e+00
133,-1.571606844664e-09
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,2.819433575496e-11
138,0.000000000000e+00
139,8.731149137020e-10
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,5.911715561524e-11
144,0.000000000000e+00
145,3.783497959375e-09
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,1.582520781085e-10
150,0.000000000000e+00
151,-5.762558430433e-09
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,1.818989403546e-11
156,0.000000000000e+00
157,3.201421350241e-09
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-2.819433575496e-11
162,0.000000000000e+00
163,5.937181413174e-09
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-1.464286469854e-10
168,0.000000000000e+00
169,-3.143213689327e-09
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,-2.455635694787e-11
174,0.000000000000e+00
175,6.286427378654e-09
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-6.093614501879e-11
180,0.000000000000e+00
181,-4.656612873077e-10
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,1.091393642128e-10
186,0.000000000000e+00
187,-1.047737896442e-09
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,2.137312549166e-10
192,0.000000000000e+00
193,-2.677552402020e-09
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,7.457856554538e-11
