Global DOF,Value
0,0.000000000000e+00
1,0.000000000000e+00
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-2.181078808977e-06
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-6.905202697358e-05
12,0.000000000000e+00
13,-8.538691507486e-06
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.336490844650e-04
18,0.000000000000e+00
19,-1.879440250289e-05
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-1.937911724743e-04
24,0.000000000000e+00
25,-3.266977620257e-05
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-2.494782910015e-04
30,0.000000000000e+00
31,-4.988637701387e-05
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-3.007104400465e-04
36,0.000000000000e+00
37,-7.016576934417e-05
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-3.474876196095e-04
42,0.000000000000e+00
43,-9.322951760084e-05
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-3.898098296902e-04
48,0.000000000000e+00
49,-1.187991861912e-04
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-4.276770702889e-04
54,0.000000000000e+00
55,-1.465963395227e-04
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-4.610893414054e-04
60,0.000000000000e+00
61,-1.763425420027e-04
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-4.900466430398e-04
66,0.000000000000e+00
67,-2.077593580385e-04
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-5.145489751920e-04
72,0.000000000000e+00
73,-2.405683520375e-04
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-5.345963378622e-04
78,0.000000000000e+00
79,-2.744910884071e-04
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-5.501887310501e-04
84,0.000000000000e+00
85,-3.092491315546e-04
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-5.613261547560e-04
90,0.000000000000e+00
91,-3.445640458873e-04
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-5.680086089797e-04
96,0.000000000000e+00
97,-3.801573958128e-04
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-5.702360937213e-04
102,0.000000000000e+00
103,-4.157971516704e-04
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-5.702360937219e-04
108,0.000000000000e+00
109,-4.514369075280e-04
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-5.702360937223e-04
114,0.000000000000e+00
115,-4.870766633857e-04
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-5.702360937228e-04
120,0.000000000000e+00
121,-5.227164192434e-04
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-5.702360937232e-04
126,0.000000000000e+00
127,-5.583561751011e-04
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,-5.702360937236e-04
132,0.000000000000e+00
133,-5.939959309588e-04
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-5.702360937239e-04
138,0.000000000000e+00
139,-6.296356868166e-04
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,-5.702360937242e-04
144,0.000000000000e+00
145,-6.652754426744e-04
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-5.702360937244e-04
150,0.000000000000e+00
151,-7.009151985321e-04
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-5.702360937245e-04
156,0.000000000000e+00
157,-7.365549543899e-04
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-5.702360937246e-04
162,0.000000000000e+00
163,-7.721947102477e-04
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-5.702360937247e-04
168,0.000000000000e+00
169,-8.078344661055e-04
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,-5.702360937247e-04
174,0.000000000000e+00
175,-8.434742219633e-04
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-5.702360937247e-04
180,0.000000000000e+00
181,-8.791139778211e-04
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,-5.702360937247e-04
186,-0.000000000000e+00
187,-9.147537336789e-04
188,-0.000000000000e+00
189,-0.000000000000e+00
190,-0.000000000000e+00
191,-5.702360937247e-04
192,0.000000000000e+00
193,-9.503934895367e-04
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,-5.702360937247e-04
