element_id,total_strain_energy
0,1.672933852441e-02
1,1.464107157963e-02
2,1.269202243117e-02
3,1.088219107902e-02
4,9.211577523194e-03
5,7.680181763686e-03
6,6.288003800495e-03
7,5.035043633621e-03
8,3.921301263065e-03
9,2.946776688826e-03
10,2.111469910906e-03
11,1.415380929303e-03
12,8.585097440162e-04
13,4.408563550469e-04
14,1.624207623955e-04
15,2.320296606127e-05
16,9.158337904928e-25
17,8.177453967769e-25
18,7.144903409047e-25
19,5.888236698610e-25
20,4.850032910036e-25
21,3.739912605649e-25
22,2.587204709670e-25
23,1.617907035210e-25
24,8.586065470887e-26
25,3.883528134883e-26
26,5.460171283042e-27
27,6.134043904072e-28
28,1.035820790576e-27
29,1.981892067943e-28
30,1.168026331166e-27
31,3.764422211891e-28
