element_id,max_axial_force,max_shear_force,max_torque,max_moment,max_principal_s1,min_principal_s3,max_von_mises,mean_von_mises
0,0.000000e+00,0.000000e+00,0.000000e+00,4.964781e+02,0.000000e+00,-4.964781e+02,4.964781e+02,4.843750e+02
1,0.000000e+00,0.000000e+00,0.000000e+00,4.652281e+02,0.000000e+00,-4.652281e+02,4.652281e+02,4.531250e+02
2,0.000000e+00,0.000000e+00,0.000000e+00,4.339781e+02,0.000000e+00,-4.339781e+02,4.339781e+02,4.218750e+02
3,0.000000e+00,0.000000e+00,0.000000e+00,4.027281e+02,0.000000e+00,-4.027281e+02,4.027281e+02,3.906250e+02
4,0.000000e+00,0.000000e+00,0.000000e+00,3.714781e+02,0.000000e+00,-3.714781e+02,3.714781e+02,3.593750e+02
5,0.000000e+00,0.000000e+00,0.000000e+00,3.402281e+02,0.000000e+00,-3.402281e+02,3.402281e+02,3.281250e+02
6,0.000000e+00,0.000000e+00,0.000000e+00,3.089781e+02,0.000000e+00,-3.089781e+02,3.089781e+02,2.968750e+02
7,0.000000e+00,0.000000e+00,0.000000e+00,2.777281e+02,0.000000e+00,-2.777281e+02,2.777281e+02,2.656250e+02
8,0.000000e+00,0.000000e+00,0.000000e+00,2.464781e+02,0.000000e+00,-2.464781e+02,2.464781e+02,2.343750e+02
9,0.000000e+00,0.000000e+00,0.000000e+00,2.152281e+02,0.000000e+00,-2.152281e+02,2.152281e+02,2.031250e+02
10,0.000000e+00,0.000000e+00,0.000000e+00,1.839781e+02,0.000000e+00,-1.839781e+02,1.839781e+02,1.718750e+02
11,0.000000e+00,0.000000e+00,0.000000e+00,1.527281e+02,0.000000e+00,-1.527281e+02,1.527281e+02,1.406250e+02
12,0.000000e+00,0.000000e+00,0.000000e+00,1.214781e+02,0.000000e+00,-1.214781e+02,1.214781e+02,1.093750e+02
13,0.000000e+00,0.000000e+00,0.000000e+00,9.022807e+01,0.000000e+00,-9.022807e+01,9.022807e+01,7.812500e+01
14,0.000000e+00,0.000000e+00,0.000000e+00,5.897807e+01,0.000000e+00,-5.897807e+01,5.897807e+01,4.687500e+01
15,0.000000e+00,0.000000e+00,0.000000e+00,2.772807e+01,0.000000e+00,-2.772807e+01,2.772807e+01,1.562500e+01
16,0.000000e+00,0.000000e+00,0.000000e+00,3.626200e-09,0.000000e+00,-3.626200e-09,3.626200e-09,3.582597e-09
17,0.000000e+00,0.000000e+00,0.000000e+00,3.504516e-09,0.000000e+00,-3.504516e-09,3.504516e-09,3.385113e-09
18,0.000000e+00,0.000000e+00,0.000000e+00,3.212473e-09,0.000000e+00,-3.212473e-09,3.212473e-09,3.165320e-09
19,0.000000e+00,0.000000e+00,0.000000e+00,3.017778e-09,0.000000e+00,-3.017778e-09,3.017778e-09,2.872010e-09
20,0.000000e+00,0.000000e+00,0.000000e+00,2.774408e-09,0.000000e+00,-2.774408e-09,2.774408e-09,2.605064e-09
21,0.000000e+00,0.000000e+00,0.000000e+00,2.433692e-09,0.000000e+00,-2.433692e-09,2.433692e-09,2.287924e-09
22,0.000000e+00,0.000000e+00,0.000000e+00,2.092975e-09,0.000000e+00,-2.092975e-09,2.092975e-09,1.899293e-09
23,0.000000e+00,0.000000e+00,0.000000e+00,1.606236e-09,0.000000e+00,-1.606236e-09,1.606236e-09,1.505847e-09
24,0.000000e+00,0.000000e+00,0.000000e+00,1.168172e-09,0.000000e+00,-1.168172e-09,1.168172e-09,1.095922e-09
25,0.000000e+00,0.000000e+00,0.000000e+00,9.248028e-10,0.000000e+00,-9.248028e-10,9.248028e-10,7.252908e-10
26,0.000000e+00,0.000000e+00,0.000000e+00,3.893907e-10,0.000000e+00,-3.893907e-10,3.893907e-10,2.514815e-10
27,0.000000e+00,0.000000e+00,0.000000e+00,9.734766e-11,0.000000e+00,-9.734766e-11,9.734766e-11,9.379853e-11
28,0.000000e+00,0.000000e+00,0.000000e+00,1.946953e-10,1.946953e-10,-9.734766e-11,1.946953e-10,1.158539e-10
29,0.000000e+00,0.000000e+00,0.000000e+00,9.734766e-11,1.825269e-11,-9.734766e-11,9.734766e-11,3.853345e-11
30,0.000000e+00,0.000000e+00,0.000000e+00,1.946953e-10,9.734766e-11,-1.946953e-10,1.946953e-10,1.257407e-10
31,0.000000e+00,0.000000e+00,0.000000e+00,9.734766e-11,9.734766e-11,-9.734766e-11,9.734766e-11,6.692652e-11
