Global DOF,Value
0,0.000000000000e+00
1,-5.000000000000e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-5.000000000000e+02
6,0.000000000000e+00
7,-3.637978807092e-12
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-4.547473508865e-13
12,0.000000000000e+00
13,1.818989403546e-11
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,1.591615728103e-12
18,0.000000000000e+00
19,-2.546585164964e-11
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,1.591615728103e-12
24,0.000000000000e+00
25,-3.637978807092e-12
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-9.094947017729e-13
30,0.000000000000e+00
31,0.000000000000e+00
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-5.456968210638e-12
36,0.000000000000e+00
37,1.818989403546e-11
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,4.547473508865e-12
42,0.000000000000e+00
43,-2.182787284255e-11
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-6.139089236967e-12
48,0.000000000000e+00
49,2.182787284255e-11
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,9.094947017729e-13
