Global DOF,Value
0,0.000000000000e+00
1,-5.000006613061e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-1.250001847323e+05
6,0.000000000000e+00
7,-1.862645149231e-09
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,3.725290298462e-09
12,0.000000000000e+00
13,-7.450580596924e-09
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,0.000000000000e+00
18,0.000000000000e+00
19,5.960464477539e-08
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,1.490116119385e-08
24,0.000000000000e+00
25,7.450580596924e-09
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,7.450580596924e-09
30,0.000000000000e+00
31,5.215406417847e-08
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,2.235174179077e-08
36,0.000000000000e+00
37,-6.705522537231e-08
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,5.960464477539e-08
42,0.000000000000e+00
43,8.940696716309e-08
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,8.940696716309e-08
48,0.000000000000e+00
49,-1.341104507446e-07
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-8.940696716309e-08
54,0.000000000000e+00
55,1.490116119385e-08
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,8.195638656616e-08
60,0.000000000000e+00
61,1.490116119385e-07
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-2.235174179077e-07
66,0.000000000000e+00
67,3.278255462646e-07
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,1.564621925354e-07
72,0.000000000000e+00
73,-9.089708328247e-07
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-5.960464477539e-08
78,0.000000000000e+00
79,-2.968907356262e-04
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,2.235174179077e-08
84,0.000000000000e+00
85,6.705522537231e-07
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-1.862645149231e-07
90,0.000000000000e+00
91,-9.387731552124e-07
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,2.980232238770e-07
96,0.000000000000e+00
97,3.129243850708e-07
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,3.278255462646e-07
102,0.000000000000e+00
103,-1.192092895508e-07
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,1.192092895508e-07
108,0.000000000000e+00
109,1.788139343262e-07
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-4.321336746216e-07
114,0.000000000000e+00
115,-4.768371582031e-07
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,4.023313522339e-07
120,0.000000000000e+00
121,-2.682209014893e-07
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,8.940696716309e-08
126,0.000000000000e+00
127,-2.384185791016e-07
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,4.321336746216e-07
132,0.000000000000e+00
133,-1.192092895508e-07
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-1.385807991028e-06
138,0.000000000000e+00
139,1.609325408936e-06
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,5.215406417847e-07
144,0.000000000000e+00
145,-2.652406692505e-06
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,4.917383193970e-07
150,0.000000000000e+00
151,-1.460313796997e-06
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-7.748603820801e-07
156,0.000000000000e+00
157,-5.364418029785e-07
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-1.460313796997e-06
162,0.000000000000e+00
163,5.960464477539e-08
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-1.192092895508e-07
168,0.000000000000e+00
169,-2.384185791016e-07
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,1.460313796997e-06
174,0.000000000000e+00
175,-8.940696716309e-07
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-8.493661880493e-07
180,0.000000000000e+00
181,-1.251697540283e-06
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,4.470348358154e-08
186,0.000000000000e+00
187,-9.834766387939e-07
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,-5.364418029785e-07
192,0.000000000000e+00
193,3.904104232788e-06
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,5.960464477539e-07
198,0.000000000000e+00
199,-1.758337020874e-06
200,0.000000000000e+00
201,0.000000000000e+00
202,0.000000000000e+00
203,-1.311302185059e-06
204,0.000000000000e+00
205,1.490116119385e-06
206,0.000000000000e+00
207,0.000000000000e+00
208,0.000000000000e+00
209,-7.450580596924e-07
210,0.000000000000e+00
211,-2.682209014893e-07
212,0.000000000000e+00
213,0.000000000000e+00
214,0.000000000000e+00
215,2.592802047729e-06
216,0.000000000000e+00
217,2.741813659668e-06
218,0.000000000000e+00
219,0.000000000000e+00
220,0.000000000000e+00
221,1.639127731323e-06
222,0.000000000000e+00
223,-8.940696716309e-07
224,0.000000000000e+00
225,0.000000000000e+00
226,0.000000000000e+00
227,1.817941665649e-06
228,0.000000000000e+00
229,9.536743164062e-07
230,0.000000000000e+00
231,0.000000000000e+00
232,0.000000000000e+00
233,1.370906829834e-06
234,0.000000000000e+00
235,4.053115844727e-06
236,0.000000000000e+00
237,0.000000000000e+00
238,0.000000000000e+00
239,1.311302185059e-06
240,0.000000000000e+00
241,-8.046627044678e-06
242,0.000000000000e+00
243,0.000000000000e+00
244,0.000000000000e+00
245,1.788139343262e-06
246,0.000000000000e+00
247,2.562999725342e-06
248,0.000000000000e+00
249,0.000000000000e+00
250,0.000000000000e+00
251,8.046627044678e-07
252,0.000000000000e+00
253,4.410743713379e-06
254,0.000000000000e+00
255,0.000000000000e+00
256,0.000000000000e+00
257,3.278255462646e-07
258,0.000000000000e+00
259,-2.086162567139e-06
260,0.000000000000e+00
261,0.000000000000e+00
262,0.000000000000e+00
263,4.351139068604e-06
264,0.000000000000e+00
265,-6.735324859619e-06
266,0.000000000000e+00
267,0.000000000000e+00
268,0.000000000000e+00
269,-9.834766387939e-07
270,0.000000000000e+00
271,-4.768371582031e-06
272,0.000000000000e+00
273,0.000000000000e+00
274,0.000000000000e+00
275,1.192092895508e-07
276,0.000000000000e+00
277,-1.728534698486e-06
278,0.000000000000e+00
279,0.000000000000e+00
280,0.000000000000e+00
281,1.788139343262e-06
282,0.000000000000e+00
283,-5.364418029785e-06
284,0.000000000000e+00
285,0.000000000000e+00
286,0.000000000000e+00
287,2.086162567139e-07
288,0.000000000000e+00
289,5.364418029785e-07
290,0.000000000000e+00
291,0.000000000000e+00
292,0.000000000000e+00
293,5.066394805908e-07
294,0.000000000000e+00
295,-3.635883331299e-06
296,0.000000000000e+00
297,0.000000000000e+00
298,0.000000000000e+00
299,1.162290573120e-06
300,0.000000000000e+00
301,5.960464477539e-06
302,0.000000000000e+00
303,0.000000000000e+00
304,0.000000000000e+00
305,1.400709152222e-06
306,0.000000000000e+00
307,8.523464202881e-06
308,0.000000000000e+00
309,0.000000000000e+00
310,0.000000000000e+00
311,-1.490116119385e-07
312,0.000000000000e+00
313,9.834766387939e-06
314,0.000000000000e+00
315,0.000000000000e+00
316,0.000000000000e+00
317,-1.519918441772e-06
318,0.000000000000e+00
319,4.768371582031e-07
320,0.000000000000e+00
321,0.000000000000e+00
322,0.000000000000e+00
323,7.152557373047e-07
324,0.000000000000e+00
325,1.025199890137e-05
326,0.000000000000e+00
327,0.000000000000e+00
328,0.000000000000e+00
329,3.159046173096e-06
330,0.000000000000e+00
331,-8.761882781982e-06
332,0.000000000000e+00
333,0.000000000000e+00
334,0.000000000000e+00
335,8.642673492432e-07
336,0.000000000000e+00
337,-7.510185241699e-06
338,0.000000000000e+00
339,0.000000000000e+00
340,0.000000000000e+00
341,5.066394805908e-07
342,0.000000000000e+00
343,-8.344650268555e-06
344,0.000000000000e+00
345,0.000000000000e+00
346,0.000000000000e+00
347,-3.367662429810e-06
348,0.000000000000e+00
349,1.013278961182e-05
350,0.000000000000e+00
351,0.000000000000e+00
352,0.000000000000e+00
353,1.579523086548e-06
354,0.000000000000e+00
355,-4.172325134277e-06
356,0.000000000000e+00
357,0.000000000000e+00
358,0.000000000000e+00
359,5.096197128296e-06
360,0.000000000000e+00
361,7.092952728271e-06
362,0.000000000000e+00
363,0.000000000000e+00
364,0.000000000000e+00
365,-2.831220626831e-06
366,0.000000000000e+00
367,7.748603820801e-07
368,0.000000000000e+00
369,0.000000000000e+00
370,0.000000000000e+00
371,4.172325134277e-07
372,0.000000000000e+00
373,-5.006790161133e-06
374,0.000000000000e+00
375,0.000000000000e+00
376,0.000000000000e+00
377,1.877546310425e-06
378,0.000000000000e+00
379,-6.794929504395e-06
380,0.000000000000e+00
381,0.000000000000e+00
382,0.000000000000e+00
383,-4.619359970093e-06
384,0.000000000000e+00
385,1.430511474609e-06
386,0.000000000000e+00
387,0.000000000000e+00
388,0.000000000000e+00
389,-3.010034561157e-06
390,0.000000000000e+00
391,6.973743438721e-06
392,0.000000000000e+00
393,0.000000000000e+00
394,0.000000000000e+00
395,-2.473592758179e-06
396,0.000000000000e+00
397,-1.531839370728e-05
398,0.000000000000e+00
399,0.000000000000e+00
400,0.000000000000e+00
401,-4.678964614868e-06
402,0.000000000000e+00
403,4.529953002930e-06
404,0.000000000000e+00
405,0.000000000000e+00
406,0.000000000000e+00
407,-4.172325134277e-07
408,0.000000000000e+00
409,7.688999176025e-06
410,0.000000000000e+00
411,0.000000000000e+00
412,0.000000000000e+00
413,8.642673492432e-07
414,0.000000000000e+00
415,1.013278961182e-06
416,0.000000000000e+00
417,0.000000000000e+00
418,0.000000000000e+00
419,8.195638656616e-06
420,0.000000000000e+00
421,-5.722045898438e-06
422,0.000000000000e+00
423,0.000000000000e+00
424,0.000000000000e+00
425,3.635883331299e-06
426,0.000000000000e+00
427,1.293420791626e-05
428,0.000000000000e+00
429,0.000000000000e+00
430,0.000000000000e+00
431,1.251697540283e-06
432,0.000000000000e+00
433,-1.102685928345e-05
434,0.000000000000e+00
435,0.000000000000e+00
436,0.000000000000e+00
437,2.324581146240e-06
438,0.000000000000e+00
439,6.973743438721e-06
440,0.000000000000e+00
441,0.000000000000e+00
442,0.000000000000e+00
443,-1.192092895508e-06
444,0.000000000000e+00
445,-2.110004425049e-05
446,0.000000000000e+00
447,0.000000000000e+00
