Global DOF,Value
0,0.000000000000e+00
1,-4.999999999255e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-2.499999999685e+02
6,0.000000000000e+00
7,2.910383045673e-11
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-2.273736754432e-13
12,0.000000000000e+00
13,5.820766091347e-11
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-2.273736754432e-13
18,0.000000000000e+00
19,1.164153218269e-10
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,4.547473508865e-13
24,0.000000000000e+00
25,-2.328306436539e-10
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-4.547473508865e-13
30,0.000000000000e+00
31,3.492459654808e-10
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-8.185452315956e-12
36,0.000000000000e+00
37,2.328306436539e-10
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,9.094947017729e-13
42,0.000000000000e+00
43,-1.164153218269e-09
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-7.730704965070e-12
48,0.000000000000e+00
49,1.280568540096e-09
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-9.094947017729e-12
54,0.000000000000e+00
55,3.492459654808e-10
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-6.366462912410e-12
60,0.000000000000e+00
61,-1.164153218269e-10
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-1.455191522837e-11
66,0.000000000000e+00
67,5.820766091347e-10
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-5.456968210638e-12
72,0.000000000000e+00
73,-1.164153218269e-10
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,9.094947017729e-13
78,0.000000000000e+00
79,-1.629814505577e-09
80,0.000000000000e+00
