Global DOF,Value
0,0.000000000000e+00
1,0.000000000000e+00
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-6.888380546007e-08
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-8.770721166791e-06
12,0.000000000000e+00
13,-2.726348510841e-07
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.726300674099e-05
18,0.000000000000e+00
19,-6.069025807380e-07
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-2.547685672260e-05
24,0.000000000000e+00
25,-1.067336438287e-06
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-3.341227111162e-05
30,0.000000000000e+00
31,-1.649585867598e-06
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-4.106924990805e-05
36,0.000000000000e+00
37,-2.349300312536e-06
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-4.844779311189e-05
42,0.000000000000e+00
43,-3.162129216967e-06
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-5.554790072314e-05
48,0.000000000000e+00
49,-4.083722024756e-06
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-6.236957274181e-05
54,0.000000000000e+00
55,-5.109728179770e-06
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-6.891280916788e-05
60,0.000000000000e+00
61,-6.235797125874e-06
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-7.517761000136e-05
66,0.000000000000e+00
67,-7.457578306934e-06
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-8.116397524225e-05
72,0.000000000000e+00
73,-8.770721166817e-06
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-8.687190489056e-05
78,0.000000000000e+00
79,-1.017087514939e-05
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-9.230139894627e-05
84,0.000000000000e+00
85,-1.165368969851e-05
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-9.745245740940e-05
90,0.000000000000e+00
91,-1.321481425805e-05
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-1.023250802799e-04
96,0.000000000000e+00
97,-1.484989827188e-05
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-1.069192675579e-04
102,0.000000000000e+00
103,-1.655459118386e-05
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-1.112350192432e-04
108,0.000000000000e+00
109,-1.832454243785e-05
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-1.152723353360e-04
114,0.000000000000e+00
115,-2.015540147773e-05
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-1.190312158362e-04
120,0.000000000000e+00
121,-2.204281774735e-05
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-1.225116607437e-04
126,0.000000000000e+00
127,-2.398244069059e-05
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,-1.257136700587e-04
132,0.000000000000e+00
133,-2.596991975131e-05
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-1.286372437811e-04
138,0.000000000000e+00
139,-2.800090437338e-05
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,-1.312823819109e-04
144,0.000000000000e+00
145,-3.007104400065e-05
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-1.336490844482e-04
150,0.000000000000e+00
151,-3.217598807700e-05
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-1.357373513928e-04
156,0.000000000000e+00
157,-3.431138604630e-05
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-1.375471827448e-04
162,0.000000000000e+00
163,-3.647288735240e-05
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-1.390785785042e-04
168,0.000000000000e+00
169,-3.865614143918e-05
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,-1.403315386710e-04
174,0.000000000000e+00
175,-4.085679775049e-05
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-1.413060632453e-04
180,0.000000000000e+00
181,-4.307050573021e-05
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,-1.420021522270e-04
186,0.000000000000e+00
187,-4.529291482221e-05
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,-1.424198056161e-04
192,0.000000000000e+00
193,-4.751967447034e-05
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,-1.425590234126e-04
198,0.000000000000e+00
199,-4.974715921116e-05
200,0.000000000000e+00
201,0.000000000000e+00
202,0.000000000000e+00
203,-1.425590234128e-04
204,0.000000000000e+00
205,-5.197464395199e-05
206,0.000000000000e+00
207,0.000000000000e+00
208,0.000000000000e+00
209,-1.425590234131e-04
210,0.000000000000e+00
211,-5.420212869282e-05
212,0.000000000000e+00
213,0.000000000000e+00
214,0.000000000000e+00
215,-1.425590234134e-04
216,0.000000000000e+00
217,-5.642961343366e-05
218,0.000000000000e+00
219,0.000000000000e+00
220,0.000000000000e+00
221,-1.425590234138e-04
222,0.000000000000e+00
223,-5.865709817450e-05
224,0.000000000000e+00
225,0.000000000000e+00
226,0.000000000000e+00
227,-1.425590234142e-04
228,0.000000000000e+00
229,-6.088458291535e-05
230,0.000000000000e+00
231,0.000000000000e+00
232,0.000000000000e+00
233,-1.425590234147e-04
234,0.000000000000e+00
235,-6.311206765621e-05
236,0.000000000000e+00
237,0.000000000000e+00
238,0.000000000000e+00
239,-1.425590234153e-04
240,0.000000000000e+00
241,-6.533955239708e-05
242,0.000000000000e+00
243,0.000000000000e+00
244,0.000000000000e+00
245,-1.425590234159e-04
246,0.000000000000e+00
