element_id,total_strain_energy
0,1.079300467520e-03
1,1.011866847448e-03
2,9.466085054432e-04
3,8.835254415049e-04
4,8.226176556333e-04
5,7.638851478286e-04
6,7.073279180906e-04
7,6.529459664194e-04
8,6.007392928150e-04
9,5.507078972774e-04
10,5.028517798067e-04
11,4.571709404028e-04
12,4.136653790654e-04
13,3.723350957949e-04
14,3.331800905913e-04
15,2.962003634543e-04
16,2.613959143840e-04
17,2.287667433806e-04
18,1.983128504439e-04
19,1.700342355739e-04
20,1.439308987707e-04
21,1.200028400343e-04
22,9.825005936453e-05
23,7.867255676162e-05
24,6.127033222559e-05
25,4.604338575637e-05
26,3.299171735398e-05
27,2.211532701870e-05
28,1.341421475019e-05
29,6.888380548549e-06
30,2.537824413597e-06
31,3.625463452686e-07
32,7.670802573786e-25
33,1.129667892206e-24
34,1.592938241470e-24
35,2.106214768428e-24
36,2.719815428633e-24
37,3.412663859971e-24
38,4.217597958087e-24
39,5.060367087657e-24
40,6.061288826747e-24
41,7.196628318320e-24
42,8.371221595531e-24
43,9.639389505442e-24
44,1.103451701169e-23
45,1.259789623816e-23
46,1.407089874469e-23
47,1.571548967255e-23
48,1.728191746900e-23
49,1.901425727284e-23
50,2.096744355084e-23
51,2.306346826801e-23
52,2.518580773761e-23
53,2.763326992654e-23
54,3.018860803900e-23
55,3.257281469132e-23
56,3.510446621138e-23
57,3.732039020848e-23
58,3.978882349441e-23
59,4.273478750361e-23
60,4.605251987876e-23
61,4.928054344223e-23
62,5.335155250618e-23
63,5.739661719019e-23
64,6.079403520892e-23
65,6.417414726127e-23
66,6.811112327895e-23
67,7.212843281606e-23
68,7.609168703036e-23
69,8.107617295686e-23
70,8.538508182781e-23
71,8.874340658115e-23
72,9.150099009557e-23
73,9.433484058138e-23
74,9.791339281117e-23
75,9.984759855592e-23
76,1.007411910684e-22
77,1.014274955912e-22
78,1.014402203424e-22
79,1.001638958087e-22
80,9.802262722679e-23
81,9.469588960208e-23
82,9.170747468239e-23
83,8.934924104996e-23
84,8.722822856485e-23
85,8.562368684098e-23
86,8.410102883584e-23
87,8.164008530986e-23
88,7.898916310003e-23
89,7.634284543145e-23
90,7.365183203802e-23
91,7.051283508090e-23
92,6.688273245224e-23
93,6.401934991018e-23
94,6.004900669370e-23
95,5.603621832955e-23
96,5.243742812966e-23
97,4.915208596537e-23
98,4.512938986330e-23
99,4.046549824990e-23
100,3.567033987436e-23
101,3.126959587220e-23
102,2.772984436067e-23
103,2.397689920219e-23
104,2.067386466579e-23
105,1.741625885285e-23
106,1.463288677414e-23
107,1.228879213031e-23
108,1.027333178379e-23
109,8.928041460274e-24
110,7.596500865711e-24
111,6.625682983285e-24
112,5.738264327528e-24
113,4.766356679321e-24
114,3.778167630192e-24
115,2.874741205998e-24
116,2.270027584552e-24
117,1.693896402440e-24
118,1.096587037958e-24
119,6.557297743426e-25
120,4.161183636749e-25
121,1.919219541267e-25
122,1.165956897592e-25
123,7.742278954176e-26
124,3.235103477092e-26
125,2.345876001253e-26
126,9.353083904081e-27
127,7.508321872782e-28
