Global DOF,Value
0,0.000000000000e+00
1,0.000000000000e+00
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-4.083722025266e-06
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-6.236957274952e-05
12,0.000000000000e+00
13,-1.484989827369e-05
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.069192675706e-04
18,0.000000000000e+00
19,-3.007104400423e-05
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-1.336490844633e-04
24,0.000000000000e+00
25,-4.751967447583e-05
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-1.425590234275e-04
30,0.000000000000e+00
31,-6.533955240427e-05
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-1.425590234275e-04
36,0.000000000000e+00
37,-8.315943033272e-05
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-1.425590234276e-04
42,0.000000000000e+00
43,-1.009793082612e-04
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-1.425590234276e-04
48,0.000000000000e+00
49,-1.187991861896e-04
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-1.425590234276e-04
54,0.000000000000e+00
55,-1.366190641181e-04
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-1.425590234276e-04
60,0.000000000000e+00
61,-1.544389420465e-04
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-1.425590234276e-04
66,0.000000000000e+00
67,-1.722588199750e-04
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-1.425590234276e-04
72,0.000000000000e+00
73,-1.900786979034e-04
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-1.425590234276e-04
78,0.000000000000e+00
79,-2.078985758319e-04
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-1.425590234276e-04
84,0.000000000000e+00
85,-2.257184537603e-04
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-1.425590234276e-04
90,-0.000000000000e+00
91,-2.435383316888e-04
92,-0.000000000000e+00
93,-0.000000000000e+00
94,-0.000000000000e+00
95,-1.425590234276e-04
96,0.000000000000e+00
97,-2.613582096172e-04
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-1.425590234276e-04
