element_id,total_strain_energy
0,3.921301262955e-03
1,2.946776688735e-03
2,2.111469910831e-03
3,1.415380929243e-03
4,8.585097439722e-04
5,4.408563550172e-04
6,1.624207623784e-04
7,2.320296605587e-05
8,1.384957436996e-25
9,1.301124053013e-25
10,1.237027923242e-25
11,1.162222526258e-25
12,1.063853415653e-25
13,9.767349003525e-26
14,9.046904049028e-26
15,8.180877019334e-26
16,7.193416268814e-26
17,6.437413017109e-26
18,5.689309344215e-26
19,4.671108515045e-26
20,3.864199487869e-26
21,2.977804284400e-26
22,2.060480611676e-26
23,1.294100759645e-26
24,6.914652114006e-27
25,3.154793650203e-27
26,4.242499160256e-28
27,2.208567766565e-28
28,2.972563246320e-29
29,1.228146411371e-29
30,3.019861313077e-29
31,9.389067082228e-29
