element_id,max_axial_force,max_shear_force,max_torque,max_moment,max_principal_s1,min_principal_s3,max_von_mises,mean_von_mises
0,0.000000e+00,0.000000e+00,0.000000e+00,2.464781e+02,0.000000e+00,-2.464781e+02,2.464781e+02,2.343750e+02
1,0.000000e+00,0.000000e+00,0.000000e+00,2.152281e+02,0.000000e+00,-2.152281e+02,2.152281e+02,2.031250e+02
2,0.000000e+00,0.000000e+00,0.000000e+00,1.839781e+02,0.000000e+00,-1.839781e+02,1.839781e+02,1.718750e+02
3,0.000000e+00,0.000000e+00,0.000000e+00,1.527281e+02,0.000000e+00,-1.527281e+02,1.527281e+02,1.406250e+02
4,0.000000e+00,0.000000e+00,0.000000e+00,1.214781e+02,0.000000e+00,-1.214781e+02,1.214781e+02,1.093750e+02
5,0.000000e+00,0.000000e+00,0.000000e+00,9.022807e+01,0.000000e+00,-9.022807e+01,9.022807e+01,7.812500e+01
6,0.000000e+00,0.000000e+00,0.000000e+00,5.897807e+01,0.000000e+00,-5.897807e+01,5.897807e+01,4.687500e+01
7,0.000000e+00,0.000000e+00,0.000000e+00,2.772807e+01,0.000000e+00,-2.772807e+01,2.772807e+01,1.562500e+01
8,0.000000e+00,0.000000e+00,0.000000e+00,1.417625e-09,0.000000e+00,-1.417625e-09,1.417625e-09,1.393669e-09
9,0.000000e+00,0.000000e+00,0.000000e+00,1.362867e-09,0.000000e+00,-1.362867e-09,1.362867e-09,1.350952e-09
10,0.000000e+00,0.000000e+00,0.000000e+00,1.332446e-09,0.000000e+00,-1.332446e-09,1.332446e-09,1.317299e-09
11,0.000000e+00,0.000000e+00,0.000000e+00,1.295941e-09,0.000000e+00,-1.295941e-09,1.295941e-09,1.277054e-09
12,0.000000e+00,0.000000e+00,0.000000e+00,1.229014e-09,0.000000e+00,-1.229014e-09,1.229014e-09,1.221219e-09
13,0.000000e+00,0.000000e+00,0.000000e+00,1.186425e-09,0.000000e+00,-1.186425e-09,1.186425e-09,1.170707e-09
14,0.000000e+00,0.000000e+00,0.000000e+00,1.143835e-09,0.000000e+00,-1.143835e-09,1.143835e-09,1.126280e-09
15,0.000000e+00,0.000000e+00,0.000000e+00,1.095161e-09,0.000000e+00,-1.095161e-09,1.095161e-09,1.071078e-09
16,0.000000e+00,0.000000e+00,0.000000e+00,1.022150e-09,0.000000e+00,-1.022150e-09,1.022150e-09,1.004341e-09
17,0.000000e+00,0.000000e+00,0.000000e+00,9.734766e-10,0.000000e+00,-9.734766e-10,9.734766e-10,9.499002e-10
18,0.000000e+00,0.000000e+00,0.000000e+00,9.248028e-10,0.000000e+00,-9.248028e-10,9.248028e-10,8.934310e-10
19,0.000000e+00,0.000000e+00,0.000000e+00,8.396236e-10,0.000000e+00,-8.396236e-10,8.396236e-10,8.092025e-10
20,0.000000e+00,0.000000e+00,0.000000e+00,7.666128e-10,0.000000e+00,-7.666128e-10,7.666128e-10,7.360016e-10
21,0.000000e+00,0.000000e+00,0.000000e+00,6.814336e-10,0.000000e+00,-6.814336e-10,6.814336e-10,6.455620e-10
22,0.000000e+00,0.000000e+00,0.000000e+00,5.840860e-10,0.000000e+00,-5.840860e-10,5.840860e-10,5.361727e-10
23,0.000000e+00,0.000000e+00,0.000000e+00,4.624014e-10,0.000000e+00,-4.624014e-10,4.624014e-10,4.253890e-10
24,0.000000e+00,0.000000e+00,0.000000e+00,3.407168e-10,0.000000e+00,-3.407168e-10,3.407168e-10,3.105492e-10
25,0.000000e+00,0.000000e+00,0.000000e+00,2.677061e-10,0.000000e+00,-2.677061e-10,2.677061e-10,2.057864e-10
26,0.000000e+00,0.000000e+00,0.000000e+00,9.734766e-11,0.000000e+00,-9.734766e-11,9.734766e-11,7.446843e-11
27,0.000000e+00,0.000000e+00,0.000000e+00,9.734766e-11,2.433692e-11,-9.734766e-11,9.734766e-11,4.924423e-11
28,0.000000e+00,0.000000e+00,0.000000e+00,2.433692e-11,2.433692e-11,0.000000e+00,2.433692e-11,2.091454e-11
29,0.000000e+00,0.000000e+00,0.000000e+00,2.433692e-11,4.182907e-12,-2.433692e-11,2.433692e-11,9.506608e-12
30,0.000000e+00,0.000000e+00,0.000000e+00,2.433692e-11,0.000000e+00,-2.433692e-11,2.433692e-11,1.616123e-11
31,0.000000e+00,0.000000e+00,0.000000e+00,4.867383e-11,4.867383e-11,-4.867383e-11,4.867383e-11,3.295624e-11
