Row (Condensed DOF),Column (Condensed DOF),K Value
0,0,1.100400000000e+09
0,6,-5.502000000000e+08
1,1,8.417566080000e+07
1,5,0.000000000000e+00
1,7,-4.208783040000e+07
1,11,1.052195760000e+07
2,2,1.303948800000e+07
2,4,0.000000000000e+00
2,8,-6.519744000000e+06
2,10,-1.629936000000e+06
3,3,8.445805200000e+03
3,9,-4.222902600000e+03
4,2,0.000000000000e+00
4,4,1.086624000000e+06
4,8,1.629936000000e+06
4,10,2.716560000000e+05
5,1,0.000000000000e+00
5,5,7.014638400000e+06
5,7,-1.052195760000e+07
5,11,1.753659600000e+06
6,0,-5.502000000000e+08
6,6,1.100400000000e+09
6,12,-5.502000000000e+08
7,1,-4.208783040000e+07
7,5,-1.052195760000e+07
7,7,8.417566080000e+07
7,11,0.000000000000e+00
7,13,-4.208783040000e+07
7,17,1.052195760000e+07
8,2,-6.519744000000e+06
8,4,1.629936000000e+06
8,8,1.303948800000e+07
8,10,0.000000000000e+00
8,14,-6.519744000000e+06
8,16,-1.629936000000e+06
9,3,-4.222902600000e+03
9,9,8.445805200000e+03
9,15,-4.222902600000e+03
10,2,-1.629936000000e+06
10,4,2.716560000000e+05
10,8,0.000000000000e+00
10,10,1.086624000000e+06
10,14,1.629936000000e+06
10,16,2.716560000000e+05
11,1,1.052195760000e+07
11,5,1.753659600000e+06
11,7,0.000000000000e+00
11,11,7.014638400000e+06
11,13,-1.052195760000e+07
11,17,1.753659600000e+06
12,6,-5.502000000000e+08
12,12,1.100400000000e+09
12,18,-5.502000000000e+08
13,7,-4.208783040000e+07
13,11,-1.052195760000e+07
13,13,8.417566080000e+07
13,17,0.000000000000e+00
13,19,-4.208783040000e+07
13,23,1.052195760000e+07
14,8,-6.519744000000e+06
14,10,1.629936000000e+06
14,14,1.303948800000e+07
14,16,0.000000000000e+00
14,20,-6.519744000000e+06
14,22,-1.629936000000e+06
15,9,-4.222902600000e+03
15,15,8.445805200000e+03
15,21,-4.222902600000e+03
16,8,-1.629936000000e+06
16,10,2.716560000000e+05
16,14,0.000000000000e+00
16,16,1.086624000000e+06
16,20,1.629936000000e+06
16,22,2.716560000000e+05
17,7,1.052195760000e+07
17,11,1.753659600000e+06
17,13,0.000000000000e+00
17,17,7.014638400000e+06
17,19,-1.052195760000e+07
17,23,1.753659600000e+06
18,12,-5.502000000000e+08
18,18,5.502000000000e+08
19,13,-4.208783040000e+07
19,17,-1.052195760000e+07
19,19,4.208783040000e+07
19,23,-1.052195760000e+07
20,14,-6.519744000000e+06
20,16,1.629936000000e+06
20,20,6.519744000000e+06
20,22,1.629936000000e+06
21,15,-4.222902600000e+03
21,21,4.222902600000e+03
22,14,-1.629936000000e+06
22,16,2.716560000000e+05
22,20,1.629936000000e+06
22,22,5.433120000000e+05
23,13,1.052195760000e+07
23,17,1.753659600000e+06
23,19,-1.052195760000e+07
23,23,3.507319200000e+06
