Global DOF,Value
0,0.000000000000e+00
1,0.000000000000e+00
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-4.751967447578e-05
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-1.425590234274e-04
12,0.000000000000e+00
13,-1.187991861895e-04
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.425590234274e-04
18,0.000000000000e+00
19,-1.900786979031e-04
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-1.425590234274e-04
24,0.000000000000e+00
25,-2.613582096168e-04
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-1.425590234274e-04
