Global DOF,Value
0,0.000000000000e+00
1,-4.999999844272e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-2.500000012232e+02
6,0.000000000000e+00
7,5.074311047792e-06
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,7.530616130680e-08
12,0.000000000000e+00
13,-6.384223524947e-05
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.046626039169e-07
18,0.000000000000e+00
19,1.608044840395e-06
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-1.122384674090e-07
24,0.000000000000e+00
25,1.953536411747e-05
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-1.589205567143e-08
30,0.000000000000e+00
31,-1.725042238832e-06
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,1.863695615612e-07
36,0.000000000000e+00
37,8.833943866193e-06
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-7.810062925273e-07
42,0.000000000000e+00
43,-7.664784789085e-07
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-1.683433765720e-07
48,0.000000000000e+00
49,7.621594704688e-06
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-3.997683961643e-07
54,0.000000000000e+00
55,7.673923391849e-06
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,8.618826541351e-09
60,0.000000000000e+00
61,-3.562367055565e-06
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-5.521669663722e-07
66,0.000000000000e+00
67,4.495377652347e-06
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,1.252042238775e-07
72,0.000000000000e+00
73,8.511939086020e-06
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,4.579851520248e-07
78,0.000000000000e+00
79,-1.610722392797e-05
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,4.575258572004e-08
84,0.000000000000e+00
85,3.245449624956e-05
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-2.540100467741e-07
90,0.000000000000e+00
91,3.501208266243e-05
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,2.620413397381e-07
96,0.000000000000e+00
97,-1.995870843530e-05
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,5.556948963203e-07
102,0.000000000000e+00
103,-2.751825377345e-05
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,2.017050064751e-07
108,0.000000000000e+00
109,-9.922427125275e-06
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,3.873910827679e-07
114,0.000000000000e+00
115,4.365574568510e-06
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,3.911131898349e-07
120,0.000000000000e+00
121,2.294132718816e-05
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,5.153528945812e-07
126,0.000000000000e+00
127,-5.916226655245e-07
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,3.713148544193e-07
132,0.000000000000e+00
133,-2.284557558596e-05
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-7.597277544846e-07
138,0.000000000000e+00
139,-1.638784306124e-05
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,-2.267788659083e-07
144,0.000000000000e+00
145,-2.710666740313e-05
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-1.154298843176e-07
150,0.000000000000e+00
151,-2.349138958380e-05
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,1.350558704871e-07
156,0.000000000000e+00
157,2.147915074602e-05
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-8.382276064367e-07
162,0.000000000000e+00
163,2.434855559841e-05
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-3.853915586660e-07
168,0.000000000000e+00
169,4.880770575255e-06
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,-5.548668013944e-07
174,0.000000000000e+00
175,-2.863886766136e-05
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,2.459637471475e-08
180,0.000000000000e+00
181,-7.463851943612e-06
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,1.148418959929e-07
186,0.000000000000e+00
187,1.651840284467e-05
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,-2.892279553635e-07
192,0.000000000000e+00
193,2.334406599402e-05
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,1.273933776247e-07
198,0.000000000000e+00
199,5.109177436680e-06
200,0.000000000000e+00
201,0.000000000000e+00
202,0.000000000000e+00
203,-1.192279341922e-07
204,0.000000000000e+00
205,1.375429565087e-05
206,0.000000000000e+00
207,0.000000000000e+00
208,0.000000000000e+00
209,8.407778295805e-07
210,0.000000000000e+00
211,-5.118839908391e-06
212,0.000000000000e+00
213,0.000000000000e+00
214,0.000000000000e+00
215,-1.837634044932e-07
216,0.000000000000e+00
217,2.977147232741e-05
218,0.000000000000e+00
219,0.000000000000e+00
220,0.000000000000e+00
221,3.853056114167e-07
222,0.000000000000e+00
223,1.796096330509e-05
224,0.000000000000e+00
225,0.000000000000e+00
226,0.000000000000e+00
227,-1.750540832290e-07
228,0.000000000000e+00
229,-9.415904060006e-06
230,0.000000000000e+00
231,0.000000000000e+00
232,0.000000000000e+00
233,7.382072908513e-07
234,0.000000000000e+00
235,-2.352840965614e-05
236,0.000000000000e+00
237,0.000000000000e+00
238,0.000000000000e+00
239,7.206745067379e-08
240,0.000000000000e+00
241,1.573667395860e-05
242,0.000000000000e+00
243,0.000000000000e+00
244,0.000000000000e+00
245,4.435541995917e-07
246,0.000000000000e+00
247,-1.129414886236e-05
248,0.000000000000e+00
249,0.000000000000e+00
250,0.000000000000e+00
251,-2.047818270512e-08
252,0.000000000000e+00
253,1.813197741285e-05
254,0.000000000000e+00
255,0.000000000000e+00
256,0.000000000000e+00
257,-1.044713826559e-07
258,0.000000000000e+00
259,-7.716997060925e-06
260,0.000000000000e+00
261,0.000000000000e+00
262,0.000000000000e+00
263,6.984964784351e-08
264,0.000000000000e+00
265,-3.218196798116e-05
266,0.000000000000e+00
267,0.000000000000e+00
268,0.000000000000e+00
269,-6.216678229976e-07
270,0.000000000000e+00
271,-2.934265648946e-05
272,0.000000000000e+00
273,0.000000000000e+00
274,0.000000000000e+00
275,-3.072618710576e-07
276,0.000000000000e+00
277,5.635083653033e-07
278,0.000000000000e+00
279,0.000000000000e+00
280,0.000000000000e+00
281,4.803268893738e-08
282,0.000000000000e+00
283,-4.465220263228e-05
284,0.000000000000e+00
285,0.000000000000e+00
286,0.000000000000e+00
287,4.029052433907e-07
288,0.000000000000e+00
289,1.020595664158e-05
290,0.000000000000e+00
291,0.000000000000e+00
292,0.000000000000e+00
293,-6.102236511651e-07
294,0.000000000000e+00
295,5.051569314674e-05
296,0.000000000000e+00
297,0.000000000000e+00
298,0.000000000000e+00
299,-4.217636160320e-07
300,0.000000000000e+00
301,-8.634524419904e-07
302,0.000000000000e+00
303,0.000000000000e+00
304,0.000000000000e+00
305,-2.176484485972e-07
306,0.000000000000e+00
307,-6.415403913707e-05
308,0.000000000000e+00
309,0.000000000000e+00
310,0.000000000000e+00
311,-4.449852895050e-07
312,0.000000000000e+00
313,-7.737078703940e-06
314,0.000000000000e+00
315,0.000000000000e+00
316,0.000000000000e+00
317,3.051677595067e-07
318,0.000000000000e+00
319,1.213821815327e-05
320,0.000000000000e+00
321,0.000000000000e+00
322,0.000000000000e+00
323,2.450292413414e-07
324,0.000000000000e+00
325,5.070312181488e-05
326,0.000000000000e+00
327,0.000000000000e+00
328,0.000000000000e+00
329,3.276527422713e-07
330,0.000000000000e+00
331,4.254310624674e-05
332,0.000000000000e+00
333,0.000000000000e+00
334,0.000000000000e+00
335,-5.227007022768e-07
336,0.000000000000e+00
337,1.221307320520e-05
338,0.000000000000e+00
339,0.000000000000e+00
340,0.000000000000e+00
341,4.646699380828e-08
342,0.000000000000e+00
343,-2.120842691511e-05
344,0.000000000000e+00
345,0.000000000000e+00
346,0.000000000000e+00
347,1.719427018543e-07
348,0.000000000000e+00
349,1.794658601284e-06
350,0.000000000000e+00
351,0.000000000000e+00
352,0.000000000000e+00
353,6.951845534786e-07
354,0.000000000000e+00
355,-1.397449523211e-06
356,0.000000000000e+00
357,0.000000000000e+00
358,0.000000000000e+00
359,4.129988155910e-07
360,0.000000000000e+00
361,2.974475501105e-05
362,0.000000000000e+00
363,0.000000000000e+00
364,0.000000000000e+00
365,-1.272969711863e-07
366,0.000000000000e+00
367,2.011074684560e-05
368,0.000000000000e+00
369,0.000000000000e+00
370,0.000000000000e+00
371,7.858216122258e-07
372,0.000000000000e+00
373,-4.074739990756e-05
374,0.000000000000e+00
375,0.000000000000e+00
376,0.000000000000e+00
377,-2.864599082386e-07
378,0.000000000000e+00
379,-1.681828871369e-05
380,0.000000000000e+00
381,0.000000000000e+00
382,0.000000000000e+00
383,2.449532985338e-07
384,0.000000000000e+00
385,-9.132083505392e-06
386,0.000000000000e+00
387,0.000000000000e+00
388,0.000000000000e+00
389,-1.877488102764e-07
