Condensed DOF,Value
0,0.000000000000e+00
1,-2.726348526614e-07
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-1.726300684769e-05
6,0.000000000000e+00
7,-1.067336445291e-06
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-3.341227135982e-05
12,0.000000000000e+00
13,-2.349300329479e-06
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-4.844779348378e-05
18,0.000000000000e+00
19,-4.083722054142e-06
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-6.236957315078e-05
24,0.000000000000e+00
25,-6.235797167656e-06
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-7.517761037752e-05
30,0.000000000000e+00
31,-8.770721218971e-06
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-8.687190516940e-05
36,0.000000000000e+00
37,-1.165368975814e-05
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-9.745245760330e-05
42,0.000000000000e+00
43,-1.484989833598e-05
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-1.069192676445e-04
48,0.000000000000e+00
49,-1.832454250306e-05
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-1.152723353172e-04
54,0.000000000000e+00
55,-2.204281781018e-05
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-1.225116606093e-04
60,0.000000000000e+00
61,-2.596991980869e-05
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-1.286372435654e-04
66,0.000000000000e+00
67,-3.007104404981e-05
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-1.336490841381e-04
72,0.000000000000e+00
73,-3.431138608389e-05
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-1.375471823183e-04
78,0.000000000000e+00
79,-3.865614146165e-05
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-1.403315381269e-04
84,0.000000000000e+00
85,-4.307050573429e-05
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-1.420021516034e-04
90,0.000000000000e+00
91,-4.751967445454e-05
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-1.425590227863e-04
96,0.000000000000e+00
97,-5.197464391747e-05
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-1.425590228566e-04
102,0.000000000000e+00
103,-5.642961338347e-05
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-1.425590229719e-04
108,0.000000000000e+00
109,-6.088458285297e-05
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-1.425590230774e-04
114,0.000000000000e+00
115,-6.533955232549e-05
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-1.425590231665e-04
120,0.000000000000e+00
121,-6.979452180074e-05
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-1.425590232607e-04
126,0.000000000000e+00
127,-7.424949127957e-05
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,-1.425590233954e-04
132,0.000000000000e+00
133,-7.870446076422e-05
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-1.425590236249e-04
138,0.000000000000e+00
139,-8.315943025635e-05
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,-1.425590238677e-04
144,0.000000000000e+00
145,-8.761439975554e-05
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-1.425590240672e-04
150,0.000000000000e+00
151,-9.206936925928e-05
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-1.425590241494e-04
156,0.000000000000e+00
157,-9.652433876467e-05
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-1.425590241813e-04
162,0.000000000000e+00
163,-1.009793082704e-04
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-1.425590241817e-04
168,0.000000000000e+00
169,-1.054342777764e-04
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,-1.425590241953e-04
174,0.000000000000e+00
175,-1.098892472820e-04
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-1.425590241542e-04
180,0.000000000000e+00
181,-1.143442167849e-04
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,-1.425590240119e-04
186,0.000000000000e+00
187,-1.187991862822e-04
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,-1.425590238071e-04
192,0.000000000000e+00
193,-1.232541557723e-04
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,-1.425590235547e-04
198,0.000000000000e+00
199,-1.277091252545e-04
200,0.000000000000e+00
201,0.000000000000e+00
202,0.000000000000e+00
203,-1.425590233039e-04
204,0.000000000000e+00
