element_id,total_strain_energy
0,2.091167340765e-03
1,1.830133978948e-03
2,1.586502829677e-03
3,1.360273891875e-03
4,1.151447184259e-03
5,9.600227043129e-04
6,7.860004622963e-04
7,6.293804398482e-04
8,4.901626454348e-04
9,3.683470742722e-04
10,2.639337318255e-04
11,1.769226094959e-04
12,1.073137115884e-04
13,5.510703979683e-05
14,2.030259336531e-05
15,2.900370562749e-06
16,3.940098532258e-20
17,9.378428639587e-20
18,7.799928191340e-20
19,5.582165481276e-20
20,6.502201105942e-20
21,1.297435694704e-19
22,3.697070068569e-19
23,4.135571366900e-19
24,2.832264437224e-19
25,5.784219626413e-20
26,1.147482074747e-20
27,5.941488781812e-22
28,1.546656413017e-21
29,1.602997588697e-20
30,1.481346869694e-19
31,2.964328207209e-19
32,4.469903734959e-19
33,4.413237025291e-19
34,6.178741418919e-19
35,4.738817951727e-19
36,3.954181760019e-19
37,1.090014855332e-19
38,2.996830660061e-20
39,2.863454941254e-21
40,2.235079245365e-20
41,1.127604758267e-19
42,3.273489384710e-19
43,6.425204171893e-19
44,1.089920193244e-18
45,1.100115279883e-18
46,8.119815173670e-19
47,3.217560043186e-19
48,9.969623763311e-20
49,3.561950028976e-20
50,3.424827637938e-20
51,1.613751601925e-20
52,2.436028799230e-19
53,9.281263914504e-19
54,1.610480693444e-18
55,1.313703690807e-18
56,9.410023030125e-19
57,7.075833834805e-19
58,7.571507147267e-19
59,7.132081855886e-19
60,4.068141655207e-19
61,2.127265839481e-19
62,1.626078084860e-20
63,4.132678078958e-21
