element_id,max_axial_force,max_shear_force,max_torque,max_moment,max_principal_s1,min_principal_s3,max_von_mises,mean_von_mises
0,0.000000e+00,0.000000e+00,0.000000e+00,2.482390e+02,0.000000e+00,-2.482390e+02,2.482390e+02,2.421875e+02
1,0.000000e+00,0.000000e+00,0.000000e+00,2.326140e+02,0.000000e+00,-2.326140e+02,2.326140e+02,2.265625e+02
2,0.000000e+00,0.000000e+00,0.000000e+00,2.169890e+02,0.000000e+00,-2.169890e+02,2.169890e+02,2.109375e+02
3,0.000000e+00,0.000000e+00,0.000000e+00,2.013640e+02,0.000000e+00,-2.013640e+02,2.013640e+02,1.953125e+02
4,0.000000e+00,0.000000e+00,0.000000e+00,1.857390e+02,0.000000e+00,-1.857390e+02,1.857390e+02,1.796875e+02
5,0.000000e+00,0.000000e+00,0.000000e+00,1.701140e+02,0.000000e+00,-1.701140e+02,1.701140e+02,1.640625e+02
6,0.000000e+00,0.000000e+00,0.000000e+00,1.544890e+02,0.000000e+00,-1.544890e+02,1.544890e+02,1.484375e+02
7,0.000000e+00,0.000000e+00,0.000000e+00,1.388640e+02,0.000000e+00,-1.388640e+02,1.388640e+02,1.328125e+02
8,0.000000e+00,0.000000e+00,0.000000e+00,1.232390e+02,0.000000e+00,-1.232390e+02,1.232390e+02,1.171875e+02
9,0.000000e+00,0.000000e+00,0.000000e+00,1.076140e+02,0.000000e+00,-1.076140e+02,1.076140e+02,1.015625e+02
10,0.000000e+00,0.000000e+00,0.000000e+00,9.198904e+01,0.000000e+00,-9.198904e+01,9.198904e+01,8.593750e+01
11,0.000000e+00,0.000000e+00,0.000000e+00,7.636404e+01,0.000000e+00,-7.636404e+01,7.636404e+01,7.031250e+01
12,0.000000e+00,0.000000e+00,0.000000e+00,6.073903e+01,0.000000e+00,-6.073903e+01,6.073903e+01,5.468750e+01
13,0.000000e+00,0.000000e+00,0.000000e+00,4.511403e+01,0.000000e+00,-4.511403e+01,4.511403e+01,3.906250e+01
14,0.000000e+00,0.000000e+00,0.000000e+00,2.948904e+01,0.000000e+00,-2.948904e+01,2.948904e+01,2.343750e+01
15,0.000000e+00,0.000000e+00,0.000000e+00,1.386404e+01,0.000000e+00,-1.386404e+01,1.386404e+01,7.812500e+00
16,0.000000e+00,0.000000e+00,0.000000e+00,1.475511e-06,0.000000e+00,-1.475511e-06,1.475511e-06,9.861507e-07
