Global DOF,Value
0,0.000000000000e+00
1,-5.000000000000e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-2.500000000000e+02
6,0.000000000000e+00
7,0.000000000000e+00
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,1.136868377216e-13
12,0.000000000000e+00
13,-1.818989403546e-12
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-7.389644451905e-13
18,0.000000000000e+00
19,9.094947017729e-13
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-6.821210263297e-13
24,0.000000000000e+00
25,-1.818989403546e-12
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-3.410605131648e-13
30,0.000000000000e+00
31,5.456968210638e-12
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-6.252776074689e-13
36,0.000000000000e+00
37,-7.275957614183e-12
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,7.389644451905e-13
42,0.000000000000e+00
43,-1.818989403546e-12
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,0.000000000000e+00
48,0.000000000000e+00
49,-1.273292582482e-11
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-2.273736754432e-13
