Global DOF,Value
0,0.000000000000e+00
1,0.000000000000e+00
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-1.484989827368e-05
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-1.069192675705e-04
12,0.000000000000e+00
13,-4.751967447578e-05
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.425590234273e-04
18,0.000000000000e+00
19,-8.315943033262e-05
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-1.425590234273e-04
24,0.000000000000e+00
25,-1.187991861895e-04
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-1.425590234273e-04
30,0.000000000000e+00
31,-1.544389420463e-04
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-1.425590234273e-04
36,0.000000000000e+00
37,-1.900786979031e-04
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-1.425590234273e-04
42,-0.000000000000e+00
43,-2.257184537600e-04
44,-0.000000000000e+00
45,-0.000000000000e+00
46,-0.000000000000e+00
47,-1.425590234273e-04
48,0.000000000000e+00
49,-2.613582096168e-04
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-1.425590234273e-04
