Row (Global DOF),Column (Global DOF),K Value
0,0,6.877500000000e+10
0,6,-6.877500000000e+10
1,1,9.206712900000e+15
1,5,5.260978800000e+15
1,7,-9.206712900000e+15
1,11,3.945734100000e+15
2,2,1.426194000000e+15
2,4,-8.149680000000e+14
2,8,-1.426194000000e+15
2,10,-6.112260000000e+14
3,3,5.278628250000e+05
3,9,-5.278628250000e+05
4,2,-8.149680000000e+14
4,4,4.753980000000e+14
4,8,8.149680000000e+14
4,10,3.395700000000e+14
5,1,5.260978800000e+15
5,5,3.068904300000e+15
5,7,-5.260978800000e+15
5,11,2.192074500000e+15
6,0,-6.877500000000e+10
6,6,1.375500000000e+11
6,12,-6.877500000000e+10
7,1,-9.206712900000e+15
7,5,-5.260978800000e+15
7,7,1.841342580000e+16
7,11,1.315244700000e+15
7,13,-9.206712900000e+15
7,17,3.945734100000e+15
8,2,-1.426194000000e+15
8,4,8.149680000000e+14
8,8,2.852388000000e+15
8,10,-2.037420000000e+14
8,14,-1.426194000000e+15
8,16,-6.112260000000e+14
9,3,-5.278628250000e+05
9,9,1.055725650000e+06
9,15,-5.278628250000e+05
10,2,-6.112260000000e+14
10,4,3.395700000000e+14
10,8,-2.037420000000e+14
10,10,7.470540000000e+14
10,14,8.149680000000e+14
10,16,3.395700000000e+14
11,1,3.945734100000e+15
11,5,2.192074500000e+15
11,7,1.315244700000e+15
11,11,4.822563900000e+15
11,13,-5.260978800000e+15
11,17,2.192074500000e+15
12,6,-6.877500000000e+10
12,12,1.375500000000e+11
12,18,-6.877500000000e+10
13,7,-9.206712900000e+15
13,11,-5.260978800000e+15
13,13,1.841342580000e+16
13,17,1.315244700000e+15
13,19,-9.206712900000e+15
13,23,3.945734100000e+15
14,8,-1.426194000000e+15
14,10,8.149680000000e+14
14,14,2.852388000000e+15
14,16,-2.037420000000e+14
14,20,-1.426194000000e+15
14,22,-6.112260000000e+14
15,9,-5.278628250000e+05
15,15,1.055725650000e+06
15,21,-5.278628250000e+05
16,8,-6.112260000000e+14
16,10,3.395700000000e+14
16,14,-2.037420000000e+14
16,16,7.470540000000e+14
16,20,8.149680000000e+14
16,22,3.395700000000e+14
17,7,3.945734100000e+15
17,11,2.192074500000e+15
17,13,1.315244700000e+15
17,17,4.822563900000e+15
17,19,-5.260978800000e+15
17,23,2.192074500000e+15
18,12,-6.877500000000e+10
18,18,1.375500000000e+11
18,24,-6.877500000000e+10
19,13,-9.206712900000e+15
19,17,-5.260978800000e+15
19,19,1.841342580000e+16
