Global DOF,Value
0,0.000000000000e+00
1,-9.999999995229e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-1.000000000001e+03
6,0.000000000000e+00
7,-1.164170981838e-10
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-3.183231456205e-12
12,0.000000000000e+00
13,4.656595109509e-10
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-5.456968210638e-12
18,0.000000000000e+00
19,-1.164154106448e-09
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-6.366462912410e-12
24,0.000000000000e+00
25,2.561137080193e-09
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,0.000000000000e+00
30,0.000000000000e+00
31,-2.793967723846e-09
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-2.546585164964e-11
36,0.000000000000e+00
37,-5.122275048564e-09
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-5.275069270283e-11
42,0.000000000000e+00
43,9.313225746155e-09
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-5.456968210638e-11
48,0.000000000000e+00
49,-4.656630636646e-10
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,3.637978807092e-12
54,0.000000000000e+00
55,-1.024454920895e-08
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-8.731149137020e-11
60,0.000000000000e+00
61,1.396983684288e-08
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-1.564330887049e-10
66,0.000000000000e+00
67,-1.350417910828e-08
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-2.546585164964e-11
72,0.000000000000e+00
73,1.676380634308e-08
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,5.456968210638e-11
78,0.000000000000e+00
79,-1.303851693280e-08
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,5.456968210638e-11
84,0.000000000000e+00
85,-5.587935447693e-09
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-1.746229827404e-10
90,0.000000000000e+00
91,1.024454743259e-08
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-5.820766091347e-11
96,0.000000000000e+00
97,1.117586911903e-08
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,2.582964953035e-10
102,0.000000000000e+00
103,-3.539025961175e-08
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,5.820766091347e-11
108,0.000000000000e+00
109,1.583248199211e-08
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,5.093170329928e-11
114,0.000000000000e+00
115,-5.122274338021e-08
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,2.837623469532e-10
120,0.000000000000e+00
121,3.539025605903e-08
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,1.164153218269e-10
126,0.000000000000e+00
127,-5.494803367867e-08
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,3.637978807092e-11
132,0.000000000000e+00
133,1.210719169364e-08
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-1.600710675120e-10
138,0.000000000000e+00
139,-1.396984039559e-08
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,-2.910383045673e-10
144,0.000000000000e+00
145,1.396983684288e-08
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-3.856257535517e-10
150,0.000000000000e+00
151,9.313207982586e-10
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-2.983142621815e-10
156,0.000000000000e+00
157,4.284083665596e-08
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,2.328306436539e-10
162,0.000000000000e+00
163,-1.776356839400e-15
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-1.382431946695e-10
168,0.000000000000e+00
169,8.009373964057e-08
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,2.764863893390e-10
174,0.000000000000e+00
175,3.539025605903e-08
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,4.365574568510e-11
180,0.000000000000e+00
181,-3.539025961175e-08
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,1.382431946695e-10
186,0.000000000000e+00
187,-4.842877565636e-08
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,-8.731149137020e-11
192,0.000000000000e+00
193,2.421438516365e-08
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,-6.402842700481e-10
198,0.000000000000e+00
199,8.195638478981e-08
200,0.000000000000e+00
201,0.000000000000e+00
202,0.000000000000e+00
203,-1.746229827404e-10
204,0.000000000000e+00
205,9.313225568519e-08
206,0.000000000000e+00
207,0.000000000000e+00
208,0.000000000000e+00
209,4.947651177645e-10
210,0.000000000000e+00
211,-6.891787229790e-08
212,0.000000000000e+00
213,0.000000000000e+00
214,0.000000000000e+00
215,1.200533006340e-09
216,0.000000000000e+00
217,-8.009374319329e-08
218,0.000000000000e+00
219,0.000000000000e+00
220,0.000000000000e+00
221,-7.130438461900e-10
222,0.000000000000e+00
223,2.607703191160e-07
224,0.000000000000e+00
225,0.000000000000e+00
226,0.000000000000e+00
227,6.039044819772e-10
228,0.000000000000e+00
229,-2.700835484148e-07
230,0.000000000000e+00
231,0.000000000000e+00
232,0.000000000000e+00
233,1.091393642128e-09
234,0.000000000000e+00
235,6.519257844673e-08
236,0.000000000000e+00
237,0.000000000000e+00
238,0.000000000000e+00
239,-7.348717190325e-10
240,0.000000000000e+00
241,1.564621907590e-07
242,0.000000000000e+00
243,0.000000000000e+00
244,0.000000000000e+00
245,-1.018634065986e-10
246,0.000000000000e+00
247,-1.776356839400e-15
248,0.000000000000e+00
249,0.000000000000e+00
250,0.000000000000e+00
251,1.673470251262e-10
252,0.000000000000e+00
253,-2.682209032656e-07
254,0.000000000000e+00
255,0.000000000000e+00
256,0.000000000000e+00
257,-4.511093720794e-10
258,0.000000000000e+00
259,6.891786874519e-08
260,0.000000000000e+00
261,0.000000000000e+00
262,0.000000000000e+00
263,-2.401066012681e-10
264,0.000000000000e+00
265,9.499490083442e-08
266,0.000000000000e+00
267,0.000000000000e+00
268,0.000000000000e+00
269,5.093170329928e-10
270,0.000000000000e+00
271,-7.264316259636e-08
272,0.000000000000e+00
273,0.000000000000e+00
274,0.000000000000e+00
275,-3.637978807092e-10
276,0.000000000000e+00
277,-5.587937224050e-09
278,0.000000000000e+00
279,0.000000000000e+00
280,0.000000000000e+00
281,6.111804395914e-10
282,0.000000000000e+00
283,-3.911554991021e-08
284,0.000000000000e+00
285,0.000000000000e+00
286,0.000000000000e+00
287,4.292814992368e-10
288,0.000000000000e+00
289,6.705522359596e-08
290,0.000000000000e+00
291,0.000000000000e+00
292,0.000000000000e+00
293,9.895302355289e-10
294,0.000000000000e+00
295,9.499490083442e-08
296,0.000000000000e+00
297,0.000000000000e+00
298,0.000000000000e+00
299,8.149072527885e-10
300,0.000000000000e+00
301,-3.799796122195e-07
302,0.000000000000e+00
303,0.000000000000e+00
304,0.000000000000e+00
305,-1.033185981214e-09
306,0.000000000000e+00
307,2.738088351606e-07
308,0.000000000000e+00
309,0.000000000000e+00
310,0.000000000000e+00
311,-1.658918336034e-09
312,0.000000000000e+00
313,-1.136213558794e-07
314,0.000000000000e+00
315,0.000000000000e+00
316,0.000000000000e+00
317,9.895302355289e-10
318,0.000000000000e+00
319,1.750886422514e-07
320,0.000000000000e+00
321,0.000000000000e+00
322,0.000000000000e+00
323,0.000000000000e+00
324,0.000000000000e+00
325,-4.470348535790e-08
326,0.000000000000e+00
327,0.000000000000e+00
328,0.000000000000e+00
329,1.033185981214e-09
330,0.000000000000e+00
331,-1.154840010287e-07
332,0.000000000000e+00
333,0.000000000000e+00
334,0.000000000000e+00
335,-2.764863893390e-10
336,0.000000000000e+00
337,-2.421438711764e-07
338,0.000000000000e+00
339,0.000000000000e+00
340,0.000000000000e+00
341,-2.473825588822e-09
342,0.000000000000e+00
343,2.235174001441e-08
344,0.000000000000e+00
345,0.000000000000e+00
346,0.000000000000e+00
347,-1.731677912176e-09
348,0.000000000000e+00
349,2.812594157575e-07
350,0.000000000000e+00
351,0.000000000000e+00
352,0.000000000000e+00
353,-7.275957614183e-11
354,0.000000000000e+00
355,2.030283194898e-07
356,0.000000000000e+00
357,0.000000000000e+00
358,0.000000000000e+00
359,1.702574081719e-09
360,0.000000000000e+00
361,-1.862646925588e-09
362,0.000000000000e+00
363,0.000000000000e+00
364,0.000000000000e+00
365,1.877197064459e-09
366,0.000000000000e+00
367,1.788139325498e-07
368,0.000000000000e+00
369,0.000000000000e+00
370,0.000000000000e+00
371,1.877197064459e-09
372,0.000000000000e+00
373,-1.825392264010e-07
374,0.000000000000e+00
375,0.000000000000e+00
376,0.000000000000e+00
377,2.168235369027e-09
378,0.000000000000e+00
379,1.117586911903e-08
380,0.000000000000e+00
381,0.000000000000e+00
382,0.000000000000e+00
383,6.984919309616e-10
384,0.000000000000e+00
385,2.607703031288e-08
386,0.000000000000e+00
387,0.000000000000e+00
388,0.000000000000e+00
389,-1.091393642128e-09
390,0.000000000000e+00
391,1.061707708416e-07
392,0.000000000000e+00
393,0.000000000000e+00
394,0.000000000000e+00
395,2.430169843137e-09
396,0.000000000000e+00
397,-1.620501306476e-07
398,0.000000000000e+00
399,0.000000000000e+00
400,0.000000000000e+00
401,1.658918336034e-09
402,0.000000000000e+00
403,7.078051300624e-08
404,0.000000000000e+00
405,0.000000000000e+00
406,0.000000000000e+00
407,-2.328306436539e-10
408,0.000000000000e+00
409,3.110617372570e-07
410,0.000000000000e+00
411,0.000000000000e+00
412,0.000000000000e+00
413,-2.328306436539e-10
414,0.000000000000e+00
415,2.421438427547e-08
416,0.000000000000e+00
417,0.000000000000e+00
418,0.000000000000e+00
419,-4.656612873077e-10
420,0.000000000000e+00
421,-3.147870328846e-07
422,0.000000000000e+00
423,0.000000000000e+00
424,0.000000000000e+00
425,-1.004082150757e-09
426,0.000000000000e+00
427,4.228204462109e-07
428,0.000000000000e+00
429,0.000000000000e+00
430,0.000000000000e+00
431,2.852175384760e-09
432,0.000000000000e+00
433,-4.470348624608e-08
434,0.000000000000e+00
435,0.000000000000e+00
436,0.000000000000e+00
437,5.995389074087e-09
438,0.000000000000e+00
439,-6.742775466861e-07
440,0.000000000000e+00
441,0.000000000000e+00
442,0.000000000000e+00
443,3.346940502524e-09
444,0.000000000000e+00
445,3.539025517085e-08
446,0.000000000000e+00
447,0.000000000000e+00
448,0.000000000000e+00
449,-3.521563485265e-09
450,0.000000000000e+00
451,-1.750886466922e-07
452,0.000000000000e+00
453,0.000000000000e+00
454,0.000000000000e+00
455,-8.876668289304e-10
456,0.000000000000e+00
457,-3.539026049992e-08
458,0.000000000000e+00
459,0.000000000000e+00
460,0.000000000000e+00
