Condensed DOF,Value
0,0.000000000000e+00
1,-2.769910720407e-07
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-3.536240790339e-05
6,0.000000000000e+00
7,-1.102197535372e-06
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-7.017229517792e-05
12,0.000000000000e+00
13,-2.467020243889e-06
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.044340123797e-04
18,0.000000000000e+00
19,-4.362928028923e-06
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-1.381519100649e-04
24,0.000000000000e+00
25,-6.781457699249e-06
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-1.713303387897e-04
30,0.000000000000e+00
31,-9.714214041079e-06
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-2.039736491101e-04
36,0.000000000000e+00
37,-1.315286981806e-05
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-2.360861915824e-04
42,0.000000000000e+00
43,-1.708916577130e-05
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-2.676723167626e-04
48,0.000000000000e+00
49,-2.151491061931e-05
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-2.987363752068e-04
54,0.000000000000e+00
55,-2.642198105808e-05
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-3.292827174713e-04
60,0.000000000000e+00
61,-3.180232176100e-05
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-3.593156941122e-04
66,0.000000000000e+00
67,-3.764794537894e-05
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-3.888396556855e-04
72,0.000000000000e+00
73,-4.395093254018e-05
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-4.178589527475e-04
78,0.000000000000e+00
79,-5.070343185045e-05
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-4.463779358542e-04
84,0.000000000000e+00
85,-5.789765989292e-05
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-4.744009555618e-04
90,0.000000000000e+00
91,-6.552590122820e-05
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-5.019323624265e-04
96,0.000000000000e+00
97,-7.358050839433e-05
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-5.289765070043e-04
102,0.000000000000e+00
103,-8.205390190682e-05
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-5.555377398513e-04
108,0.000000000000e+00
109,-9.093857025857e-05
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-5.816204115239e-04
114,0.000000000000e+00
115,-1.002270699200e-04
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-6.072288725780e-04
120,0.000000000000e+00
121,-1.099120253388e-04
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-6.323674735697e-04
126,0.000000000000e+00
127,-1.199861289403e-04
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,-6.570405650553e-04
132,0.000000000000e+00
133,-1.304421411273e-04
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-6.812524975909e-04
138,0.000000000000e+00
139,-1.412728902797e-04
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,-7.050076217325e-04
144,0.000000000000e+00
145,-1.524712727552e-04
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-7.283102880364e-04
150,0.000000000000e+00
151,-1.640302528887e-04
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-7.511648470586e-04
156,0.000000000000e+00
157,-1.759428629928e-04
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-7.735756493553e-04
162,0.000000000000e+00
163,-1.882022033573e-04
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-7.955470454826e-04
168,0.000000000000e+00
169,-2.008014422495e-04
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,-8.170833859967e-04
174,0.000000000000e+00
175,-2.137338159142e-04
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-8.381890214538e-04
180,0.000000000000e+00
181,-2.269926285735e-04
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,-8.588683024100e-04
186,0.000000000000e+00
187,-2.405712524273e-04
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,-8.791255794214e-04
192,0.000000000000e+00
193,-2.544631276524e-04
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,-8.989652030442e-04
198,0.000000000000e+00
199,-2.686617624035e-04
200,0.000000000000e+00
201,0.000000000000e+00
202,0.000000000000e+00
203,-9.183915238344e-04
204,0.000000000000e+00
205,-2.831607328125e-04
206,0.000000000000e+00
207,0.000000000000e+00
208,0.000000000000e+00
209,-9.374088923483e-04
210,0.000000000000e+00
