element_id,total_strain_energy
0,1.754396885291e-02
1,1.700002515356e-02
2,1.646882925992e-02
3,1.595018042610e-02
4,1.544387949945e-02
5,1.494972892053e-02
6,1.446753272314e-02
7,1.399709653428e-02
8,1.353822757419e-02
9,1.309073465631e-02
10,1.265442818731e-02
11,1.222912016710e-02
12,1.181462418877e-02
13,1.141075543868e-02
14,1.101733069638e-02
15,1.063416833464e-02
16,1.026108831946e-02
17,9.897912210074e-03
18,9.544463158918e-03
19,9.200565911650e-03
20,8.866046807161e-03
21,8.540733777555e-03
22,8.224456348156e-03
23,7.917045637514e-03
24,7.618334357406e-03
25,7.328156812819e-03
26,7.046348901961e-03
27,6.772748116293e-03
28,6.507193540449e-03
29,6.249525852319e-03
30,5.999587322985e-03
31,5.757221816756e-03
32,5.522274791181e-03
33,5.294593297024e-03
34,5.074025978276e-03
35,4.860423072115e-03
36,4.653636408982e-03
37,4.453519412527e-03
38,4.259927099607e-03
39,4.072716080308e-03
40,3.891744557951e-03
41,3.716872329070e-03
42,3.547960783399e-03
43,3.384872903915e-03
44,3.227473266824e-03
45,3.075628041541e-03
46,2.929204990679e-03
47,2.788073470115e-03
48,2.652104428926e-03
49,2.521170409416e-03
50,2.395145547112e-03
51,2.273905570759e-03
52,2.157327802309e-03
53,2.045291156959e-03
54,1.937676143107e-03
55,1.834364862378e-03
56,1.735241009628e-03
57,1.640189872904e-03
58,1.549098333533e-03
59,1.461854866033e-03
60,1.378349538118e-03
61,1.298474010760e-03
62,1.222121538134e-03
63,1.149186967622e-03
64,1.079566739827e-03
65,1.013158888610e-03
66,9.498630410432e-04
67,8.895804173952e-04
68,8.322138311820e-04
69,7.776676891357e-04
70,7.258479911814e-04
71,6.766623304687e-04
72,6.300198934065e-04
73,5.858314596176e-04
74,5.440094019431e-04
75,5.044676863978e-04
76,4.671218722731e-04
77,4.318891120673e-04
78,3.986881515000e-04
79,3.674393295013e-04
80,3.380645782362e-04
81,3.104874230792e-04
82,2.846329826604e-04
83,2.604279688001e-04
84,2.378006865352e-04
85,2.166810341393e-04
86,1.970005030931e-04
87,1.786921780905e-04
88,1.616907370671e-04
89,1.459324511819e-04
90,1.313551847985e-04
91,1.178983955137e-04
92,1.055031341375e-04
93,9.411204471434e-05
94,8.366936448911e-05
95,7.412092394495e-05
96,6.541414678685e-05
97,5.749804993380e-05
98,5.032324351818e-05
99,4.384193090616e-05
100,3.800790867903e-05
101,3.277656665349e-05
102,2.810488785635e-05
103,2.395144852653e-05
104,2.027641813824e-05
105,1.704155937575e-05
106,1.421022815985e-05
107,1.174737361716e-05
108,9.619538102703e-06
109,7.794857192772e-06
110,6.243059678408e-06
111,4.935467581419e-06
112,3.844996137098e-06
113,2.946153803497e-06
114,2.215042263980e-06
115,1.629356421175e-06
116,1.168384399081e-06
117,8.130075427330e-07
118,5.457004164050e-07
119,3.505308093599e-07
120,2.131597301766e-07
121,1.208414080351e-07
122,6.242329484159e-08
123,2.834606204515e-08
124,1.064360333842e-08
125,2.943033807406e-09
126,4.646895556949e-10
127,2.212807313327e-11
