element_id,max_axial_force,max_shear_force,max_torque,max_moment,max_principal_s1,min_principal_s3,max_von_mises,mean_von_mises
0,0.000000e+00,0.000000e+00,0.000000e+00,9.982459e+02,0.000000e+00,-9.982459e+02,9.982459e+02,9.922180e+02
1,0.000000e+00,0.000000e+00,0.000000e+00,9.826957e+02,0.000000e+00,-9.826957e+02,9.826957e+02,9.767151e+02
2,0.000000e+00,0.000000e+00,0.000000e+00,9.672676e+02,0.000000e+00,-9.672676e+02,9.672676e+02,9.613342e+02
3,0.000000e+00,0.000000e+00,0.000000e+00,9.519615e+02,0.000000e+00,-9.519615e+02,9.519615e+02,9.460754e+02
4,0.000000e+00,0.000000e+00,0.000000e+00,9.367775e+02,0.000000e+00,-9.367775e+02,9.367775e+02,9.309387e+02
5,0.000000e+00,0.000000e+00,0.000000e+00,9.217156e+02,0.000000e+00,-9.217156e+02,9.217156e+02,9.159241e+02
6,0.000000e+00,0.000000e+00,0.000000e+00,9.067757e+02,0.000000e+00,-9.067757e+02,9.067757e+02,9.010315e+02
7,0.000000e+00,0.000000e+00,0.000000e+00,8.919579e+02,0.000000e+00,-8.919579e+02,8.919579e+02,8.862610e+02
8,0.000000e+00,0.000000e+00,0.000000e+00,8.772622e+02,0.000000e+00,-8.772622e+02,8.772622e+02,8.716125e+02
9,0.000000e+00,0.000000e+00,0.000000e+00,8.626886e+02,0.000000e+00,-8.626886e+02,8.626886e+02,8.570862e+02
10,0.000000e+00,0.000000e+00,0.000000e+00,8.482370e+02,0.000000e+00,-8.482370e+02,8.482370e+02,8.426819e+02
11,0.000000e+00,0.000000e+00,0.000000e+00,8.339075e+02,0.000000e+00,-8.339075e+02,8.339075e+02,8.283997e+02
12,0.000000e+00,0.000000e+00,0.000000e+00,8.197001e+02,0.000000e+00,-8.197001e+02,8.197001e+02,8.142395e+02
13,0.000000e+00,0.000000e+00,0.000000e+00,8.056147e+02,0.000000e+00,-8.056147e+02,8.056147e+02,8.002014e+02
14,0.000000e+00,0.000000e+00,0.000000e+00,7.916514e+02,0.000000e+00,-7.916514e+02,7.916514e+02,7.862854e+02
15,0.000000e+00,0.000000e+00,0.000000e+00,7.778102e+02,0.000000e+00,-7.778102e+02,7.778102e+02,7.724915e+02
16,0.000000e+00,0.000000e+00,0.000000e+00,7.640910e+02,0.000000e+00,-7.640910e+02,7.640910e+02,7.588196e+02
17,0.000000e+00,0.000000e+00,0.000000e+00,7.504940e+02,0.000000e+00,-7.504940e+02,7.504940e+02,7.452698e+02
18,0.000000e+00,0.000000e+00,0.000000e+00,7.370189e+02,0.000000e+00,-7.370189e+02,7.370189e+02,7.318420e+02
19,0.000000e+00,0.000000e+00,0.000000e+00,7.236660e+02,0.000000e+00,-7.236660e+02,7.236660e+02,7.185364e+02
20,0.000000e+00,0.000000e+00,0.000000e+00,7.104351e+02,0.000000e+00,-7.104351e+02,7.104351e+02,7.053528e+02
21,0.000000e+00,0.000000e+00,0.000000e+00,6.973263e+02,0.000000e+00,-6.973263e+02,6.973263e+02,6.922913e+02
22,0.000000e+00,0.000000e+00,0.000000e+00,6.843396e+02,0.000000e+00,-6.843396e+02,6.843396e+02,6.793518e+02
23,0.000000e+00,0.000000e+00,0.000000e+00,6.714749e+02,0.000000e+00,-6.714749e+02,6.714749e+02,6.665344e+02
24,0.000000e+00,0.000000e+00,0.000000e+00,6.587323e+02,0.000000e+00,-6.587323e+02,6.587323e+02,6.538391e+02
25,0.000000e+00,0.000000e+00,0.000000e+00,6.461118e+02,0.000000e+00,-6.461118e+02,6.461118e+02,6.412659e+02
26,0.000000e+00,0.000000e+00,0.000000e+00,6.336134e+02,0.000000e+00,-6.336134e+02,6.336134e+02,6.288147e+02
27,0.000000e+00,0.000000e+00,0.000000e+00,6.212370e+02,0.000000e+00,-6.212370e+02,6.212370e+02,6.164856e+02
28,0.000000e+00,0.000000e+00,0.000000e+00,6.089827e+02,0.000000e+00,-6.089827e+02,6.089827e+02,6.042786e+02
29,0.000000e+00,0.000000e+00,0.000000e+00,5.968505e+02,0.000000e+00,-5.968505e+02,5.968505e+02,5.921936e+02
30,0.000000e+00,0.000000e+00,0.000000e+00,5.848403e+02,0.000000e+00,-5.848403e+02,5.848403e+02,5.802307e+02
31,0.000000e+00,0.000000e+00,0.000000e+00,5.729522e+02,0.000000e+00,-5.729522e+02,5.729522e+02,5.683899e+02
