2026-02-26 16:17:14,451 [DEBUG] 📁 Log file created at: c:\Users\s1834431\Programs\fem_model\post_processing\results\job_0003_n16_2026-02-26_16-17-11-253585_pid18316_c3552ce7\logs\ModifyGlobalSystem.log (Module: modification, Line: 134)
2026-02-26 16:17:14,451 [INFO] 🔧 Applying stabilized boundary conditions... (Module: modification, Line: 152)
2026-02-26 16:17:14,451 [DEBUG] Computed penalty value: 1.00e+36 (Module: modification, Line: 210)
2026-02-26 16:17:14,451 [DEBUG] 
======================================== System Diagnostics ======================================== (Module: modification, Line: 325)
2026-02-26 16:17:14,452 [DEBUG] Original Non-zeros: 490
Modified Non-zeros: 466
Penalty Value: 1.00e+36
Stabilization Factor: 1.00e+26 (Module: modification, Line: 337)
2026-02-26 16:17:14,457 [DEBUG] 
Matrix Sample (COO format):
 Row  Col         Value
  94   88  1.086624e+06
  74   82 -2.607898e+07
  34   26 -2.607898e+07
  25   23 -1.683513e+08
  82   86  2.607898e+07
  10   16  1.086624e+06
  55   53 -1.683513e+08
  62   64  0.000000e+00
  57   63 -1.689161e+04
  53   47  7.014638e+06
 101   91  1.683513e+08
  73   73  5.387242e+09
  92  100 -2.607898e+07
  27   27  3.378322e+04
  82   88  1.086624e+06
  92   94  0.000000e+00
  48   42 -2.200800e+09
  26   34 -2.607898e+07
   8    8  8.345272e+08
  30   36 -2.200800e+09
  31   41  1.683513e+08
  52   58  1.086624e+06
  70   74  2.607898e+07
  41   35  7.014638e+06
 101  101  1.402928e+07
  66   66  4.401600e+09
  76   76  4.346496e+06
  44   40  2.607898e+07
   7   13 -2.693621e+09
   8   16 -2.607898e+07
  52   44 -2.607898e+07
  53   43  1.683513e+08
  41   31  1.683513e+08
  70   68  0.000000e+00
   1    1  1.000000e+36
  52   46  1.086624e+06
  26   22  2.607898e+07
  43   37 -2.693621e+09
  85   91 -2.693621e+09
  68   64  2.607898e+07
  63   69 -1.689161e+04
  61   65  0.000000e+00
  40   32 -2.607898e+07
  46   50  2.607898e+07
  55   55  5.387242e+09
