Global DOF,Value
0,0.000000000000e+00
1,0.000000000000e+00
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-1.710058598081e-05
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-2.678550401119e-04
12,0.000000000000e+00
13,-6.557158206482e-05
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-5.022978091080e-04
18,0.000000000000e+00
19,-1.413756721589e-04
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-7.055557917293e-04
24,0.000000000000e+00
25,-2.407539757624e-04
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-8.798564727169e-04
30,0.000000000000e+00
31,-3.602260479675e-04
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-1.027427336812e-03
36,0.000000000000e+00
37,-4.965898794590e-04
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-1.150495868755e-03
42,0.000000000000e+00
43,-6.469218965142e-04
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-1.251289553288e-03
48,0.000000000000e+00
49,-8.085769610031e-04
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-1.332035875151e-03
54,0.000000000000e+00
55,-9.791883703883e-04
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-1.394962319086e-03
60,0.000000000000e+00
61,-1.156667857725e-03
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-1.442296369833e-03
66,0.000000000000e+00
67,-1.339205591661e-03
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-1.476265512134e-03
72,0.000000000000e+00
73,-1.525270176438e-03
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-1.499097230730e-03
78,0.000000000000e+00
79,-1.713608651887e-03
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-1.513019010362e-03
84,0.000000000000e+00
85,-1.903246493435e-03
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-1.520258335770e-03
90,-0.000000000000e+00
91,-2.093487612101e-03
92,-0.000000000000e+00
93,-0.000000000000e+00
94,-0.000000000000e+00
95,-1.523042691697e-03
96,0.000000000000e+00
97,-2.283914354495e-03
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-1.523599562882e-03
