element_id,max_axial_force,max_shear_force,max_torque,max_moment,max_principal_s1,min_principal_s3,max_von_mises,mean_von_mises
0,0.000000e+00,0.000000e+00,0.000000e+00,9.863525e+02,0.000000e+00,-9.863525e+02,9.863525e+02,9.394531e+02
1,0.000000e+00,0.000000e+00,0.000000e+00,8.661393e+02,0.000000e+00,-8.661393e+02,8.661393e+02,8.222656e+02
2,0.000000e+00,0.000000e+00,0.000000e+00,7.537385e+02,0.000000e+00,-7.537385e+02,7.537385e+02,7.128906e+02
3,0.000000e+00,0.000000e+00,0.000000e+00,6.491502e+02,0.000000e+00,-6.491502e+02,6.491502e+02,6.113281e+02
4,0.000000e+00,0.000000e+00,0.000000e+00,5.523745e+02,0.000000e+00,-5.523745e+02,5.523745e+02,5.175781e+02
5,0.000000e+00,0.000000e+00,0.000000e+00,4.634112e+02,0.000000e+00,-4.634112e+02,4.634112e+02,4.316406e+02
6,0.000000e+00,0.000000e+00,0.000000e+00,3.822604e+02,0.000000e+00,-3.822604e+02,3.822604e+02,3.535156e+02
7,0.000000e+00,0.000000e+00,0.000000e+00,3.089222e+02,0.000000e+00,-3.089222e+02,3.089222e+02,2.832031e+02
8,0.000000e+00,0.000000e+00,0.000000e+00,2.433964e+02,0.000000e+00,-2.433964e+02,2.433964e+02,2.207031e+02
9,0.000000e+00,0.000000e+00,0.000000e+00,1.856831e+02,0.000000e+00,-1.856831e+02,1.856831e+02,1.660156e+02
10,0.000000e+00,0.000000e+00,0.000000e+00,1.357824e+02,0.000000e+00,-1.357824e+02,1.357824e+02,1.191406e+02
11,0.000000e+00,0.000000e+00,0.000000e+00,9.369408e+01,0.000000e+00,-9.369408e+01,9.369408e+01,8.007813e+01
12,0.000000e+00,0.000000e+00,0.000000e+00,5.941831e+01,0.000000e+00,-5.941831e+01,5.941831e+01,4.882813e+01
13,0.000000e+00,0.000000e+00,0.000000e+00,3.295505e+01,0.000000e+00,-3.295505e+01,3.295505e+01,2.539063e+01
14,0.000000e+00,0.000000e+00,0.000000e+00,1.430428e+01,0.000000e+00,-1.430428e+01,1.430428e+01,9.765625e+00
15,0.000000e+00,0.000000e+00,0.000000e+00,3.466009e+00,0.000000e+00,-3.466009e+00,3.466009e+00,1.953125e+00
