element_id,total_strain_energy
0,6.698408528457e-02
1,5.887800220266e-02
2,5.153100052971e-02
3,4.489413650920e-02
4,3.892009784317e-02
5,3.356320369220e-02
6,2.877940467543e-02
7,2.452628287053e-02
8,2.076305181374e-02
9,1.745055649986e-02
10,1.455127338222e-02
11,1.202931037270e-02
12,9.850406841731e-03
13,7.981933618313e-03
14,6.392892989984e-03
15,5.053918702827e-03
16,3.937275961484e-03
17,3.016861429152e-03
18,2.268203227566e-03
19,1.668460937014e-03
20,1.196425596347e-03
21,8.325197029531e-04
22,5.587972127743e-04
23,3.589435403083e-04
24,2.182755585990e-04
25,1.237415992418e-04
26,6.392145237996e-05
27,2.902636671288e-05
28,1.089904948349e-05
29,3.013666489171e-06
30,4.758420773025e-07
31,2.265914653189e-08
