element_id,max_axial_force,max_shear_force,max_torque,max_moment,max_principal_s1,min_principal_s3,max_von_mises,mean_von_mises
0,0.000000e+00,0.000000e+00,0.000000e+00,9.930662e+02,0.000000e+00,-9.930662e+02,9.930662e+02,9.692383e+02
1,0.000000e+00,0.000000e+00,0.000000e+00,9.317629e+02,0.000000e+00,-9.317629e+02,9.317629e+02,9.086914e+02
2,0.000000e+00,0.000000e+00,0.000000e+00,8.724127e+02,0.000000e+00,-8.724127e+02,8.724127e+02,8.500977e+02
3,0.000000e+00,0.000000e+00,0.000000e+00,8.150156e+02,0.000000e+00,-8.150156e+02,8.150156e+02,7.934570e+02
4,0.000000e+00,0.000000e+00,0.000000e+00,7.595717e+02,0.000000e+00,-7.595717e+02,7.595717e+02,7.387695e+02
5,0.000000e+00,0.000000e+00,0.000000e+00,7.060809e+02,0.000000e+00,-7.060809e+02,7.060809e+02,6.860352e+02
6,0.000000e+00,0.000000e+00,0.000000e+00,6.545432e+02,0.000000e+00,-6.545432e+02,6.545432e+02,6.352539e+02
7,0.000000e+00,0.000000e+00,0.000000e+00,6.049586e+02,0.000000e+00,-6.049586e+02,6.049586e+02,5.864258e+02
8,0.000000e+00,0.000000e+00,0.000000e+00,5.573272e+02,0.000000e+00,-5.573272e+02,5.573272e+02,5.395508e+02
9,0.000000e+00,0.000000e+00,0.000000e+00,5.116489e+02,0.000000e+00,-5.116489e+02,5.116489e+02,4.946289e+02
10,0.000000e+00,0.000000e+00,0.000000e+00,4.679237e+02,0.000000e+00,-4.679237e+02,4.679237e+02,4.516602e+02
11,0.000000e+00,0.000000e+00,0.000000e+00,4.261516e+02,0.000000e+00,-4.261516e+02,4.261516e+02,4.106445e+02
12,0.000000e+00,0.000000e+00,0.000000e+00,3.863327e+02,0.000000e+00,-3.863327e+02,3.863327e+02,3.715820e+02
13,0.000000e+00,0.000000e+00,0.000000e+00,3.484668e+02,0.000000e+00,-3.484668e+02,3.484668e+02,3.344727e+02
14,0.000000e+00,0.000000e+00,0.000000e+00,3.125541e+02,0.000000e+00,-3.125541e+02,3.125541e+02,2.993164e+02
15,0.000000e+00,0.000000e+00,0.000000e+00,2.785946e+02,0.000000e+00,-2.785946e+02,2.785946e+02,2.661133e+02
16,0.000000e+00,0.000000e+00,0.000000e+00,2.465881e+02,0.000000e+00,-2.465881e+02,2.465881e+02,2.348633e+02
17,0.000000e+00,0.000000e+00,0.000000e+00,2.165348e+02,0.000000e+00,-2.165348e+02,2.165348e+02,2.055664e+02
18,0.000000e+00,0.000000e+00,0.000000e+00,1.884346e+02,0.000000e+00,-1.884346e+02,1.884346e+02,1.782227e+02
19,0.000000e+00,0.000000e+00,0.000000e+00,1.622876e+02,0.000000e+00,-1.622876e+02,1.622876e+02,1.528320e+02
20,0.000000e+00,0.000000e+00,0.000000e+00,1.380936e+02,0.000000e+00,-1.380936e+02,1.380936e+02,1.293945e+02
21,0.000000e+00,0.000000e+00,0.000000e+00,1.158528e+02,0.000000e+00,-1.158528e+02,1.158528e+02,1.079102e+02
22,0.000000e+00,0.000000e+00,0.000000e+00,9.556511e+01,0.000000e+00,-9.556511e+01,9.556511e+01,8.837891e+01
23,0.000000e+00,0.000000e+00,0.000000e+00,7.723054e+01,0.000000e+00,-7.723054e+01,7.723054e+01,7.080078e+01
24,0.000000e+00,0.000000e+00,0.000000e+00,6.084910e+01,0.000000e+00,-6.084910e+01,6.084910e+01,5.517578e+01
25,0.000000e+00,0.000000e+00,0.000000e+00,4.642078e+01,0.000000e+00,-4.642078e+01,4.642078e+01,4.150391e+01
26,0.000000e+00,0.000000e+00,0.000000e+00,3.394559e+01,0.000000e+00,-3.394559e+01,3.394559e+01,2.978516e+01
27,0.000000e+00,0.000000e+00,0.000000e+00,2.342352e+01,0.000000e+00,-2.342352e+01,2.342352e+01,2.001953e+01
28,0.000000e+00,0.000000e+00,0.000000e+00,1.485458e+01,0.000000e+00,-1.485458e+01,1.485458e+01,1.220703e+01
29,0.000000e+00,0.000000e+00,0.000000e+00,8.238761e+00,0.000000e+00,-8.238761e+00,8.238761e+00,6.347656e+00
30,0.000000e+00,0.000000e+00,0.000000e+00,3.576069e+00,0.000000e+00,-3.576069e+00,3.576069e+00,2.441406e+00
31,0.000000e+00,0.000000e+00,0.000000e+00,8.665023e-01,0.000000e+00,-8.665023e-01,8.665023e-01,4.882813e-01
