Global DOF,Value
0,0.000000000000e+00
1,-1.000000000000e+03
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-1.000000000000e+03
6,0.000000000000e+00
7,-3.637978807092e-12
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,0.000000000000e+00
12,0.000000000000e+00
13,0.000000000000e+00
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,9.094947017729e-13
18,0.000000000000e+00
19,-5.684341886081e-14
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,4.547473508865e-13
24,0.000000000000e+00
25,1.455191522837e-11
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-3.637978807092e-12
