Global DOF,Value
0,0.000000000000e+00
1,0.000000000000e+00
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-1.102231524151e-06
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-7.017447045959e-05
12,0.000000000000e+00
13,-4.363063984015e-06
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.381562606271e-04
18,0.000000000000e+00
19,-9.714519939983e-06
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-2.039801749517e-04
24,0.000000000000e+00
25,-1.708970959148e-05
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-2.676810178824e-04
30,0.000000000000e+00
31,-2.642283077696e-05
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-3.292935938683e-04
36,0.000000000000e+00
37,-3.764916897392e-05
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-3.888527073584e-04
42,0.000000000000e+00
43,-5.070509729887e-05
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-4.463931628020e-04
48,0.000000000000e+00
49,-6.552807650740e-05
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-5.019497646479e-04
54,0.000000000000e+00
55,-8.205665499407e-05
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-5.555573173454e-04
60,0.000000000000e+00
61,-1.002304687925e-04
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-6.072506253434e-04
66,0.000000000000e+00
67,-1.199902415754e-04
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-6.570644930912e-04
72,0.000000000000e+00
73,-1.412777846545e-04
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-7.050337250376e-04
78,0.000000000000e+00
79,-1.640359969804e-04
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-7.511931256320e-04
84,0.000000000000e+00
85,-1.882088651429e-04
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-7.955774993232e-04
90,0.000000000000e+00
91,-2.137414633708e-04
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-8.382216505605e-04
96,0.000000000000e+00
97,-2.405799535320e-04
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-8.791603837928e-04
102,0.000000000000e+00
103,-2.686715851333e-04
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-9.184285034692e-04
108,0.000000000000e+00
109,-2.979646953207e-04
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-9.560608140389e-04
114,0.000000000000e+00
115,-3.284087088789e-04
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-9.920921199509e-04
120,0.000000000000e+00
121,-3.599541382321e-04
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-1.026557225654e-03
126,0.000000000000e+00
127,-3.925525834432e-04
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,-1.059490935598e-03
132,0.000000000000e+00
133,-4.261567322142e-04
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-1.090928054232e-03
138,0.000000000000e+00
139,-4.607203598862e-04
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,-1.120903386004e-03
144,0.000000000000e+00
145,-4.961983294393e-04
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-1.149451735363e-03
150,0.000000000000e+00
151,-5.325465914926e-04
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-1.176607906760e-03
156,0.000000000000e+00
157,-5.697221843043e-04
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-1.202406704642e-03
162,0.000000000000e+00
163,-6.076832337716e-04
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-1.226882933459e-03
168,0.000000000000e+00
169,-6.463889534307e-04
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,-1.250071397660e-03
174,0.000000000000e+00
175,-6.857996444570e-04
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-1.272006901695e-03
180,0.000000000000e+00
181,-7.258766956646e-04
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,-1.292724250011e-03
186,0.000000000000e+00
187,-7.665825835070e-04
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,-1.312258247059e-03
192,0.000000000000e+00
193,-8.078808720764e-04
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,-1.330643697287e-03
198,0.000000000000e+00
199,-8.497362131044e-04
200,0.000000000000e+00
201,0.000000000000e+00
202,0.000000000000e+00
203,-1.347915405145e-03
204,0.000000000000e+00
205,-8.921143459613e-04
206,0.000000000000e+00
207,0.000000000000e+00
208,0.000000000000e+00
209,-1.364108175081e-03
210,0.000000000000e+00
211,-9.349820976566e-04
212,0.000000000000e+00
213,0.000000000000e+00
214,0.000000000000e+00
215,-1.379256811544e-03
216,0.000000000000e+00
217,-9.783073828388e-04
218,0.000000000000e+00
219,0.000000000000e+00
220,0.000000000000e+00
221,-1.393396118985e-03
222,0.000000000000e+00
223,-1.022059203796e-03
224,0.000000000000e+00
225,0.000000000000e+00
226,0.000000000000e+00
227,-1.406560901851e-03
228,0.000000000000e+00
229,-1.066207650453e-03
230,0.000000000000e+00
231,0.000000000000e+00
232,0.000000000000e+00
233,-1.418785964592e-03
234,0.000000000000e+00
235,-1.110723900378e-03
236,0.000000000000e+00
237,0.000000000000e+00
238,0.000000000000e+00
239,-1.430106111656e-03
240,0.000000000000e+00
241,-1.155580218773e-03
242,0.000000000000e+00
243,0.000000000000e+00
244,0.000000000000e+00
245,-1.440556147494e-03
246,0.000000000000e+00
