element_id,total_strain_energy
0,3.454613552064e-02
1,3.242108428370e-02
2,3.039561716340e-02
3,2.846657320879e-02
4,2.663084245202e-02
5,2.488536590830e-02
6,2.322713557593e-02
7,2.165319443628e-02
8,2.016063645382e-02
9,1.874660657608e-02
10,1.740830073368e-02
11,1.614296584031e-02
12,1.494789979274e-02
13,1.382045147083e-02
14,1.275802073752e-02
15,1.175805843882e-02
16,1.081806640382e-02
17,9.935597444700e-03
18,9.108255356710e-03
19,8.333694918191e-03
20,7.609621890547e-03
21,6.933793018277e-03
22,6.304016028940e-03
23,5.718149633203e-03
24,5.174103524793e-03
25,4.669838380526e-03
26,4.203365860296e-03
27,3.772748607081e-03
28,3.376100246924e-03
29,3.011585388943e-03
30,2.677419625354e-03
31,2.371869531441e-03
32,2.093252665584e-03
33,1.839937569236e-03
34,1.610343766922e-03
35,1.402941766253e-03
36,1.216253057901e-03
37,1.048850115657e-03
38,8.993563963604e-04
39,7.664463399277e-04
40,6.488453693796e-04
41,5.453298908031e-04
42,4.547272933566e-04
43,3.759159492880e-04
44,3.078252139298e-04
45,2.494354256836e-04
46,1.997779060307e-04
47,1.579349595421e-04
48,1.230398738603e-04
49,9.427691971199e-05
50,7.088135090380e-05
51,5.213940431605e-05
52,3.738829991182e-05
53,2.601624073872e-05
54,1.746241291699e-05
55,1.121698564661e-05
56,6.821111214127e-06
57,3.866924980371e-06
58,1.997545388995e-06
59,9.070739604592e-07
60,3.405952966506e-07
61,9.417707776316e-08
62,1.487006494172e-08
63,7.080983313837e-10
