Global DOF,Value
0,0.000000000000e+00
1,-1.000000000000e+03
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-9.999999999999e+02
6,0.000000000000e+00
7,-2.842170943040e-14
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-4.547473508865e-13
12,0.000000000000e+00
13,2.179945113312e-11
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,4.547473508865e-13
18,0.000000000000e+00
19,-7.290168468899e-12
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-2.728484105319e-12
24,0.000000000000e+00
25,-1.091535750675e-10
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-7.275957614183e-12
30,0.000000000000e+00
31,1.309672370553e-10
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-9.094947017729e-12
36,0.000000000000e+00
37,4.362732397567e-11
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,0.000000000000e+00
42,0.000000000000e+00
43,1.673328142715e-10
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,2.000888343900e-11
48,0.000000000000e+00
49,-1.673470251262e-10
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,2.182787284255e-11
