Global DOF,Value
0,0.000000000000e+00
1,0.000000000000e+00
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-6.571079986104e-05
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-5.034115514778e-04
12,0.000000000000e+00
13,-2.413108469473e-04
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-8.820839574567e-04
18,0.000000000000e+00
19,-4.978428396252e-04
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-1.153837095865e-03
24,0.000000000000e+00
25,-8.108044457430e-04
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-1.336490844631e-03
30,0.000000000000e+00
31,-1.160148302631e-03
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-1.447865081684e-03
36,0.000000000000e+00
37,-1.530282017103e-03
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-1.505779684951e-03
42,-0.000000000000e+00
43,-1.910068165452e-03
44,-0.000000000000e+00
45,-0.000000000000e+00
46,-0.000000000000e+00
47,-1.528054532362e-03
48,0.000000000000e+00
49,-2.292824293456e-03
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-1.532509501844e-03
