Global DOF,Value
0,0.000000000000e+00
1,-4.999999996671e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-6.666687011966e+02
6,0.000000000000e+00
7,5.820764703568e-11
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,0.000000000000e+00
12,0.000000000000e+00
13,-5.820766368902e-10
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-3.183231456205e-12
18,0.000000000000e+00
19,2.328306158983e-10
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-1.091393642128e-11
24,0.000000000000e+00
25,2.328306158983e-10
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-9.094947017729e-12
30,0.000000000000e+00
31,1.396983861923e-09
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-5.456968210638e-12
36,0.000000000000e+00
37,-4.656613428189e-10
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,1.455191522837e-11
42,0.000000000000e+00
43,-2.328306436539e-10
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,1.637090463191e-11
48,0.000000000000e+00
49,4.190951530259e-09
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-5.456968210638e-12
54,0.000000000000e+00
55,0.000000000000e+00
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,3.274180926383e-11
60,0.000000000000e+00
61,1.862645149231e-09
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-3.456079866737e-11
66,0.000000000000e+00
67,-3.259629233199e-09
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-7.094058673829e-11
72,0.000000000000e+00
73,-5.122274382430e-09
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-1.818989403546e-12
78,0.000000000000e+00
79,9.778886922440e-09
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,7.639755494893e-11
84,0.000000000000e+00
85,-3.725290520507e-09
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,3.637978807092e-12
90,0.000000000000e+00
91,-1.862645171435e-08
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-9.094947017729e-11
96,0.000000000000e+00
97,1.583248354642e-08
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-6.548361852765e-11
102,0.000000000000e+00
103,-1.396984306012e-09
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-8.003553375602e-11
108,0.000000000000e+00
109,-8.381903393584e-09
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-1.928128767759e-10
114,0.000000000000e+00
115,2.793967723846e-08
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,1.127773430198e-10
120,0.000000000000e+00
121,-3.259629055563e-08
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,1.491571310908e-10
126,0.000000000000e+00
127,5.587935225648e-09
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,-8.003553375602e-11
132,0.000000000000e+00
133,-3.166496798102e-08
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-1.600710675120e-10
138,0.000000000000e+00
139,2.328306392130e-08
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,-2.619344741106e-10
144,0.000000000000e+00
145,7.450580596924e-09
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-2.910383045673e-11
150,0.000000000000e+00
151,-1.769512936178e-08
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-8.731149137020e-11
156,0.000000000000e+00
157,6.798654750284e-08
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,2.037268131971e-10
162,0.000000000000e+00
163,1.210719347000e-08
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,6.912159733474e-11
168,0.000000000000e+00
169,2.793967279757e-09
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,1.818989403546e-10
174,0.000000000000e+00
175,6.891787007746e-08
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-1.746229827404e-10
180,0.000000000000e+00
181,-1.676380678717e-08
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,-1.600710675120e-10
186,0.000000000000e+00
187,-1.676380678717e-08
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,1.527951098979e-10
192,0.000000000000e+00
193,1.015141601890e-07
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,1.455191522837e-10
198,0.000000000000e+00
199,3.725290298462e-09
200,0.000000000000e+00
201,0.000000000000e+00
202,0.000000000000e+00
203,5.748006515205e-10
204,0.000000000000e+00
205,-4.936009689871e-08
206,0.000000000000e+00
207,0.000000000000e+00
208,0.000000000000e+00
209,2.983142621815e-10
210,0.000000000000e+00
211,-8.288770958487e-08
212,0.000000000000e+00
213,0.000000000000e+00
214,0.000000000000e+00
215,-8.876668289304e-10
216,0.000000000000e+00
217,1.592561598152e-07
218,0.000000000000e+00
219,0.000000000000e+00
220,0.000000000000e+00
221,-9.458744898438e-11
222,0.000000000000e+00
223,-8.940696716309e-08
224,0.000000000000e+00
225,0.000000000000e+00
226,0.000000000000e+00
227,6.330083124340e-10
228,0.000000000000e+00
229,-9.685754776001e-08
230,0.000000000000e+00
231,0.000000000000e+00
232,0.000000000000e+00
233,-4.947651177645e-10
234,0.000000000000e+00
235,-5.494803234640e-08
236,0.000000000000e+00
237,0.000000000000e+00
238,0.000000000000e+00
239,-1.047737896442e-09
240,0.000000000000e+00
241,2.356246109336e-07
242,0.000000000000e+00
243,0.000000000000e+00
244,0.000000000000e+00
245,1.527951098979e-10
246,0.000000000000e+00
247,-1.173466448456e-07
248,0.000000000000e+00
249,0.000000000000e+00
250,0.000000000000e+00
251,4.874891601503e-10
252,0.000000000000e+00
253,8.381902283361e-09
254,0.000000000000e+00
255,0.000000000000e+00
256,0.000000000000e+00
257,-4.147295840085e-10
258,0.000000000000e+00
259,-7.450581485102e-09
260,0.000000000000e+00
261,0.000000000000e+00
262,0.000000000000e+00
263,-1.818989403546e-10
264,0.000000000000e+00
265,4.656612873077e-08
266,0.000000000000e+00
267,0.000000000000e+00
268,0.000000000000e+00
269,-3.710738383234e-10
270,0.000000000000e+00
271,1.303851560053e-08
272,0.000000000000e+00
273,0.000000000000e+00
274,0.000000000000e+00
275,8.512870408595e-10
276,0.000000000000e+00
277,-1.508742575318e-07
278,0.000000000000e+00
279,0.000000000000e+00
280,0.000000000000e+00
281,1.527951098979e-10
282,0.000000000000e+00
283,2.477318044036e-07
284,0.000000000000e+00
285,0.000000000000e+00
286,0.000000000000e+00
287,-9.458744898438e-11
288,0.000000000000e+00
289,-1.098960646928e-07
290,0.000000000000e+00
291,0.000000000000e+00
292,0.000000000000e+00
293,1.142325345427e-09
294,0.000000000000e+00
295,2.421438605182e-08
296,0.000000000000e+00
297,0.000000000000e+00
298,0.000000000000e+00
299,6.039044819772e-10
300,0.000000000000e+00
301,-1.154839992523e-07
302,0.000000000000e+00
303,0.000000000000e+00
304,0.000000000000e+00
305,-5.893525667489e-10
306,0.000000000000e+00
307,2.030283208221e-07
308,0.000000000000e+00
309,0.000000000000e+00
310,0.000000000000e+00
311,-7.930793799460e-10
312,0.000000000000e+00
313,-7.636845111847e-08
314,0.000000000000e+00
315,0.000000000000e+00
316,0.000000000000e+00
317,-8.003553375602e-11
