Condensed DOF,Value
0,0.000000000000e+00
1,-1.848992154948e-07
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-2.362069450097e-05
6,0.000000000000e+00
7,-7.366966328441e-07
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-4.696297550217e-05
12,0.000000000000e+00
13,-1.651042395163e-06
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-7.002689398666e-05
18,0.000000000000e+00
19,-2.923587707714e-06
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-9.281253492626e-05
24,0.000000000000e+00
25,-4.549985368982e-06
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-1.153200172815e-04
30,0.000000000000e+00
31,-6.525890301744e-06
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-1.375494940016e-04
36,0.000000000000e+00
37,-8.846960084149e-06
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-1.595011520245e-04
42,0.000000000000e+00
43,-1.150885548079e-05
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-1.811752122769e-04
48,0.000000000000e+00
49,-1.450724097376e-05
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-2.025719296741e-04
54,0.000000000000e+00
55,-1.783778529378e-05
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-2.236915931205e-04
60,0.000000000000e+00
61,-2.149616195118e-05
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-2.445345255086e-04
66,0.000000000000e+00
67,-2.547804976708e-05
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-2.651010837202e-04
72,0.000000000000e+00
73,-2.977913340439e-05
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-2.853916586255e-04
78,0.000000000000e+00
79,-3.439510389888e-05
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-3.054066750834e-04
84,0.000000000000e+00
85,-3.932165919033e-05
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-3.251465919418e-04
90,0.000000000000e+00
91,-4.455450465351e-05
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-3.446119020370e-04
96,0.000000000000e+00
97,-5.008935362931e-05
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-3.638031321941e-04
102,0.000000000000e+00
103,-5.592192795580e-05
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-3.827208432272e-04
108,0.000000000000e+00
109,-6.204795849931e-05
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-4.013656299387e-04
114,0.000000000000e+00
115,-6.846318568550e-05
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-4.197381211201e-04
120,0.000000000000e+00
121,-7.516336003041e-05
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-4.378389795512e-04
126,0.000000000000e+00
127,-8.214424267157e-05
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,-4.556689020009e-04
132,0.000000000000e+00
133,-8.940160589906e-05
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-4.732286192266e-04
138,0.000000000000e+00
139,-9.693123368658e-05
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,-4.905188959746e-04
144,0.000000000000e+00
145,-1.047289222225e-04
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-5.075405309798e-04
150,0.000000000000e+00
151,-1.127904804411e-04
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-5.242943569657e-04
156,0.000000000000e+00
157,-1.211117305532e-04
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-5.407812406447e-04
162,0.000000000000e+00
163,-1.296885085778e-04
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-5.570020827180e-04
168,0.000000000000e+00
169,-1.385166648729e-04
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,-5.729578178754e-04
174,0.000000000000e+00
175,-1.475920646665e-04
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-5.886494147953e-04
180,0.000000000000e+00
181,-1.569105885875e-04
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,-6.040778761450e-04
186,0.000000000000e+00
187,-1.664681331975e-04
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,-6.192442385804e-04
192,0.000000000000e+00
193,-1.762606115209e-04
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,-6.341495727463e-04
198,0.000000000000e+00
199,-1.862839535769e-04
200,0.000000000000e+00
201,0.000000000000e+00
202,0.000000000000e+00
203,-6.487949832760e-04
204,0.000000000000e+00
205,-1.965341069097e-04
206,0.000000000000e+00
207,0.000000000000e+00
208,0.000000000000e+00
209,-6.631816087916e-04
210,0.000000000000e+00
211,-2.070070371203e-04
212,0.000000000000e+00
213,0.000000000000e+00
214,0.000000000000e+00
215,-6.773106219041e-04
216,0.000000000000e+00
217,-2.176987283973e-04
218,0.000000000000e+00
219,0.000000000000e+00
220,0.000000000000e+00
221,-6.911832292128e-04
222,0.000000000000e+00
223,-2.286051840477e-04
224,0.000000000000e+00
225,0.000000000000e+00
226,0.000000000000e+00
227,-7.048006713062e-04
228,0.000000000000e+00
229,-2.397224270285e-04
230,0.000000000000e+00
231,0.000000000000e+00
232,0.000000000000e+00
233,-7.181642227612e-04
234,0.000000000000e+00
235,-2.510465004774e-04
236,0.000000000000e+00
237,0.000000000000e+00
238,0.000000000000e+00
239,-7.312751921435e-04
240,0.000000000000e+00
241,-2.625734682439e-04
242,0.000000000000e+00
243,0.000000000000e+00
244,0.000000000000e+00
245,-7.441349220075e-04
246,0.000000000000e+00
247,-2.742994154205e-04
248,0.000000000000e+00
249,0.000000000000e+00
250,0.000000000000e+00
251,-7.567447888965e-04
252,0.000000000000e+00
253,-2.862204488737e-04
254,0.000000000000e+00
255,0.000000000000e+00
256,0.000000000000e+00
257,-7.691062033422e-04
258,0.000000000000e+00
259,-2.983326977753e-04
260,0.000000000000e+00
261,0.000000000000e+00
262,0.000000000000e+00
263,-7.812206098654e-04
264,0.000000000000e+00
265,-3.106323141330e-04
266,0.000000000000e+00
267,0.000000000000e+00
268,0.000000000000e+00
269,-7.930894869752e-04
270,0.000000000000e+00
271,-3.231154733219e-04
272,0.000000000000e+00
273,0.000000000000e+00
274,0.000000000000e+00
275,-8.047143471698e-04
276,0.000000000000e+00
277,-3.357783746152e-04
278,0.000000000000e+00
279,0.000000000000e+00
280,0.000000000000e+00
281,-8.160967369358e-04
282,0.000000000000e+00
283,-3.486172417159e-04
284,0.000000000000e+00
285,0.000000000000e+00
286,0.000000000000e+00
287,-8.272382367487e-04
288,0.000000000000e+00
289,-3.616283232871e-04
290,0.000000000000e+00
291,0.000000000000e+00
292,0.000000000000e+00
293,-8.381404610728e-04
294,0.000000000000e+00
295,-3.748078934836e-04
296,0.000000000000e+00
297,0.000000000000e+00
298,0.000000000000e+00
299,-8.488050583609e-04
300,0.000000000000e+00
301,-3.881522524828e-04
302,0.000000000000e+00
303,0.000000000000e+00
304,0.000000000000e+00
305,-8.592337110547e-04
306,0.000000000000e+00
307,-4.016577270157e-04
308,0.000000000000e+00
309,0.000000000000e+00
310,0.000000000000e+00
311,-8.694281355845e-04
312,0.000000000000e+00
313,-4.153206708982e-04
314,0.000000000000e+00
315,0.000000000000e+00
316,0.000000000000e+00
317,-8.793900823694e-04
318,0.000000000000e+00
319,-4.291374655620e-04
320,0.000000000000e+00
321,0.000000000000e+00
322,0.000000000000e+00
323,-8.891213358172e-04
324,0.000000000000e+00
325,-4.431045205856e-04
326,0.000000000000e+00
327,0.000000000000e+00
328,0.000000000000e+00
329,-8.986237143245e-04
330,0.000000000000e+00
331,-4.572182742255e-04
332,0.000000000000e+00
333,0.000000000000e+00
334,0.000000000000e+00
335,-9.078990702764e-04
336,0.000000000000e+00
337,-4.714751939474e-04
338,0.000000000000e+00
339,0.000000000000e+00
340,0.000000000000e+00
341,-9.169492900468e-04
342,0.000000000000e+00
343,-4.858717769571e-04
344,0.000000000000e+00
345,0.000000000000e+00
346,0.000000000000e+00
347,-9.257762939985e-04
348,0.000000000000e+00
349,-5.004045507314e-04
350,0.000000000000e+00
351,0.000000000000e+00
352,0.000000000000e+00
353,-9.343820364827e-04
354,0.000000000000e+00
355,-5.150700735496e-04
356,0.000000000000e+00
357,0.000000000000e+00
358,0.000000000000e+00
359,-9.427685058398e-04
360,0.000000000000e+00
361,-5.298649350243e-04
362,0.000000000000e+00
363,0.000000000000e+00
364,0.000000000000e+00
365,-9.509377243984e-04
366,0.000000000000e+00
367,-5.447857566325e-04
368,0.000000000000e+00
369,0.000000000000e+00
370,0.000000000000e+00
371,-9.588917484761e-04
372,0.000000000000e+00
373,-5.598291922466e-04
374,0.000000000000e+00
375,0.000000000000e+00
376,0.000000000000e+00
377,-9.666326683794e-04
378,0.000000000000e+00
379,-5.749919286658e-04
380,0.000000000000e+00
381,0.000000000000e+00
382,0.000000000000e+00
383,-9.741626084031e-04
384,0.000000000000e+00
385,-5.902706861467e-04
386,0.000000000000e+00
387,0.000000000000e+00
388,0.000000000000e+00
389,-9.814837268308e-04
390,0.000000000000e+00
391,-6.056622189349e-04
392,0.000000000000e+00
393,0.000000000000e+00
394,0.000000000000e+00
395,-9.885982159351e-04
396,0.000000000000e+00
397,-6.211633157954e-04
398,0.000000000000e+00
399,0.000000000000e+00
400,0.000000000000e+00
401,-9.955083019771e-04
402,0.000000000000e+00
403,-6.367708005445e-04
404,0.000000000000e+00
405,0.000000000000e+00
406,0.000000000000e+00
407,-1.002216245207e-03
408,0.000000000000e+00
409,-6.524815325801e-04
410,0.000000000000e+00
411,0.000000000000e+00
412,0.000000000000e+00
413,-1.008724339862e-03
414,0.000000000000e+00
415,-6.682924074134e-04
416,0.000000000000e+00
417,0.000000000000e+00
418,0.000000000000e+00
419,-1.015034914171e-03
420,0.000000000000e+00
421,-6.842003571994e-04
422,0.000000000000e+00
423,0.000000000000e+00
424,0.000000000000e+00
425,-1.021150330350e-03
426,0.000000000000e+00
427,-7.002023512685e-04
428,0.000000000000e+00
429,0.000000000000e+00
430,0.000000000000e+00
431,-1.027072984603e-03
432,0.000000000000e+00
433,-7.162953966571e-04
434,0.000000000000e+00
435,0.000000000000e+00
436,0.000000000000e+00
437,-1.032805307123e-03
438,0.000000000000e+00
439,-7.324765386392e-04
440,0.000000000000e+00
441,0.000000000000e+00
442,0.000000000000e+00
443,-1.038349762093e-03
444,0.000000000000e+00
445,-7.487428612570e-04
446,0.000000000000e+00
447,0.000000000000e+00
448,0.000000000000e+00
449,-1.043708847684e-03
450,0.000000000000e+00
451,-7.650914878522e-04
452,0.000000000000e+00
453,0.000000000000e+00
454,0.000000000000e+00
455,-1.048885096055e-03
456,0.000000000000e+00
457,-7.815195815969e-04
458,0.000000000000e+00
459,0.000000000000e+00
460,0.000000000000e+00
461,-1.053881073354e-03
462,0.000000000000e+00
463,-7.980243460250e-04
464,0.000000000000e+00
465,0.000000000000e+00
466,0.000000000000e+00
467,-1.058699379719e-03
468,0.000000000000e+00
469,-8.146030255631e-04
470,0.000000000000e+00
471,0.000000000000e+00
472,0.000000000000e+00
473,-1.063342649275e-03
474,0.000000000000e+00
475,-8.312529060613e-04
476,0.000000000000e+00
477,0.000000000000e+00
478,0.000000000000e+00
479,-1.067813550137e-03
480,0.000000000000e+00
481,-8.479713153247e-04
482,0.000000000000e+00
483,0.000000000000e+00
484,0.000000000000e+00
485,-1.072114784408e-03
486,0.000000000000e+00
487,-8.647556236443e-04
488,0.000000000000e+00
489,0.000000000000e+00
490,0.000000000000e+00
491,-1.076249088179e-03
492,0.000000000000e+00
493,-8.816032443281e-04
494,0.000000000000e+00
495,0.000000000000e+00
496,0.000000000000e+00
497,-1.080219231532e-03
498,0.000000000000e+00
499,-8.985116342320e-04
500,0.000000000000e+00
501,0.000000000000e+00
502,0.000000000000e+00
503,-1.084028018536e-03
504,0.000000000000e+00
505,-9.154782942912e-04
506,0.000000000000e+00
507,0.000000000000e+00
508,0.000000000000e+00
509,-1.087678287248e-03
510,0.000000000000e+00
511,-9.325007700510e-04
512,0.000000000000e+00
513,0.000000000000e+00
514,0.000000000000e+00
515,-1.091172909716e-03
516,0.000000000000e+00
517,-9.495766521980e-04
518,0.000000000000e+00
519,0.000000000000e+00
520,0.000000000000e+00
521,-1.094514791976e-03
522,0.000000000000e+00
523,-9.667035770910e-04
524,0.000000000000e+00
525,0.000000000000e+00
526,0.000000000000e+00
527,-1.097706874051e-03
528,0.000000000000e+00
529,-9.838792272924e-04
530,0.000000000000e+00
531,0.000000000000e+00
532,0.000000000000e+00
533,-1.100752129955e-03
534,0.000000000000e+00
535,-1.001101332099e-03
536,0.000000000000e+00
537,0.000000000000e+00
538,0.000000000000e+00
539,-1.103653567689e-03
540,0.000000000000e+00
541,-1.018367668073e-03
542,0.000000000000e+00
543,0.000000000000e+00
544,0.000000000000e+00
545,-1.106414229243e-03
546,0.000000000000e+00
547,-1.035676059574e-03
548,0.000000000000e+00
549,0.000000000000e+00
550,0.000000000000e+00
551,-1.109037190597e-03
552,0.000000000000e+00
553,-1.053024379289e-03
554,0.000000000000e+00
555,0.000000000000e+00
556,0.000000000000e+00
557,-1.111525561719e-03
558,0.000000000000e+00
559,-1.070410548762e-03
560,0.000000000000e+00
561,0.000000000000e+00
562,0.000000000000e+00
563,-1.113882486565e-03
564,0.000000000000e+00
565,-1.087832538930e-03
566,0.000000000000e+00
567,0.000000000000e+00
568,0.000000000000e+00
569,-1.116111143080e-03
570,0.000000000000e+00
571,-1.105288370648e-03
572,0.000000000000e+00
573,0.000000000000e+00
574,0.000000000000e+00
575,-1.118214743199e-03
576,0.000000000000e+00
577,-1.122776115225e-03
578,0.000000000000e+00
579,0.000000000000e+00
580,0.000000000000e+00
581,-1.120196532843e-03
582,0.000000000000e+00
583,-1.140293894953e-03
584,0.000000000000e+00
585,0.000000000000e+00
586,0.000000000000e+00
587,-1.122059791925e-03
588,0.000000000000e+00
589,-1.157839883636e-03
590,0.000000000000e+00
591,0.000000000000e+00
592,0.000000000000e+00
593,-1.123807834345e-03
594,0.000000000000e+00
595,-1.175412307126e-03
596,0.000000000000e+00
597,0.000000000000e+00
598,0.000000000000e+00
599,-1.125444007992e-03
600,0.000000000000e+00
601,-1.193009443850e-03
602,0.000000000000e+00
603,0.000000000000e+00
604,0.000000000000e+00
605,-1.126971694742e-03
606,0.000000000000e+00
607,-1.210629625342e-03
608,0.000000000000e+00
609,0.000000000000e+00
610,0.000000000000e+00
611,-1.128394310463e-03
612,0.000000000000e+00
613,-1.228271236775e-03
614,0.000000000000e+00
615,0.000000000000e+00
616,0.000000000000e+00
617,-1.129715305009e-03
618,0.000000000000e+00
619,-1.245932717491e-03
620,0.000000000000e+00
621,0.000000000000e+00
622,0.000000000000e+00
623,-1.130938162225e-03
624,0.000000000000e+00
625,-1.263612561535e-03
626,0.000000000000e+00
627,0.000000000000e+00
628,0.000000000000e+00
629,-1.132066399942e-03
630,0.000000000000e+00
631,-1.281309318179e-03
632,0.000000000000e+00
633,0.000000000000e+00
634,0.000000000000e+00
635,-1.133103569983e-03
636,0.000000000000e+00
637,-1.299021592462e-03
638,0.000000000000e+00
639,0.000000000000e+00
640,0.000000000000e+00
641,-1.134053258156e-03
642,0.000000000000e+00
643,-1.316748045715e-03
644,0.000000000000e+00
645,0.000000000000e+00
646,0.000000000000e+00
647,-1.134919084261e-03
648,0.000000000000e+00
649,-1.334487396093e-03
650,0.000000000000e+00
651,0.000000000000e+00
652,0.000000000000e+00
653,-1.135704702085e-03
654,0.000000000000e+00
655,-1.352238419110e-03
656,0.000000000000e+00
657,0.000000000000e+00
658,0.000000000000e+00
659,-1.136413799405e-03
660,0.000000000000e+00
661,-1.369999948165e-03
662,0.000000000000e+00
663,0.000000000000e+00
664,0.000000000000e+00
665,-1.137050097984e-03
666,0.000000000000e+00
667,-1.387770875074e-03
668,0.000000000000e+00
669,0.000000000000e+00
670,0.000000000000e+00
671,-1.137617353577e-03
672,0.000000000000e+00
673,-1.405550150603e-03
674,0.000000000000e+00
675,0.000000000000e+00
676,0.000000000000e+00
677,-1.138119355926e-03
678,0.000000000000e+00
679,-1.423336785001e-03
680,0.000000000000e+00
681,0.000000000000e+00
682,0.000000000000e+00
683,-1.138559928763e-03
684,0.000000000000e+00
685,-1.441129848524e-03
686,0.000000000000e+00
687,0.000000000000e+00
688,0.000000000000e+00
689,-1.138942929805e-03
690,0.000000000000e+00
691,-1.458928471974e-03
692,0.000000000000e+00
693,0.000000000000e+00
694,0.000000000000e+00
695,-1.139272250763e-03
696,0.000000000000e+00
697,-1.476731847223e-03
698,0.000000000000e+00
699,0.000000000000e+00
700,0.000000000000e+00
701,-1.139551817333e-03
702,0.000000000000e+00
703,-1.494539227751e-03
704,0.000000000000e+00
705,0.000000000000e+00
706,0.000000000000e+00
707,-1.139785589201e-03
708,0.000000000000e+00
709,-1.512349929172e-03
710,0.000000000000e+00
711,0.000000000000e+00
712,0.000000000000e+00
713,-1.139977560041e-03
714,0.000000000000e+00
715,-1.530163329766e-03
716,0.000000000000e+00
717,0.000000000000e+00
718,0.000000000000e+00
719,-1.140131757517e-03
720,0.000000000000e+00
721,-1.547978871012e-03
722,0.000000000000e+00
723,0.000000000000e+00
724,0.000000000000e+00
725,-1.140252243281e-03
726,0.000000000000e+00
