element_id,total_strain_energy
0,7.827546171255e-03
1,7.644111582095e-03
2,7.462884896861e-03
3,7.283886651031e-03
4,7.107136319025e-03
5,6.932652315176e-03
6,6.760451995030e-03
7,6.590551656962e-03
8,6.422966544123e-03
9,6.257710846712e-03
10,6.094797704565e-03
11,5.934239210071e-03
12,5.776046411418e-03
13,5.620229316156e-03
14,5.466796895091e-03
15,5.315757086489e-03
16,5.167116800623e-03
17,5.020881924634e-03
18,4.877057327712e-03
19,4.735646866610e-03
20,4.596653391485e-03
21,4.460078752039e-03
22,4.325923804021e-03
23,4.194188416025e-03
24,4.064871476622e-03
25,3.937970901813e-03
26,3.813483642814e-03
27,3.691405694161e-03
28,3.571732102122e-03
29,3.454456973467e-03
30,3.339573484528e-03
31,3.227073890609e-03
32,3.116949535718e-03
33,3.009190862604e-03
34,2.903787423129e-03
35,2.800727888967e-03
36,2.700000062626e-03
37,2.601590888799e-03
38,2.505486466013e-03
39,2.411672058652e-03
40,2.320132109249e-03
41,2.230850251137e-03
42,2.143809321414e-03
43,2.058991374230e-03
44,1.976377694419e-03
45,1.895948811408e-03
46,1.817684513486e-03
47,1.741563862422e-03
48,1.667565208328e-03
49,1.595666204942e-03
50,1.525843825144e-03
51,1.458074376858e-03
52,1.392333519260e-03
53,1.328596279310e-03
54,1.266837068600e-03
55,1.207029700527e-03
56,1.149147407832e-03
57,1.093162860386e-03
58,1.039048183371e-03
59,9.867749757456e-04
60,9.363143290305e-04
61,8.876368464536e-04
62,8.407126623968e-04
63,7.955114621420e-04
64,7.520025019975e-04
65,7.101546297258e-04
66,6.699363052731e-04
67,6.313156218208e-04
68,5.942603272114e-04
69,5.587378456489e-04
70,5.247152997277e-04
71,4.921595328167e-04
72,4.610371317643e-04
73,4.313144498931e-04
74,4.029576303340e-04
75,3.759326296735e-04
76,3.502052419838e-04
77,3.257411231086e-04
78,3.025058152938e-04
79,2.804647721510e-04
80,2.595833839444e-04
81,2.398270031974e-04
82,2.211609706284e-04
83,2.035506413930e-04
84,1.869614116627e-04
85,1.713587455457e-04
86,1.567082022923e-04
87,1.429754638651e-04
88,1.301263628115e-04
89,1.181269104731e-04
90,1.069433254830e-04
91,9.654206264015e-05
92,8.688984206912e-05
93,7.795367872648e-05
94,6.970091220662e-05
95,6.209923690622e-05
96,5.511673247982e-05
97,4.872189464023e-05
98,4.288366626065e-05
99,3.757146884184e-05
100,3.275523426078e-05
101,2.840543687278e-05
102,2.449312590832e-05
103,2.098995822145e-05
104,1.786823135426e-05
105,1.510091692081e-05
106,1.266169431797e-05
107,1.052498476003e-05
108,8.665985636724e-06
109,7.060705200722e-06
110,5.685997566036e-06
111,4.519598051520e-06
112,3.540158825883e-06
113,2.727284893179e-06
114,2.061570396377e-06
115,1.524635244292e-06
116,1.099162063997e-06
117,7.689334750042e-07
118,5.188696924663e-07
119,3.350664514049e-07
120,2.048332547974e-07
121,1.167319455726e-07
122,6.061560534471e-08
123,2.766777412444e-08
124,1.044199646744e-08
125,2.901691005449e-09
126,4.603433888083e-10
127,2.202447066164e-11
