element_id,max_axial_force,max_shear_force,max_torque,max_moment,max_principal_s1,min_principal_s3,max_von_mises,mean_von_mises
0,0.000000e+00,0.000000e+00,0.000000e+00,6.657882e+02,0.000000e+00,-6.657882e+02,6.657882e+02,6.627625e+02
1,0.000000e+00,0.000000e+00,0.000000e+00,6.579760e+02,0.000000e+00,-6.579760e+02,6.579760e+02,6.549506e+02
2,0.000000e+00,0.000000e+00,0.000000e+00,6.501648e+02,0.000000e+00,-6.501648e+02,6.501648e+02,6.471402e+02
3,0.000000e+00,0.000000e+00,0.000000e+00,6.423556e+02,0.000000e+00,-6.423556e+02,6.423556e+02,6.393321e+02
4,0.000000e+00,0.000000e+00,0.000000e+00,6.345494e+02,0.000000e+00,-6.345494e+02,6.345494e+02,6.315274e+02
5,0.000000e+00,0.000000e+00,0.000000e+00,6.267471e+02,0.000000e+00,-6.267471e+02,6.267471e+02,6.237270e+02
6,0.000000e+00,0.000000e+00,0.000000e+00,6.189497e+02,0.000000e+00,-6.189497e+02,6.189497e+02,6.159318e+02
7,0.000000e+00,0.000000e+00,0.000000e+00,6.111582e+02,0.000000e+00,-6.111582e+02,6.111582e+02,6.081428e+02
8,0.000000e+00,0.000000e+00,0.000000e+00,6.033734e+02,0.000000e+00,-6.033734e+02,6.033734e+02,6.003609e+02
9,0.000000e+00,0.000000e+00,0.000000e+00,5.955963e+02,0.000000e+00,-5.955963e+02,5.955963e+02,5.925872e+02
10,0.000000e+00,0.000000e+00,0.000000e+00,5.878279e+02,0.000000e+00,-5.878279e+02,5.878279e+02,5.848225e+02
11,0.000000e+00,0.000000e+00,0.000000e+00,5.800692e+02,0.000000e+00,-5.800692e+02,5.800692e+02,5.770679e+02
12,0.000000e+00,0.000000e+00,0.000000e+00,5.723211e+02,0.000000e+00,-5.723211e+02,5.723211e+02,5.693242e+02
13,0.000000e+00,0.000000e+00,0.000000e+00,5.645845e+02,0.000000e+00,-5.645845e+02,5.645845e+02,5.615924e+02
14,0.000000e+00,0.000000e+00,0.000000e+00,5.568604e+02,0.000000e+00,-5.568604e+02,5.568604e+02,5.538735e+02
15,0.000000e+00,0.000000e+00,0.000000e+00,5.491498e+02,0.000000e+00,-5.491498e+02,5.491498e+02,5.461684e+02
16,0.000000e+00,0.000000e+00,0.000000e+00,5.414536e+02,0.000000e+00,-5.414536e+02,5.414536e+02,5.384782e+02
17,0.000000e+00,0.000000e+00,0.000000e+00,5.337728e+02,0.000000e+00,-5.337728e+02,5.337728e+02,5.308036e+02
18,0.000000e+00,0.000000e+00,0.000000e+00,5.261083e+02,0.000000e+00,-5.261083e+02,5.261083e+02,5.231457e+02
19,0.000000e+00,0.000000e+00,0.000000e+00,5.184611e+02,0.000000e+00,-5.184611e+02,5.184611e+02,5.155055e+02
20,0.000000e+00,0.000000e+00,0.000000e+00,5.108321e+02,0.000000e+00,-5.108321e+02,5.108321e+02,5.078839e+02
21,0.000000e+00,0.000000e+00,0.000000e+00,5.032222e+02,0.000000e+00,-5.032222e+02,5.032222e+02,5.002818e+02
22,0.000000e+00,0.000000e+00,0.000000e+00,4.956325e+02,0.000000e+00,-4.956325e+02,4.956325e+02,4.927003e+02
23,0.000000e+00,0.000000e+00,0.000000e+00,4.880639e+02,0.000000e+00,-4.880639e+02,4.880639e+02,4.851402e+02
24,0.000000e+00,0.000000e+00,0.000000e+00,4.805174e+02,0.000000e+00,-4.805174e+02,4.805174e+02,4.776025e+02
25,0.000000e+00,0.000000e+00,0.000000e+00,4.729938e+02,0.000000e+00,-4.729938e+02,4.729938e+02,4.700881e+02
26,0.000000e+00,0.000000e+00,0.000000e+00,4.654942e+02,0.000000e+00,-4.654942e+02,4.654942e+02,4.625981e+02
27,0.000000e+00,0.000000e+00,0.000000e+00,4.580195e+02,0.000000e+00,-4.580195e+02,4.580195e+02,4.551334e+02
28,0.000000e+00,0.000000e+00,0.000000e+00,4.505706e+02,0.000000e+00,-4.505706e+02,4.505706e+02,4.476949e+02
29,0.000000e+00,0.000000e+00,0.000000e+00,4.431486e+02,0.000000e+00,-4.431486e+02,4.431486e+02,4.402835e+02
30,0.000000e+00,0.000000e+00,0.000000e+00,4.357543e+02,0.000000e+00,-4.357543e+02,4.357543e+02,4.329003e+02
31,0.000000e+00,0.000000e+00,0.000000e+00,4.283887e+02,0.000000e+00,-4.283887e+02,4.283887e+02,4.255462e+02
32,0.000000e+00,0.000000e+00,0.000000e+00,4.210528e+02,0.000000e+00,-4.210528e+02,4.210528e+02,4.182221e+02
33,0.000000e+00,0.000000e+00,0.000000e+00,4.137475e+02,0.000000e+00,-4.137475e+02,4.137475e+02,4.109290e+02
34,0.000000e+00,0.000000e+00,0.000000e+00,4.064738e+02,0.000000e+00,-4.064738e+02,4.064738e+02,4.036679e+02
35,0.000000e+00,0.000000e+00,0.000000e+00,3.992327e+02,0.000000e+00,-3.992327e+02,3.992327e+02,3.964397e+02
36,0.000000e+00,0.000000e+00,0.000000e+00,3.920250e+02,0.000000e+00,-3.920250e+02,3.920250e+02,3.892453e+02
37,0.000000e+00,0.000000e+00,0.000000e+00,3.848518e+02,0.000000e+00,-3.848518e+02,3.848518e+02,3.820857e+02
38,0.000000e+00,0.000000e+00,0.000000e+00,3.777139e+02,0.000000e+00,-3.777139e+02,3.777139e+02,3.749619e+02
39,0.000000e+00,0.000000e+00,0.000000e+00,3.706125e+02,0.000000e+00,-3.706125e+02,3.706125e+02,3.678748e+02
40,0.000000e+00,0.000000e+00,0.000000e+00,3.635483e+02,0.000000e+00,-3.635483e+02,3.635483e+02,3.608254e+02
41,0.000000e+00,0.000000e+00,0.000000e+00,3.565223e+02,0.000000e+00,-3.565223e+02,3.565223e+02,3.538146e+02
42,0.000000e+00,0.000000e+00,0.000000e+00,3.495356e+02,0.000000e+00,-3.495356e+02,3.495356e+02,3.468434e+02
43,0.000000e+00,0.000000e+00,0.000000e+00,3.425890e+02,0.000000e+00,-3.425890e+02,3.425890e+02,3.399127e+02
44,0.000000e+00,0.000000e+00,0.000000e+00,3.356836e+02,0.000000e+00,-3.356836e+02,3.356836e+02,3.330235e+02
45,0.000000e+00,0.000000e+00,0.000000e+00,3.288202e+02,0.000000e+00,-3.288202e+02,3.288202e+02,3.261768e+02
46,0.000000e+00,0.000000e+00,0.000000e+00,3.219998e+02,0.000000e+00,-3.219998e+02,3.219998e+02,3.193734e+02
47,0.000000e+00,0.000000e+00,0.000000e+00,3.152234e+02,0.000000e+00,-3.152234e+02,3.152234e+02,3.126144e+02
48,0.000000e+00,0.000000e+00,0.000000e+00,3.084920e+02,0.000000e+00,-3.084920e+02,3.084920e+02,3.059006e+02
49,0.000000e+00,0.000000e+00,0.000000e+00,3.018064e+02,0.000000e+00,-3.018064e+02,3.018064e+02,2.992332e+02
50,0.000000e+00,0.000000e+00,0.000000e+00,2.951677e+02,0.000000e+00,-2.951677e+02,2.951677e+02,2.926129e+02
51,0.000000e+00,0.000000e+00,0.000000e+00,2.885768e+02,0.000000e+00,-2.885768e+02,2.885768e+02,2.860408e+02
52,0.000000e+00,0.000000e+00,0.000000e+00,2.820346e+02,0.000000e+00,-2.820346e+02,2.820346e+02,2.795178e+02
53,0.000000e+00,0.000000e+00,0.000000e+00,2.755421e+02,0.000000e+00,-2.755421e+02,2.755421e+02,2.730449e+02
54,0.000000e+00,0.000000e+00,0.000000e+00,2.691002e+02,0.000000e+00,-2.691002e+02,2.691002e+02,2.666230e+02
55,0.000000e+00,0.000000e+00,0.000000e+00,2.627100e+02,0.000000e+00,-2.627100e+02,2.627100e+02,2.602531e+02
56,0.000000e+00,0.000000e+00,0.000000e+00,2.563723e+02,0.000000e+00,-2.563723e+02,2.563723e+02,2.539361e+02
57,0.000000e+00,0.000000e+00,0.000000e+00,2.500881e+02,0.000000e+00,-2.500881e+02,2.500881e+02,2.476730e+02
58,0.000000e+00,0.000000e+00,0.000000e+00,2.438584e+02,0.000000e+00,-2.438584e+02,2.438584e+02,2.414647e+02
59,0.000000e+00,0.000000e+00,0.000000e+00,2.376842e+02,0.000000e+00,-2.376842e+02,2.376842e+02,2.353122e+02
60,0.000000e+00,0.000000e+00,0.000000e+00,2.315662e+02,0.000000e+00,-2.315662e+02,2.315662e+02,2.292165e+02
61,0.000000e+00,0.000000e+00,0.000000e+00,2.255057e+02,0.000000e+00,-2.255057e+02,2.255057e+02,2.231784e+02
62,0.000000e+00,0.000000e+00,0.000000e+00,2.195034e+02,0.000000e+00,-2.195034e+02,2.195034e+02,2.171990e+02
63,0.000000e+00,0.000000e+00,0.000000e+00,2.135603e+02,0.000000e+00,-2.135603e+02,2.135603e+02,2.112792e+02
64,0.000000e+00,0.000000e+00,0.000000e+00,2.076774e+02,0.000000e+00,-2.076774e+02,2.076774e+02,2.054200e+02
65,0.000000e+00,0.000000e+00,0.000000e+00,2.018557e+02,0.000000e+00,-2.018557e+02,2.018557e+02,1.996223e+02
66,0.000000e+00,0.000000e+00,0.000000e+00,1.960961e+02,0.000000e+00,-1.960961e+02,1.960961e+02,1.938870e+02
67,0.000000e+00,0.000000e+00,0.000000e+00,1.903995e+02,0.000000e+00,-1.903995e+02,1.903995e+02,1.882152e+02
68,0.000000e+00,0.000000e+00,0.000000e+00,1.847669e+02,0.000000e+00,-1.847669e+02,1.847669e+02,1.826077e+02
69,0.000000e+00,0.000000e+00,0.000000e+00,1.791993e+02,0.000000e+00,-1.791993e+02,1.791993e+02,1.770656e+02
70,0.000000e+00,0.000000e+00,0.000000e+00,1.736976e+02,0.000000e+00,-1.736976e+02,1.736976e+02,1.715897e+02
71,0.000000e+00,0.000000e+00,0.000000e+00,1.682627e+02,0.000000e+00,-1.682627e+02,1.682627e+02,1.661811e+02
72,0.000000e+00,0.000000e+00,0.000000e+00,1.628957e+02,0.000000e+00,-1.628957e+02,1.628957e+02,1.608407e+02
73,0.000000e+00,0.000000e+00,0.000000e+00,1.575975e+02,0.000000e+00,-1.575975e+02,1.575975e+02,1.555694e+02
74,0.000000e+00,0.000000e+00,0.000000e+00,1.523689e+02,0.000000e+00,-1.523689e+02,1.523689e+02,1.503682e+02
75,0.000000e+00,0.000000e+00,0.000000e+00,1.472111e+02,0.000000e+00,-1.472111e+02,1.472111e+02,1.452380e+02
76,0.000000e+00,0.000000e+00,0.000000e+00,1.421249e+02,0.000000e+00,-1.421249e+02,1.421249e+02,1.401799e+02
77,0.000000e+00,0.000000e+00,0.000000e+00,1.371112e+02,0.000000e+00,-1.371112e+02,1.371112e+02,1.351947e+02
78,0.000000e+00,0.000000e+00,0.000000e+00,1.321712e+02,0.000000e+00,-1.321712e+02,1.321712e+02,1.302834e+02
79,0.000000e+00,0.000000e+00,0.000000e+00,1.273056e+02,0.000000e+00,-1.273056e+02,1.273056e+02,1.254470e+02
80,0.000000e+00,0.000000e+00,0.000000e+00,1.225154e+02,0.000000e+00,-1.225154e+02,1.225154e+02,1.206864e+02
81,0.000000e+00,0.000000e+00,0.000000e+00,1.178017e+02,0.000000e+00,-1.178017e+02,1.178017e+02,1.160026e+02
82,0.000000e+00,0.000000e+00,0.000000e+00,1.131653e+02,0.000000e+00,-1.131653e+02,1.131653e+02,1.113965e+02
83,0.000000e+00,0.000000e+00,0.000000e+00,1.086072e+02,0.000000e+00,-1.086072e+02,1.086072e+02,1.068691e+02
84,0.000000e+00,0.000000e+00,0.000000e+00,1.041284e+02,0.000000e+00,-1.041284e+02,1.041284e+02,1.024213e+02
85,0.000000e+00,0.000000e+00,0.000000e+00,9.972977e+01,0.000000e+00,-9.972977e+01,9.972977e+01,9.805405e+01
86,0.000000e+00,0.000000e+00,0.000000e+00,9.541233e+01,0.000000e+00,-9.541233e+01,9.541233e+01,9.376838e+01
87,0.000000e+00,0.000000e+00,0.000000e+00,9.117702e+01,0.000000e+00,-9.117702e+01,9.117702e+01,8.956521e+01
88,0.000000e+00,0.000000e+00,0.000000e+00,8.702479e+01,0.000000e+00,-8.702479e+01,8.702479e+01,8.544548e+01
89,0.000000e+00,0.000000e+00,0.000000e+00,8.295659e+01,0.000000e+00,-8.295659e+01,8.295659e+01,8.141015e+01
90,0.000000e+00,0.000000e+00,0.000000e+00,7.897337e+01,0.000000e+00,-7.897337e+01,7.897337e+01,7.746017e+01
91,0.000000e+00,0.000000e+00,0.000000e+00,7.507609e+01,0.000000e+00,-7.507609e+01,7.507609e+01,7.359650e+01
92,0.000000e+00,0.000000e+00,0.000000e+00,7.126570e+01,0.000000e+00,-7.126570e+01,7.126570e+01,6.982009e+01
93,0.000000e+00,0.000000e+00,0.000000e+00,6.754316e+01,0.000000e+00,-6.754316e+01,6.754316e+01,6.613190e+01
94,0.000000e+00,0.000000e+00,0.000000e+00,6.390941e+01,0.000000e+00,-6.390941e+01,6.390941e+01,6.253288e+01
95,0.000000e+00,0.000000e+00,0.000000e+00,6.036542e+01,0.000000e+00,-6.036542e+01,6.036542e+01,5.902398e+01
