Global DOF,Value
0,0.000000000000e+00
1,-5.000000000009e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-6.667968750009e+02
6,0.000000000000e+00
7,-7.276845792603e-12
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,4.547473508865e-13
12,0.000000000000e+00
13,5.820588455663e-11
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.364242052659e-12
18,0.000000000000e+00
19,-5.820943727031e-11
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,0.000000000000e+00
24,0.000000000000e+00
25,1.455013887153e-11
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-2.728484105319e-12
30,0.000000000000e+00
31,2.037268131971e-10
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-1.818989403546e-12
36,0.000000000000e+00
37,8.730793865652e-11
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,9.094947017729e-13
42,0.000000000000e+00
43,-4.947651177645e-10
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-4.547473508865e-12
48,0.000000000000e+00
49,4.656577345941e-10
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-2.273736754432e-11
54,0.000000000000e+00
55,9.313225746155e-10
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,5.002220859751e-11
60,0.000000000000e+00
61,5.820766091347e-11
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,4.365574568510e-11
66,0.000000000000e+00
67,-4.365716677057e-10
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,6.184563972056e-11
72,0.000000000000e+00
73,2.037268131971e-10
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,4.911271389574e-11
78,0.000000000000e+00
79,-6.402984809029e-10
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,4.547473508865e-12
84,0.000000000000e+00
85,1.455120468563e-10
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-1.091393642128e-11
90,0.000000000000e+00
91,1.746087718857e-10
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,2.910383045673e-11
96,0.000000000000e+00
97,-1.746265354541e-10
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-3.637978807092e-12
