element_id,max_axial_force,max_shear_force,max_torque,max_moment,max_principal_s1,min_principal_s3,max_von_mises,mean_von_mises
0,0.000000e+00,0.000000e+00,0.000000e+00,6.597613e+02,0.000000e+00,-6.597613e+02,6.597613e+02,6.355835e+02
1,0.000000e+00,0.000000e+00,0.000000e+00,5.973895e+02,0.000000e+00,-5.973895e+02,5.973895e+02,5.734009e+02
2,0.000000e+00,0.000000e+00,0.000000e+00,5.355611e+02,0.000000e+00,-5.355611e+02,5.355611e+02,5.119507e+02
3,0.000000e+00,0.000000e+00,0.000000e+00,4.747643e+02,0.000000e+00,-4.747643e+02,4.747643e+02,4.517212e+02
4,0.000000e+00,0.000000e+00,0.000000e+00,4.154874e+02,0.000000e+00,-4.154874e+02,4.154874e+02,3.932007e+02
5,0.000000e+00,0.000000e+00,0.000000e+00,3.582186e+02,0.000000e+00,-3.582186e+02,3.582186e+02,3.368774e+02
6,0.000000e+00,0.000000e+00,0.000000e+00,3.034462e+02,0.000000e+00,-3.034462e+02,3.034462e+02,2.832397e+02
7,0.000000e+00,0.000000e+00,0.000000e+00,2.516586e+02,0.000000e+00,-2.516586e+02,2.516586e+02,2.327759e+02
8,0.000000e+00,0.000000e+00,0.000000e+00,2.033439e+02,0.000000e+00,-2.033439e+02,2.033439e+02,1.859741e+02
9,0.000000e+00,0.000000e+00,0.000000e+00,1.589906e+02,0.000000e+00,-1.589906e+02,1.589906e+02,1.433228e+02
10,0.000000e+00,0.000000e+00,0.000000e+00,1.190868e+02,0.000000e+00,-1.190868e+02,1.190868e+02,1.053101e+02
11,0.000000e+00,0.000000e+00,0.000000e+00,8.412080e+01,0.000000e+00,-8.412080e+01,8.412080e+01,7.242432e+01
12,0.000000e+00,0.000000e+00,0.000000e+00,5.458097e+01,0.000000e+00,-5.458097e+01,5.458097e+01,4.515381e+01
13,0.000000e+00,0.000000e+00,0.000000e+00,3.095554e+01,0.000000e+00,-3.095554e+01,3.095554e+01,2.398682e+01
14,0.000000e+00,0.000000e+00,0.000000e+00,1.373280e+01,0.000000e+00,-1.373280e+01,1.373280e+01,9.411621e+00
15,0.000000e+00,0.000000e+00,0.000000e+00,3.401021e+00,0.000000e+00,-3.401021e+00,3.401021e+00,1.916504e+00
