Row (Local DOF),Column (Local DOF),K_e Value
0,0,4.401600000000e+09
0,6,-4.401600000000e+09
1,1,2.154896916480e+10
1,5,6.734052864000e+08
1,7,-2.154896916480e+10
1,11,6.734052864000e+08
2,2,3.338108928000e+09
2,4,-1.043159040000e+08
2,8,-3.338108928000e+09
2,10,-1.043159040000e+08
3,3,3.378322080000e+04
3,9,-3.378322080000e+04
4,2,-1.043159040000e+08
4,4,4.346496000000e+06
4,8,1.043159040000e+08
4,10,2.173248000000e+06
5,1,6.734052864000e+08
5,5,2.805855360000e+07
5,7,-6.734052864000e+08
5,11,1.402927680000e+07
6,0,-4.401600000000e+09
6,6,4.401600000000e+09
7,1,-2.154896916480e+10
7,5,-6.734052864000e+08
7,7,2.154896916480e+10
7,11,-6.734052864000e+08
8,2,-3.338108928000e+09
8,4,1.043159040000e+08
8,8,3.338108928000e+09
8,10,1.043159040000e+08
9,3,-3.378322080000e+04
9,9,3.378322080000e+04
10,2,-1.043159040000e+08
10,4,2.173248000000e+06
10,8,1.043159040000e+08
10,10,4.346496000000e+06
11,1,6.734052864000e+08
11,5,1.402927680000e+07
11,7,-6.734052864000e+08
11,11,2.805855360000e+07
