Global DOF,Value
0,0.000000000000e+00
1,-5.000000000061e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-6.666992187621e+02
6,0.000000000000e+00
7,1.455169318376e-11
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-4.547473508865e-13
12,0.000000000000e+00
13,-5.820810500268e-11
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-2.728484105319e-12
18,0.000000000000e+00
19,2.910338636752e-11
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-6.366462912410e-12
24,0.000000000000e+00
25,5.820721682426e-11
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-2.728484105319e-12
30,0.000000000000e+00
31,2.910383045673e-10
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,9.094947017729e-13
36,0.000000000000e+00
37,-6.402851582266e-10
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,8.185452315956e-12
42,0.000000000000e+00
43,-3.492459654808e-10
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,0.000000000000e+00
48,0.000000000000e+00
49,8.149063646101e-10
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,2.000888343900e-11
54,0.000000000000e+00
55,-3.492459654808e-10
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,5.456968210638e-12
60,0.000000000000e+00
61,-2.328306436539e-10
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-4.001776687801e-11
66,0.000000000000e+00
67,3.492424127671e-10
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-3.637978807092e-11
72,0.000000000000e+00
73,-2.328309989252e-09
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-7.275957614183e-12
78,0.000000000000e+00
79,3.958119165759e-09
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,6.730260793120e-11
84,0.000000000000e+00
85,-3.259632563868e-09
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,3.274180926383e-11
90,0.000000000000e+00
91,9.313190219018e-10
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-1.455191522837e-11
96,0.000000000000e+00
97,1.629810952863e-09
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,7.821654435247e-11
102,0.000000000000e+00
103,-5.238696587639e-09
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-4.729372449219e-11
108,0.000000000000e+00
109,-3.552713678801e-15
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-2.091837814078e-10
114,0.000000000000e+00
115,-9.313225746155e-10
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-5.456968210638e-11
120,0.000000000000e+00
121,5.704343664092e-09
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-7.094058673829e-11
126,0.000000000000e+00
127,-3.376047885695e-09
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,8.913048077375e-11
132,0.000000000000e+00
133,-8.498325598794e-09
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-1.346052158624e-10
138,0.000000000000e+00
139,1.024454121534e-08
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,2.364686224610e-11
144,0.000000000000e+00
145,-1.036096364260e-08
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,1.000444171950e-10
150,0.000000000000e+00
151,7.334158169670e-09
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-7.639755494893e-11
156,0.000000000000e+00
157,2.328235382265e-10
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,4.365574568510e-10
162,0.000000000000e+00
163,1.396983861923e-09
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-1.200533006340e-10
168,0.000000000000e+00
169,1.629807400150e-09
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,0.000000000000e+00
174,0.000000000000e+00
175,8.731149137020e-09
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-8.549250196666e-11
180,0.000000000000e+00
181,-7.450580596924e-09
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,-3.838067641482e-10
186,0.000000000000e+00
187,6.286420273227e-09
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,5.820766091347e-11
192,0.000000000000e+00
193,1.164149665556e-09
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,-1.273292582482e-10
