element_id,total_strain_energy
0,3.022143890207e-02
1,2.739399469357e-02
2,2.471307609380e-02
3,2.218231798392e-02
4,1.980428545012e-02
5,1.758048971586e-02
6,1.551140938479e-02
7,1.359651699449e-02
8,1.183431088080e-02
9,1.022235235310e-02
10,8.757308180121e-03
11,7.434998386604e-03
12,6.250449360699e-03
13,5.197952272056e-03
14,4.271126800683e-03
15,3.462990176522e-03
16,2.766031529784e-03
17,2.172291552013e-03
18,1.673447467874e-03
19,1.260903317697e-03
20,9.258855507573e-04
21,6.595439292750e-04
22,4.530577431717e-04
23,2.977473355586e-04
24,1.851909389570e-04
25,1.073468222609e-04
26,5.668074843598e-05
27,2.629874296069e-05
28,1.008517299182e-05
29,2.846137284205e-06
30,4.581668366076e-07
31,2.223627906772e-08
