element_id,max_axial_force,max_shear_force,max_torque,max_moment,max_principal_s1,min_principal_s3,max_von_mises,mean_von_mises
0,0.000000e+00,0.000000e+00,0.000000e+00,6.631783e+02,0.000000e+00,-6.631783e+02,6.631783e+02,6.510788e+02
1,0.000000e+00,0.000000e+00,0.000000e+00,6.319444e+02,0.000000e+00,-6.319444e+02,6.319444e+02,6.198685e+02
2,0.000000e+00,0.000000e+00,0.000000e+00,6.007783e+02,0.000000e+00,-6.007783e+02,6.007783e+02,5.887497e+02
3,0.000000e+00,0.000000e+00,0.000000e+00,5.697412e+02,0.000000e+00,-5.697412e+02,5.697412e+02,5.577835e+02
4,0.000000e+00,0.000000e+00,0.000000e+00,5.388941e+02,0.000000e+00,-5.388941e+02,5.388941e+02,5.270309e+02
5,0.000000e+00,0.000000e+00,0.000000e+00,5.082980e+02,0.000000e+00,-5.082980e+02,5.082980e+02,4.965530e+02
6,0.000000e+00,0.000000e+00,0.000000e+00,4.780139e+02,0.000000e+00,-4.780139e+02,4.780139e+02,4.664108e+02
7,0.000000e+00,0.000000e+00,0.000000e+00,4.481030e+02,0.000000e+00,-4.481030e+02,4.481030e+02,4.366653e+02
8,0.000000e+00,0.000000e+00,0.000000e+00,4.186262e+02,0.000000e+00,-4.186262e+02,4.186262e+02,4.073776e+02
9,0.000000e+00,0.000000e+00,0.000000e+00,3.896445e+02,0.000000e+00,-3.896445e+02,3.896445e+02,3.786087e+02
10,0.000000e+00,0.000000e+00,0.000000e+00,3.612190e+02,0.000000e+00,-3.612190e+02,3.612190e+02,3.504196e+02
11,0.000000e+00,0.000000e+00,0.000000e+00,3.334108e+02,0.000000e+00,-3.334108e+02,3.334108e+02,3.228714e+02
12,0.000000e+00,0.000000e+00,0.000000e+00,3.062808e+02,0.000000e+00,-3.062808e+02,3.062808e+02,2.960251e+02
13,0.000000e+00,0.000000e+00,0.000000e+00,2.798901e+02,0.000000e+00,-2.798901e+02,2.798901e+02,2.699417e+02
14,0.000000e+00,0.000000e+00,0.000000e+00,2.542998e+02,0.000000e+00,-2.542998e+02,2.542998e+02,2.446823e+02
15,0.000000e+00,0.000000e+00,0.000000e+00,2.295708e+02,0.000000e+00,-2.295708e+02,2.295708e+02,2.203079e+02
16,0.000000e+00,0.000000e+00,0.000000e+00,2.057642e+02,0.000000e+00,-2.057642e+02,2.057642e+02,1.968796e+02
17,0.000000e+00,0.000000e+00,0.000000e+00,1.829411e+02,0.000000e+00,-1.829411e+02,1.829411e+02,1.744583e+02
18,0.000000e+00,0.000000e+00,0.000000e+00,1.611625e+02,0.000000e+00,-1.611625e+02,1.611625e+02,1.531052e+02
19,0.000000e+00,0.000000e+00,0.000000e+00,1.404893e+02,0.000000e+00,-1.404893e+02,1.404893e+02,1.328812e+02
20,0.000000e+00,0.000000e+00,0.000000e+00,1.209827e+02,0.000000e+00,-1.209827e+02,1.209827e+02,1.138474e+02
21,0.000000e+00,0.000000e+00,0.000000e+00,1.027037e+02,0.000000e+00,-1.027037e+02,1.027037e+02,9.606476e+01
22,0.000000e+00,0.000000e+00,0.000000e+00,8.571333e+01,0.000000e+00,-8.571333e+01,8.571333e+01,7.959442e+01
23,0.000000e+00,0.000000e+00,0.000000e+00,7.007259e+01,0.000000e+00,-7.007259e+01,7.007259e+01,6.449738e+01
24,0.000000e+00,0.000000e+00,0.000000e+00,5.584254e+01,0.000000e+00,-5.584254e+01,5.584254e+01,5.083466e+01
25,0.000000e+00,0.000000e+00,0.000000e+00,4.308421e+01,0.000000e+00,-4.308421e+01,4.308421e+01,3.866730e+01
26,0.000000e+00,0.000000e+00,0.000000e+00,3.185864e+01,0.000000e+00,-3.185864e+01,3.185864e+01,2.805634e+01
27,0.000000e+00,0.000000e+00,0.000000e+00,2.222686e+01,0.000000e+00,-2.222686e+01,2.222686e+01,1.906281e+01
28,0.000000e+00,0.000000e+00,0.000000e+00,1.424991e+01,0.000000e+00,-1.424991e+01,1.424991e+01,1.174774e+01
29,0.000000e+00,0.000000e+00,0.000000e+00,7.988823e+00,0.000000e+00,-7.988823e+00,7.988823e+00,6.172180e+00
30,0.000000e+00,0.000000e+00,0.000000e+00,3.504634e+00,0.000000e+00,-3.504634e+00,3.504634e+00,2.397156e+00
31,0.000000e+00,0.000000e+00,0.000000e+00,8.583788e-01,0.000000e+00,-8.583788e-01,8.583788e-01,4.837036e-01
