Global DOF,Value
0,0.000000000000e+00
1,-5.000000000000e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-6.687500000000e+02
6,0.000000000000e+00
7,1.818989403546e-12
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,0.000000000000e+00
12,0.000000000000e+00
13,-3.666400516522e-12
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.364242052659e-12
18,0.000000000000e+00
19,-1.818989403546e-11
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-1.818989403546e-12
24,0.000000000000e+00
25,1.817568318074e-11
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-6.366462912410e-12
